,x,y
Archaeognatha,274.2275734267163,-261.21336871340395
Blattodea,282.0131351178083,2.450288311676177
Coleoptera,110.69880352994977,-115.00781459981957
Dermaptera,190.22889214977704,168.22767166493207
Diptera,-86.59956617194607,-264.61276744381564
Embioptera,222.28722727646235,133.03270713732041
Ephemeroptera,57.47514314450088,321.5285785815602
Grylloblattodea,258.9085340413515,79.2230453934098
Hemiptera,-215.55078366878618,-188.372807692824
Hymenoptera,163.98106258528662,-181.59396541540536
Lepidoptera,-142.8667265468115,-234.98142030374694
Mantodea,257.3823746379807,22.867572320850797
Mantophasmatodea,253.23671017441623,112.28857721788528
Mecoptera,-28.4105668119694,-266.1387815773987
Megaloptera,98.57815407648737,-239.9792429229299
Neuroptera,53.41230227609795,-222.83373465130987
Odonata,175.02335119215698,266.3619046421433
Orthoptera,218.17938707328162,-17.861595837652473
Phasmatodea,207.0434718484411,82.70738766077152
Phthiraptera-1,-231.8604219881254,-103.5999413400001
Phthiraptera-10,-98.50278528386617,165.05891575278923
Phthiraptera-11,-69.11973847416787,159.1668099228627
Phthiraptera-12,-116.19233910914889,73.76898202055287
Phthiraptera-13,-182.72372866195312,-53.113513184564944
Phthiraptera-2,-70.61604619836561,9.734888489723453
Phthiraptera-3,-166.21995503530331,35.658789081705116
Phthiraptera-4,-200.72332766673904,77.94709961340688
Phthiraptera-5,-193.41456276286013,115.19971621336393
Phthiraptera-6,-159.45512742562224,82.36414876678359
Phthiraptera-7,-71.21415641510927,69.61339998030758
Phthiraptera-8,-46.57074933356829,106.94713569807695
Phthiraptera-9,-84.52986507421099,100.99623509890075
Plecoptera,249.9149912500227,-93.52633734335367
Psocoptera-1,-243.3383993289278,20.73798441901197
Psocoptera-2,-127.14162231036597,-28.67438696668628
Psocoptera-3,-120.34526001095244,166.3242475148009
Psocoptera-4,-153.23569815267467,139.25827725182015
Psocoptera-5,-139.68281025921362,155.49209842012326
Psocoptera-6,-108.40703769924956,136.69794019781736
Psocoptera-7,-133.3001874734172,117.71962842216197
Psocoptera-8,-69.49022976593217,135.29532919044104
Psocoptera-9,-230.38190043647828,-22.78787385368915
Raphidioptera,49.89617976719839,-265.11507457118313
Siphonaptera,-37.715878509736484,-236.53875702295997
Strepsiptera,103.85324436409769,-171.34559800532014
Thysanoptera,10.195502811735453,-132.42054524848055
Trichoptera,-109.41306096425666,-222.33183754402737
Zoraptera,269.72757074744953,-55.139575070746474
Zygentoma,130.75892004854038,320.5195803241189
