time,x,y,z,species
1,0.1849949702833089,-0.7249569402496815,0.6634864699100483,Anax junius
1,0.1286157482350585,-0.711586904998923,0.6907257530597726,Anax junius
1,0.2104573147347485,-0.7344243121886159,0.645235343375514,Anax junius
1,-0.0684653408995117,-0.8490901374087073,0.523792359290183,Anax junius
1,0.0715503613154335,-0.753066001219496,0.6540429218353402,Anax junius
1,0.1255692310580929,-0.7029740502570622,0.7000427507493101,Anax junius
1,-0.1153583540663042,-0.8524201795441999,0.5099728303085834,Anax junius
1,-0.1111587282932858,-0.8281737745899973,0.5493377250886523,Anax junius
1,-0.1041936770672677,-0.8341970013423866,0.541533969950706,Anax junius
1,-0.0948741485520857,-0.8554460552142574,0.5091276289447296,Anax junius
1,-0.1087055518964521,-0.8775978488591669,0.4669101826525637,Anax junius
1,0.1534976972963539,-0.8781007051301866,0.4531860639677546,Anax junius
1,-0.3822129561045788,-0.7488247672178772,0.5414561147377425,Anax junius
1,-0.31051581461916,-0.7699412472840701,0.5574678507340579,Anax junius
1,-0.3205435189087069,-0.6486672884307229,0.6902771917176148,Anax junius
1,-0.1211820316205773,-0.8548698250619164,0.5044923165033514,Anax junius
1,-0.4194684198103633,-0.6773288048423793,0.6043773117123034,Anax junius
1,0.1317303526733511,-0.7855622936248358,0.6045982112274579,Anax junius
1,0.1146951414481458,-0.71047574270167,0.6943120649684119,Anax junius
1,-0.1745302342236037,-0.909670386954476,0.3768805970595301,Anax junius
1,-0.0330356241731918,-0.778276765126723,0.627051771705791,Anax junius
1,-0.3887326065283811,-0.7359758620933841,0.5542801557313332,Anax junius
1,-0.1236475152087816,-0.8584885142704013,0.4977034888851928,Anax junius
1,-0.0017344309721013,-0.8625965942012597,0.5058894221285818,Anax junius
1,-0.0231283479818015,-0.8621420118041571,0.5061385492154431,Anax junius
1,0.0802367213557821,-0.7650437880165423,0.6389601481809131,Anax junius
1,-0.4232642973765011,-0.6727283846578567,0.6068639510153884,Anax junius
1,0.2072921371023514,-0.6831537909262916,0.7002362942882757,Anax junius
1,-0.1187154855917355,-0.8557295887942594,0.5036203970677976,Anax junius
1,-0.4082310017515054,-0.6654612208952214,0.6249070432421159,Anax junius
1,-0.0339306395377243,-0.7041460544830284,0.7092439958551253,Anax junius
1,-0.3657543187643641,-0.5746587812693544,0.7321141054611885,Anax junius
1,0.1541143597627647,-0.7952397700272367,0.5863808253020735,Anax junius
1,0.1053282388778421,-0.747260194350415,0.6561312094652048,Anax junius
1,-0.3030935336762174,-0.7900192627027957,0.5329201388596558,Anax junius
