,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Sympecma,-0.593954183120044,-0.400683509468703,0.69761820044638,Sympecma,True,Lestidae,Lestoidea,Zygoptera,Odonata,3
Austrolestes,-0.465426645462864,0.837654324186141,0.285855332057048,Austrolestes,True,Lestidae,Lestoidea,Zygoptera,Odonata,10
Indolestes,-0.801924008927591,0.309345529825119,-0.511100016711717,Indolestes,True,Lestidae,Lestoidea,Zygoptera,Odonata,35
Lestes,0.794448490352899,0.0903655277403921,0.600571117830519,Lestes,True,Lestidae,Lestoidea,Zygoptera,Odonata,80
Chalcolestes,0.107113135818697,-0.910475242786262,-0.399451634629753,Chalcolestes,True,Lestidae,Lestoidea,Zygoptera,Odonata,2
Archilestes,0.767530403174942,0.440923935605122,-0.465277512042653,Archilestes,True,Lestidae,Lestoidea,Zygoptera,Odonata,9
Sinhalestes,-0.048157355909518515,-0.035003362710500294,-0.9982262437297273,Sinhalestes,False,Lestidae,Lestoidea,Zygoptera,Odonata,1
Orolestes,-0.6432751896749531,-0.5523666119533681,-0.5301774762735685,Orolestes,False,Lestidae,Lestoidea,Zygoptera,Odonata,4
Platylestes,0.3576154274770915,0.8721882563554852,0.3337646648552772,Platylestes,False,Lestidae,Lestoidea,Zygoptera,Odonata,4
