,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Philogenia,1,0,0,Philogenia,True,Philogeniidae,Calopterygoidea,Zygoptera,Odonata,39
Archaeopodagrion,-1,0,0,Archaeopodagrion,True,Philogeniidae,Calopterygoidea,Zygoptera,Odonata,6
