,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Teinopodagrion,0.0,0.0,1.0,Teinopodagrion,True,Megapodagrionidae,Calopterygoidea,Zygoptera,Odonata,25
Megapodagrion,0.5213230631343347,0.7647743957318158,0.37860584712504164,Megapodagrion,False,Megapodagrionidae,Calopterygoidea,Zygoptera,Odonata,1
Allopodagrion,-0.25032891521089706,-0.8190744659208887,-0.5161903268037349,Allopodagrion,False,Megapodagrionidae,Calopterygoidea,Zygoptera,Odonata,3
