,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Philosina,1,0,0,Philosina,True,Philosinidae,Calopterygoidea,Zygoptera,Odonata,3
Rhinagrion,-1,0,0,Rhinagrion,True,Philosinidae,Calopterygoidea,Zygoptera,Odonata,10
