,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Priscagrion,1,0,0,Priscagrion,True,Priscagrionidae,Calopterygoidea,Zygoptera,Odonata,2
Sinocnemis,-1,0,0,Sinocnemis,True,Priscagrionidae,Calopterygoidea,Zygoptera,Odonata,3
