Unnamed: 0,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species,Filename,Area FW (mm2),Area HW (mm2),Length (inner) FW (mm),Length (inner) HW (mm),Length (outer) FW (mm),Length (outer) HW (mm),Width (inner) FW (mm),Width (inner) HW (mm),Width (outer) FW (mm),Width (outer) HW (mm),Widest ratio FW,Widest ratio HW,Slope of thickness FW,Slope of thickness HW,Apex ratio FW,Apex ratio HW,Tip angle FW (deg),Tip angle HW (deg)
Notoaeschna,0.34167594365118,0.160805302470509,0.925958532671655,Notoaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Basiaeschna,-0.822967072354962,-0.131400720701747,0.552683497508805,Basiaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,RUN-012366.tif,224.34822222222226,261.5723333333333,35.71351851851852,33.30577777777778,36.22588888888889,34.931925925925924,7.877296296296297,9.40625925925926,8.447666666666667,10.689296296296297,0.6171391766333334,0.36289531167777783,0.03778694099814815,-0.03714419663244444,0.582789289025926,0.5852574670703704,117.82970244074075,108.43073481481481
Anaciaeschna,-0.984047242071298,0.017270048779992,-0.177067136383373,Anaciaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,7,,,,,,,,,,,,,,,,,,,
Coryphaeschna,0.210754608885912,-0.969194884818584,0.127451049720424,Coryphaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,8,UA-000846.TIFF,495.22748,601.7678400000001,52.60432,50.35139999999999,52.9904,51.47396,11.364879999999998,13.969240000000003,12.09724,15.373800000000001,0.51764260002,0.271868103192,0.01302662895556,-0.1036336351524,0.5630113483320001,0.6066804225760001,112.79880233880002,106.14115109400001
Epiaeschna,0.137688167060799,0.16523381591548,-0.976596003846753,Epiaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,RUN-012508.tiff,562.0329545454546,674.8110909090909,56.27209090909091,53.559,56.587636363636356,55.263318181818185,12.571636363636365,15.45736363636364,13.243090909090908,16.820272727272727,0.5842400822727273,0.3620554863,0.023635927410227273,-0.07542266551681819,0.5870769948681818,0.6376143971045454,112.38341431363634,104.38403053727271
Gomphaeschna,0.921336264676605,0.373434844283506,0.108101362002126,Gomphaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,UA-001137.tif,211.81276470588236,253.78335294117647,33.72476470588236,32.08764705882353,33.90229411764706,32.66635294117647,7.792647058823529,9.68764705882353,8.296294117647058,10.567705882352941,0.5332829723,0.25412310869411764,0.023500716048352938,-0.08380925086952941,0.6224589531588235,0.6562348299941176,116.7282467,109.36704302941176
Caliaeschna,-0.0469063885900565,0.762888340435037,0.644826465599633,Caliaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Cephalaeschna,0.3741080743314,0.899914571515986,0.224046675255964,Cephalaeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,30,,,,,,,,,,,,,,,,,,,
Austrogynacantha,-0.147997485607812,-0.747242958505639,0.647861640489314,Austrogynacantha,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Staurophlebia,0.38012844130074,-0.71435899612363,-0.587531780222576,Staurophlebia,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5,WRK-WS-00797.tif,868.828,1077.009,70.538,68.093,70.58,70.062,15.367,18.976,16.32,20.638,0.5378617484,0.4290030211,0.01235859164,-0.08528073749,0.5920881971,0.6456410256,111.3996614,104.503312
Neuraeschna,0.69486707243692,0.0099284924302675,-0.719069660520457,Neuraeschna,True,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,15,,,,,,,,,,,,,,,,,,,
Antipodophlebia,0.8879694441453918,-0.2371358096784886,0.3940518671853383,Antipodophlebia,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Austrophlebia,0.8791038326285745,0.333564026627395,-0.3404577677155709,Austrophlebia,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Racenaeschna,-0.5117453223347008,0.3780770944639447,-0.7714754926180445,Racenaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Afroaeschna,-0.3182913528510576,-0.1372826140291347,-0.9380000525509428,Afroaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Allopetalia,0.5404617559530093,0.819724267668531,-0.1896133311438843,Allopetalia,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,2,,,,,,,,,,,,,,,,,,,
Petaliaeschna,0.6612812572074788,-0.0815769942230874,0.7456891395746775,Petaliaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,5,,,,,,,,,,,,,,,,,,,
Isoaeschna,0.0831829364236693,-0.2483960247096461,0.9650803147906296,Isoaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Gynacanthaeschna,-0.6351298504801252,-0.6239668014718037,0.4552751955577423,Gynacanthaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Acanthaeschna,0.5438485576465161,0.522417654767163,0.6567408471637661,Acanthaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
Adversaeschna,0.7607504660215605,-0.4705777989434648,-0.4470070061973331,Adversaeschna,False,Aeshnidae,Aeshnoidea,Anisoptera,Odonata,1,,,,,,,,,,,,,,,,,,,
