,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Thaumatoneura,1,0,0,Thaumatoneura,True,Thaumatoneuridae,Calopterygoidea,Zygoptera,Odonata,1
Paraphlebia,-1,0,0,Paraphlebia,True,Thaumatoneuridae,Calopterygoidea,Zygoptera,Odonata,15
