,x,y,z,genus,has_sequences,family,superfamily,suborder,order,nb_species
Porpax,-0.144534724250959,0.136158972670326,0.980086959227119,Porpax,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Diastatops,-0.114116608408589,0.51529588135947,-0.849380688701649,Diastatops,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,8
Orchithemis,-0.501043775706097,0.51814363272222,-0.693168313395527,Orchithemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Malgassophlebia,-0.0286253518584204,0.999393743104861,0.019817554688607,Malgassophlebia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Hylaeothemis,0.159056203129192,0.818353131911289,-0.552267395142162,Hylaeothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Trithetrum,0.532155731878202,-0.188574226448898,0.825378724070578,Trithetrum,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Planiplax,-0.174181770076685,-0.824540511982017,0.538324860166597,Planiplax,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
Leucorrhinia,-0.369496415258739,0.922229209707259,-0.113866956900001,Leucorrhinia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,14
Neodythemis,-0.920409910432839,-0.362892193430651,-0.145447078774732,Neodythemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,14
Bradinopyga,0.455982995021424,-0.693317817182986,-0.558023218717565,Bradinopyga,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Tholymis,0.689523109703473,-0.685698993731859,0.233183985685056,Tholymis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Nephepeltia,0.333284967249268,0.496812251151564,0.801310624983452,Nephepeltia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Idiataphe,0.555099429423885,0.71819945029065,-0.419588099277715,Idiataphe,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Cratilla,-0.927381130127442,0.321798411220066,-0.19081410330421,Cratilla,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Zygonoides,-0.657277289439885,0.644442937915552,0.390742708898488,Zygonoides,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,4
Ladona,-0.434874652038621,0.787374381837208,-0.436950363131516,Ladona,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Elasmothemis,-0.644864182721328,0.764296406437376,-0.0010903898694798,Elasmothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,8
Brachythemis,0.476845179781112,-0.590713720426539,0.650903967586122,Brachythemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Oligoclada,0.461545608527661,-0.886141897959327,-0.0415714797652598,Oligoclada,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,25
Crocothemis,0.483007559942542,-0.346296269528658,-0.804227947008115,Crocothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,9
Archaeophlebia,-0.20009081895333,0.801493365601405,0.563535313061673,Archaeophlebia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Brachymesia,0.856058662087454,-0.161912576511947,-0.490864425918503,Brachymesia,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,3
Macrodiplax,0.824340654591355,-0.224529719443615,0.519662284829742,Macrodiplax,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Acisoma,0.810818825198082,0.184274530761068,0.555531934291081,Acisoma,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,6
Thermorthemis,-0.491577113648232,-0.0854738253438701,0.866629197822436,Thermorthemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,2
Aethiothemis,-0.216549564939272,0.839145000059038,-0.498940832965723,Aethiothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,13
Selysiothemis,0.909270744142148,0.309939936389935,0.277783998239256,Selysiothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,1
Nesciothemis,-0.988235653580371,0.143401124264871,-0.0531639967661262,Nesciothemis,True,Libellulidae,Libelluloidea,Anisoptera,Odonata,5
