#leaf_name,URL,model_scale,layers,enabled,other_name
Coleoptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Coleoptera - Carabidae tracheae.glb",1300,B,false,tiger beetle
#Trichoptera,
#Lepidoptera,
#Siphonaptera,
#Mecoptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Mecoptera - Bittacidae.glb",1300,A,true,hanging fly
#Mecoptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Mecoptera - Bittacidae tracheae.glb",1300,B,false,hanging fly
Mecoptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Mecoptera - Panorpidae.glb",2500,A,true,scorpion fly
Mecoptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Mecoptera - Panorpidae tracheae.glb",2500,B,false,scorpion fly
Diptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Diptera - Stratiomyidae.glb",4000,A,true,soldier fly
Diptera,"http://files.openspace.amnh.org/static/life/openspace_sync/Diptera - Stratiomyidae tracheae.glb",4000,B,false,soldier fly
