taxId	scientific name	common name
8177	Acanthopagrus latus	yellowfin seabream
443792	Lotella rhacina	rock cod
441897	Gobius cruentatus	red-mouthed goby
382950	Liopsetta pinnifasciata	Far Eastern smooth flounder
36930	Saccostrea cucullata	small rock oyster
9792	Equus grevyi	Grevy's zebra
1609292	Minous coccineus	yellowfin stingfish
57417	Glaucidium minutissimum	least pygmy-owl
60710	Chlorocebus pygerythrus	vervet
60710	Chlorocebus pygerythrus	vervet monkey
376892	Arenigobius bifrenatus	bridled goby
461409	Marmosops invictus	slaty slender mouse opossum
461409	Marmosops invictus	Panama slendeer opossum
143510	Heterixalus madagascariensis	Madagascar reed frog
58176	Rana luteiventris	Great Basin spotted frog
297802	Anous stolidus	brown noddy
68504	Argyropelecus hemigymnus	half-naked hatchetfish
753644	Acanthurus nigricauda	epaulette surgeonfish
753644	Acanthurus nigricauda	epaulette surgeon
753644	Acanthurus nigricauda	shoulderbar surgeonfish
753644	Acanthurus nigricauda	blackstreak surgeonfish
753644	Acanthurus nigricauda	black-barred surgeonfish
129076	Tylosurus acus melanotus	keel-jawed needle fish
2578242	Alabes dorsalis	common shore eel
1812289	Rasbora myersi	silver rasbora
879473	Cirripectes castaneus	chestnut eyelash-blenny
879473	Cirripectes castaneus	chestnut blenny
127935	Neocossyphus rufus	red-tailed ant-thrush
218194	Ammodramus humeralis	grassland sparrow
1385636	Heteroclinus macrophthalmus	large-eye weedfish
245038	Acridotheres fuscus	jungle myna
75329	Misgurnus anguillicaudatus	dojo loach
75329	Misgurnus anguillicaudatus	golden dojo loach
75329	Misgurnus anguillicaudatus	Japanese weatherfish
75329	Misgurnus anguillicaudatus	oriental weatherloach
75329	Misgurnus anguillicaudatus	weather loach
75329	Misgurnus anguillicaudatus	oriental weatherfish
300417	Syngnathoides biaculeatus	alligator pipefish
642925	Plagioscion auratus	black curbinata
27579	Rhacophorus taipeianus	Taipei treefrog
641108	Limanda proboscidea	longhead dab
273519	Amphisbaena schmidti	Schmidt's worm lizard
69306	Nanger soemmerringii	Soemmerring's gazelle
458586	Myxine australis	southern hagfish
1055097	Scorpaenopsis venosa	raggy scorpionfish
1559503	Anomalurus pelii	Pel's scaly-tailed squirrel
58513	Buergeria japonica	Japanese Buerger's frog
884168	Coregonus migratorius	Baikal omul
884168	Coregonus migratorius	Arctic cisco
