,x,y,z,class,class_name,color,genus,taxon,seqid
0,0.0023706098719977723,0.6652633224668868,-0.22707903931961212,9,Others,#BAB0AC,Allenopithecus,Allenopithecus nigroviridis,
1,-0.4531620440928145,-0.5047380322893794,0.37755487601896914,9,Others,#BAB0AC,Allocebus,Allocebus trichotis,
2,-0.30069619231234457,0.6062931594813583,0.3287174453004331,9,Others,#BAB0AC,Allochrocebus,Allochrocebus lhoesti,
3,0.5071522273880987,-0.42083099218549813,0.4707292362379971,9,Others,#BAB0AC,Alouatta,Alouatta caraya,
4,0.41073421454158043,-0.36632838802948,0.5618086466131772,9,Others,#BAB0AC,Alouatta,Alouatta guariba clamitans,
5,0.3102811927810215,-0.45750605441382486,0.5555333666345136,9,Others,#BAB0AC,Alouatta,Alouatta seniculus,
6,0.0262912701177502,-0.5517631356046515,0.5227280058620839,9,Others,#BAB0AC,Aotus,Aotus azarae,
7,0.026291332959935524,-0.5517632689581279,0.5227278646106192,9,Others,#BAB0AC,Aotus,Aotus azarae azarai,
8,0.08390773806815514,-0.579295267212502,0.49831900800408135,9,Others,#BAB0AC,Aotus,Aotus griseimembra,
9,0.07642239055011955,-0.547627649895566,0.45156978717398666,9,Others,#BAB0AC,Aotus,Aotus lemurinus,
10,0.0911262377105476,-0.49311278843695466,0.5043902171689216,9,Others,#BAB0AC,Aotus,Aotus nancymaae,
11,0.015331026019335217,-0.5167403834362131,0.5400687380535037,9,Others,#BAB0AC,Aotus,Aotus nigriceps,
12,0.05898994393336597,-0.4667314708781232,0.41814587942309406,9,Others,#BAB0AC,Aotus,Aotus trivirgatus,
13,0.11485689667624749,-0.6001276301231064,0.4477682770863387,9,Others,#BAB0AC,Aotus,Aotus vociferans,
14,0.3933056241363613,-0.4019400110043272,0.4194918638251104,9,Others,#BAB0AC,Ateles,Ateles belzebuth,
15,0.43820931346666425,-0.4382059624549059,0.4421936610816407,9,Others,#BAB0AC,Ateles,Ateles fusciceps,
16,0.42688012844795403,-0.42625037695154244,0.37212671458196067,9,Others,#BAB0AC,Ateles,Ateles geoffroyi,
17,0.349920845491699,-0.39377518705158915,0.41112895107638925,9,Others,#BAB0AC,Ateles,Ateles hybridus,
18,0.3816019813046968,-0.491705815208034,0.43553236012293955,9,Others,#BAB0AC,Ateles,Ateles paniscus,
19,-0.7585303264438609,0.0026757869003418994,0.1305906737552455,9,Others,#BAB0AC,Avahi,Avahi laniger,
20,0.435297026238815,-0.2803080176002971,0.5649968181936147,9,Others,#BAB0AC,Brachyteles,Brachyteles arachnoides,
21,-0.18597720930224468,-0.2981662512757716,0.6445438761148661,9,Others,#BAB0AC,Cacajao,Cacajao calvus,
22,0.5090666895410174,-0.5863025838636394,0.05153172968684386,9,Others,#BAB0AC,Callicebus,Callicebus nigrifrons,
23,0.5290604853983377,-0.5818093907459267,0.24573869347385227,9,Others,#BAB0AC,Callicebus,Callicebus personatus,
24,-0.20851611558908373,-0.43623452103476,0.551217847056178,9,Others,#BAB0AC,Callimico,Callimico goeldii,
25,-0.20931984926313174,-0.04445344042027832,0.6745153470452259,9,Others,#BAB0AC,Callithrix,Callithrix geoffroyi,
26,-0.23726576704209465,-0.050502374280320436,0.7113589927494047,9,Others,#BAB0AC,Callithrix,Callithrix jacchus,
27,-0.2155766567110223,-0.04084732197341319,0.72532555980744,9,Others,#BAB0AC,Callithrix,Callithrix kuhlii,
28,-0.17937752129328235,-0.005632842984972973,0.7429377371338,9,Others,#BAB0AC,Callithrix,Callithrix penicillata,
29,0.38618750772316135,-0.6601161377066683,-0.1020555163988049,9,Others,#BAB0AC,Callithrix,Callithrix pygmaea,
30,-0.7215924539720978,0.16848628958773285,0.20765364684384047,9,Others,#BAB0AC,Carlito,Carlito syrichta,
31,0.1852444524676889,0.02063272531782327,0.7298604730019683,9,Others,#BAB0AC,Cebus,Cebus albifrons,
32,0.32460681569492994,-0.11802990342086095,0.6915239418363008,9,Others,#BAB0AC,Cebus,Cebus apella,
33,0.24050941168163614,0.0726372589646582,0.7442053033313806,9,Others,#BAB0AC,Cebus,Cebus kaapori,
34,0.17402796942509874,0.031634072628447425,0.7443572729945835,9,Others,#BAB0AC,Cebus,Cebus olivaceus,
35,-0.7262875634327816,0.07810122677411235,0.04549612402705562,9,Others,#BAB0AC,Cephalopachus,Cephalopachus bancanus,
36,-0.1282866229297387,0.5977385744317695,-0.44215666426463784,9,Others,#BAB0AC,Cercocebus,Cercocebus agilis,
37,-0.05901753213420975,0.44850596019849376,-0.32543607946646197,9,Others,#BAB0AC,Cercocebus,Cercocebus atys,
38,0.024096062392087315,0.5844454689471124,-0.5156219864947968,9,Others,#BAB0AC,Cercocebus,Cercocebus atys atys,
39,-0.0948600289466428,0.6153827942484043,-0.4493955919791121,9,Others,#BAB0AC,Cercocebus,Cercocebus chrysogaster,
40,-0.29062295258762966,0.5051914036081148,-0.48578741112483315,9,Others,#BAB0AC,Cercocebus,Cercocebus torquatus,
41,0.21082264258278724,0.6432461626556806,0.1976968848641235,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus albogularis,
42,0.2123867801406408,0.7206460675198453,0.22786213906416095,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus albogularis albotorquatus,
43,0.332545206271004,0.6359302849832739,0.28105936428333333,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus albogularis kolbi,
44,0.18940991730027112,0.7028672388929729,0.1870239101908642,5,Cercopithecus,#AF7BA1,Cercopithecus,Cercopithecus albogularis moloneyi,
