,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Coscinodiscophyceae-5|centric diatoms,-254.28980677898835,9566.94017770077,35643.96374104751,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
Coscinodiscophyceae-6|centric diatoms,-167.21304064142805,10254.383296777803,35325.674525021255,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
Coscinodiscophyceae-7|centric diatoms,-1373.7513109366373,11045.229652498603,34712.30674304087,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
Coscinodiscophyceae-8|centric diatoms,-649.9609100989828,11364.453244904402,34677.75604997936,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
Coscinodiscophyceae-9|centric diatoms,-2802.4735325928204,11838.994165675997,33986.15421544687,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
Craniata,2149.891498140836,-38670.026357014365,2313.548504718143,Brachiopoda,Metazoa,Eukaryota,Craniata,brachiopods,multicellular animals,eukaryotes,Craniata
Crinoidea|crinoids,-5974.662730535706,-33104.87390924602,-17272.317006523357,Echinodermata,Metazoa,Eukaryota,Crinoidea,echinoderms,multicellular animals,eukaryotes,crinoids
Cryptophyceae|cryptomonads,-5915.013774601101,33258.91765110052,-25431.502073789023,,,Eukaryota,Cryptophyceae,,,eukaryotes,cryptomonads
Cubozoa|box jellyfishes,16901.693823510745,-34955.40981115331,8591.674177292265,Cnidaria,Metazoa,Eukaryota,Cubozoa,coelenterates,multicellular animals,eukaryotes,box jellyfishes
Cycadopsida|cycads,-29123.52191036105,14935.501833913097,-21417.89460513632,Streptophyta,Viridiplantae,Eukaryota,Cycadopsida,Streptophyta,green plants,eukaryotes,cycads
Dacrymycetes,28822.216210025275,1843.160518873341,-30847.746769554386,Basidiomycota,Fungi,Eukaryota,Dacrymycetes,basidiomycetes,Fungi,eukaryotes,Dacrymycetes
Demospongiae,26736.35217763933,-31001.34747428352,4368.220242417829,Porifera,Metazoa,Eukaryota,Demospongiae,sponges,multicellular animals,eukaryotes,Demospongiae
Dictyochophyceae|silicoflagellates,3844.349629338334,4903.708821992626,38255.60717159257,,,Eukaryota,Dictyochophyceae,,,eukaryotes,silicoflagellates
Dinophyceae|dinophytes,24368.51026443245,12146.517918551132,33067.25385061368,,,Eukaryota,Dinophyceae,,,eukaryotes,dinophytes
Diplopoda|millipedes,15845.192811256122,-33638.16772413338,-16950.636948914354,Arthropoda,Metazoa,Eukaryota,Diplopoda,arthropods,multicellular animals,eukaryotes,millipede
Dothideomycetes,36681.161625649256,100.4591182131444,-22223.83429289061,Ascomycota,Fungi,Eukaryota,Dothideomycetes,ascomycetes,Fungi,eukaryotes,Dothideomycetes
Echinamoebida,-43220.18433714123,-18460.16560233671,-653.1607994606202,Tubulinea,,Eukaryota,Echinamoebida,Tubulinea,,eukaryotes,Echinamoebida
Echinoidea|sea urchins,-5683.491252123012,-34859.25413233657,-14971.16327837136,Echinodermata,Metazoa,Eukaryota,Echinoidea,echinoderms,multicellular animals,eukaryotes,sea urchin
Elardia-1,-35425.46339404416,-21791.45987784109,21313.94888759304,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-2,-40687.56255143833,-19113.269078207813,10957.48529154584,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-3,-40000.80109497527,-19071.891882250995,13007.732294624497,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-4,-39150.77725563308,-20047.056234950047,14624.3892054214,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-5,-38466.49923967181,-20639.191852348395,15905.5650654993,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-6,-38937.34894404709,-19116.46954484465,15695.22177521322,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-7,-37745.99612113305,-20700.965240116675,17465.776617136056,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Elardia-8,-37063.556970928905,-20702.2117579362,18863.083721628944,Tubulinea,,Eukaryota,Elardia,Tubulinea,,eukaryotes,Elardia
Endogonomycetes,19846.14507144531,5539.6447218603535,-34440.44936097073,Mucoromycota,Fungi,Eukaryota,Endogonomycetes,Mucoromycota,Fungi,eukaryotes,Endogonomycetes
Enopla,1319.1051097734933,-39919.42849055524,-3424.3797126141108,Nemertea,Metazoa,Eukaryota,Enopla,ribbon worms,multicellular animals,eukaryotes,Enopla
Enoplea,23147.10408270116,-33511.57836596866,-2940.7761183378243,Nematoda,Metazoa,Eukaryota,Enoplea,roundworms,multicellular animals,eukaryotes,Enoplea
Enteropneusta|acorn worms,-3924.17250507502,-32113.22598471497,-14969.650444713216,Hemichordata,Metazoa,Eukaryota,Enteropneusta,hemichordates,multicellular animals,eukaryotes,acorn worms
Entomophthoromycetes,22665.492944303664,-2277.427822372,-36589.52013827469,Zoopagomycota,Fungi,Eukaryota,Entomophthoromycetes,Zoopagomycota,Fungi,eukaryotes,Entomophthoromycetes
Entoprocta|goblet worms,1302.4344986368824,-34903.34260170066,-6107.038545663461,Entoprocta,Animalia,Eukaryota,Entoprocta,nodding heads,Animalia,eukaryotes,nodding heads
Euglenida|euglenophytes,33016.97141794683,-10527.699811808325,39186.59242334394,Euglenozoa,,Eukaryota,Euglenida,Euglenozoa,,eukaryotes,euglenophytes
Eumycetozoa,43220.18433714123,3214.0018595485053,28778.21435912865,Evosea,,Eukaryota,Eumycetozoa,Evosea,,eukaryotes,Eumycetozoa
Eurotatoria,-902.0206274988868,-39113.67567101749,-7918.473320037825,Rotifera,Metazoa,Eukaryota,Eurotatoria,rotifers,multicellular animals,eukaryotes,Eurotatoria
Eurotiomycetes,37246.47241206466,1172.5261542803928,-20456.43763631857,Ascomycota,Fungi,Eukaryota,Eurotiomycetes,ascomycetes,Fungi,eukaryotes,Eurotiomycetes
Eustigmatophyceae|eustigmatophytes,-4286.310630388804,15266.37743900833,31586.27399801705,,,Eukaryota,Eustigmatophyceae,,,eukaryotes,eustigmatophytes
Eutardigrada,20072.381237966703,-36086.89028208039,1134.4832204556296,Tardigrada,Metazoa,Eukaryota,Eutardigrada,tardigrades,multicellular animals,eukaryotes,Eutardigrada
Exobasidiomycetes,26478.650092591823,7224.784263329693,-29325.383602275928,Basidiomycota,Fungi,Eukaryota,Exobasidiomycetes,basidiomycetes,Fungi,eukaryotes,Exobasidiomycetes
Filasterea,34413.171361902125,-24628.94702901396,12261.926475263695,,,Eukaryota,Filasterea,,,eukaryotes,Filasterea
Florideophyceae,1681.2506860764488,39200.19441375804,-12998.013537001454,Rhodophyta,,Eukaryota,Florideophyceae,red algae,,eukaryotes,Florideophyceae
Fragilariophyceae-1|pennate diatoms,-930.704529729538,10122.498476637064,35262.03706471785,Bacillariophyta,,Eukaryota,Fragilariophyceae,diatoms,,eukaryotes,"Araphid, pennate diatoms"
Fragilariophyceae-2|pennate diatoms,-2019.58289602026,10074.29718788528,35072.36272514666,Bacillariophyta,,Eukaryota,Fragilariophyceae,diatoms,,eukaryotes,"Araphid, pennate diatoms"
