,x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
Physodermatomycetes,41018.539183067805,2698.054209228056,-8263.01878785345,Blastocladiomycota,Fungi,Eukaryota,Physodermatomycetes,Blastocladiomycota,Fungi,eukaryotes,Physodermatomycetes
Phytomyxea,-522.7197908184407,31710.284263057536,17227.74497150105,Endomyxa,,Eukaryota,Phytomyxea,Endomyxa,,eukaryotes,Phytomyxea
Pilidiophora,-444.627175662632,-38657.585979858006,-1211.0037221236016,Nemertea,Metazoa,Eukaryota,Pilidiophora,ribbon worms,multicellular animals,eukaryotes,Pilidiophora
Pinguiophyceae,-6551.56217974057,5290.567645884501,35994.105860825795,,,Eukaryota,Pinguiophyceae,,,eukaryotes,Pinguiophyceae
Pinopsida,-29057.260372808203,13929.483370067372,-22848.33280152489,Streptophyta,Viridiplantae,Eukaryota,Pinopsida,Streptophyta,green plants,eukaryotes,Pinopsida
Pneumocystidomycetes,33769.6309392368,8064.71793176619,-20051.89418869056,Ascomycota,Fungi,Eukaryota,Pneumocystidomycetes,ascomycetes,Fungi,eukaryotes,Pneumocystidomycetes
Polychaeta|polychaetes,3326.328329691537,-37366.03244890807,3839.4849632312,Annelida,Metazoa,Eukaryota,Polychaeta,annelid worms,multicellular animals,eukaryotes,polychaetes
Polycystinea,2951.685203541243,31754.120116242066,17887.13876365467,,,Eukaryota,Polycystinea,,,eukaryotes,Polycystinea
Polyplacophora|chitons,7648.635105423793,-35862.570586752845,2808.985753293302,Mollusca,Metazoa,Eukaryota,Polyplacophora,molluscs,multicellular animals,eukaryotes,chitons
Polypodiopsida,-26964.34828444157,16825.030300935712,-23037.160879726576,Streptophyta,Viridiplantae,Eukaryota,Polypodiopsida,Streptophyta,green plants,eukaryotes,Polypodiopsida
Polytrichopsida|hair mosses,-31974.03350467,14505.996100465858,-14381.920346315794,Streptophyta,Viridiplantae,Eukaryota,Polytrichopsida,Streptophyta,green plants,eukaryotes,hair mosses
Priapulimorpha,12476.712569410767,-32398.18127522376,-21710.01347213536,Priapulida,Metazoa,Eukaryota,Priapulimorpha,penis worms,multicellular animals,eukaryotes,Priapulimorpha
Protura|proturans,20398.081078991345,-36075.02360983211,-8839.076360187653,Arthropoda,Metazoa,Eukaryota,Protura,arthropods,multicellular animals,eukaryotes,coneheads
Pucciniomycetes,28178.437618543387,-1468.9574239608228,-32676.47839957745,Basidiomycota,Fungi,Eukaryota,Pucciniomycetes,basidiomycetes,Fungi,eukaryotes,Pucciniomycetes
Pycnogonida|sea spiders,11944.599010117405,-38791.95485077527,-10944.81601172082,Arthropoda,Metazoa,Eukaryota,Pycnogonida,arthropods,multicellular animals,eukaryotes,sea spiders
Raphidophyceae|raphidophytes,-8778.653697757003,8051.409690830955,34063.849373634584,,,Eukaryota,Raphidophyceae,,,eukaryotes,raphidophytes
Remipedia,15372.270908711636,-38292.44629814703,-7498.054383592453,Arthropoda,Metazoa,Eukaryota,Remipedia,arthropods,multicellular animals,eukaryotes,Remipedia
Rhabditophora,13317.482226715323,-37577.60829219184,4454.473620123015,Platyhelminthes,Metazoa,Eukaryota,Rhabditophora,flatworms,multicellular animals,eukaryotes,Rhabditophora
Rhodellophyceae,7604.66049617166,40352.43002291765,-3284.834914547649,Rhodophyta,,Eukaryota,Rhodellophyceae,red algae,,eukaryotes,Rhodellophyceae
Rhynchonellata,-2164.3273421208123,-36698.13187637865,-3036.163767567683,Brachiopoda,Metazoa,Eukaryota,Rhynchonellata,brachiopods,multicellular animals,eukaryotes,Rhynchonellata
Saccharomycetes,31069.73263185049,7641.459512305682,-24475.9636854625,Ascomycota,Fungi,Eukaryota,Saccharomycetes,ascomycetes,Fungi,eukaryotes,Saccharomycetes
Sagittoidea,4113.4729583396775,-39888.01465791299,-10428.798612775878,Chaetognatha,Metazoa,Eukaryota,Sagittoidea,arrow worms,multicellular animals,eukaryotes,Sagittoidea
Scaphopoda|tusk shells,11258.253210758938,-39508.18892955738,748.499594299632,Mollusca,Metazoa,Eukaryota,Scaphopoda,molluscs,multicellular animals,eukaryotes,tusk shells
Schizosaccharomycetes,32039.921230015665,7922.626437792704,-22941.31970461832,Ascomycota,Fungi,Eukaryota,Schizosaccharomycetes,ascomycetes,Fungi,eukaryotes,Schizosaccharomycetes
Scyphozoa|jellyfishes,-5720.978535773355,-36190.99734902888,-7089.686808789833,Cnidaria,Metazoa,Eukaryota,Scyphozoa,coelenterates,multicellular animals,eukaryotes,jellyfishes
Solenogastres|solenogasters,6226.293035428224,-38880.20056417897,4061.674971546567,Mollusca,Metazoa,Eukaryota,Solenogastres,molluscs,multicellular animals,eukaryotes,solenogasters
Sordariomycetes,35629.54654191591,3350.3116459250414,-21634.70232510748,Ascomycota,Fungi,Eukaryota,Sordariomycetes,ascomycetes,Fungi,eukaryotes,Sordariomycetes
Sphagnopsida,-32829.62544135962,11706.518373967698,-16761.357397035557,Streptophyta,Viridiplantae,Eukaryota,Sphagnopsida,Streptophyta,green plants,eukaryotes,Sphagnopsida
Spirotrichea,16769.641485629658,28967.010807179777,21221.14167003119,Ciliophora,,Eukaryota,Spirotrichea,ciliates,,eukaryotes,Spirotrichea
Stylonematophyceae,9760.643629013412,40087.88129249332,-7404.559675124696,Rhodophyta,,Eukaryota,Stylonematophyceae,red algae,,eukaryotes,Stylonematophyceae
Symphyla|symphylans,16983.02624181007,-34890.03524618069,-16183.855329000562,Arthropoda,Metazoa,Eukaryota,Symphyla,arthropods,multicellular animals,eukaryotes,symphylans
Synchromophyceae,-5948.455969193991,14560.237290542476,31529.51217632861,,,Eukaryota,Synchromophyceae,,,eukaryotes,Synchromophyceae
Synurophyceae-1,-11350.75280169664,6762.754663997865,33591.12376945483,,,Eukaryota,Synurophyceae,,,eukaryotes,Synurophyceae
Synurophyceae-2,-8061.206203758472,4642.190932306152,35737.21676254236,,,Eukaryota,Synurophyceae,,,eukaryotes,Synurophyceae
Takakiopsida,-32388.6593603204,11758.027554306876,-18005.246824074577,Streptophyta,Viridiplantae,Eukaryota,Takakiopsida,Streptophyta,green plants,eukaryotes,Takakiopsida
Taphrinomycetes,32947.5361762572,8082.504424966468,-21410.99400125381,Ascomycota,Fungi,Eukaryota,Taphrinomycetes,ascomycetes,Fungi,eukaryotes,Taphrinomycetes
Tentaculata,1189.7102521786514,-27911.92184961565,-28001.91999511048,Ctenophora,Metazoa,Eukaryota,Tentaculata,comb jellies,multicellular animals,eukaryotes,Tentaculata
Tetraphidopsida,-31122.02911542965,15492.092305368762,-15261.489207859311,Streptophyta,Viridiplantae,Eukaryota,Tetraphidopsida,Streptophyta,green plants,eukaryotes,Tetraphidopsida
Thaliacea,-260.7498259772965,-35924.683260240374,-18269.462130317093,Chordata,Metazoa,Eukaryota,Thaliacea,chordates,multicellular animals,eukaryotes,Thaliacea
Thecofilosea,-7152.714619243713,30216.40270972324,17017.135152025905,Cercozoa,,Eukaryota,Thecofilosea,Cercozoa,,eukaryotes,Thecofilosea
Thecostraca,22067.969914705394,-35338.587156524045,-6050.619314271575,Arthropoda,Metazoa,Eukaryota,Thecostraca,arthropods,multicellular animals,eukaryotes,Thecostraca
Trebouxiophyceae,-21991.275677656184,29049.676733428165,-5599.889678718817,Chlorophyta,Viridiplantae,Eukaryota,Trebouxiophyceae,green algae,green plants,eukaryotes,Trebouxiophyceae
Trematoda,12047.793810456273,-35814.47356832861,5630.80829532662,Platyhelminthes,Metazoa,Eukaryota,Trematoda,flatworms,multicellular animals,eukaryotes,Trematoda
Tremellomycetes,27973.958119957664,3255.300880639221,-30823.32334259837,Basidiomycota,Fungi,Eukaryota,Tremellomycetes,basidiomycetes,Fungi,eukaryotes,Tremellomycetes
Udeonychophora,11475.003377223557,-37897.3550707823,-14199.594416904472,Onychophora,Metazoa,Eukaryota,Udeonychophora,velvet worms,multicellular animals,eukaryotes,Udeonychophora
Ulvophyceae,-16991.877386577373,29710.60186956041,-17716.39594228375,Chlorophyta,Viridiplantae,Eukaryota,Ulvophyceae,green algae,green plants,eukaryotes,Ulvophyceae
Umbelopsidomycetes,19525.66797319281,4290.63931450529,-35229.497533729824,Mucoromycota,Fungi,Eukaryota,Umbelopsidomycetes,Mucoromycota,Fungi,eukaryotes,Umbelopsidomycetes
Ustilaginomycetes,25606.09626145269,7053.394446957496,-30048.4603834644,Basidiomycota,Fungi,Eukaryota,Ustilaginomycetes,basidiomycetes,Fungi,eukaryotes,Ustilaginomycetes
Wallemiomycetes,26402.336708494862,3924.792046057413,-31575.339068352543,Basidiomycota,Fungi,Eukaryota,Wallemiomycetes,basidiomycetes,Fungi,eukaryotes,Wallemiomycetes
Xanthophyceae|yellow-green algae,-8944.977795972638,9739.505119090074,33184.502908670285,,,Eukaryota,Xanthophyceae,,,eukaryotes,yellow-green algae
Xylonomycetes,36883.39291669868,2654.859590600517,-19940.56996448172,Ascomycota,Fungi,Eukaryota,Xylonomycetes,ascomycetes,Fungi,eukaryotes,Xylonomycetes
Zygnemophyceae|gamophytes,-28955.46143372104,20541.72407210157,-10327.45147603723,Streptophyta,Viridiplantae,Eukaryota,Zygnemophyceae,Streptophyta,green plants,eukaryotes,gamophytes
