,x,y,z,order,name,name_eng,order_eng
Nycteridae,-539.8361423028426,-31687.35660949925,-23012.76445946105,Chiroptera,Nycteridae,hollow-faced bats,bats
Noctilionidae,-536.6394840460295,-31683.820154564943,-23017.715458331822,Chiroptera,Noctilionidae,bulldog bats,bats
Mystacinidae,-538.5154234648227,-31681.458733856845,-23016.696717489805,Chiroptera,Mystacinidae,New Zealand short-tailed bats,bats
Rhinopomatidae,-537.5723175461967,-31685.891846261315,-23011.538101857772,Chiroptera,Rhinopomatidae,Mouse-tailed bats,bats
Thyropteridae,-540.8393644775424,-31684.836082075373,-23011.87569326401,Chiroptera,Thyropteridae,Disc-winged bats,bats
Furipteridae,-541.3089926675917,-31682.54961008996,-23016.252627264315,Chiroptera,Furipteridae,Smoky bats,bats
Myzopodidae,-535.37842728635,-31685.541243296637,-23013.48363613043,Chiroptera,Myzopodidae,Myzopodidae,bats
Hipposideridae,-538.7870453802747,-31682.92408162873,-23011.512013106392,Chiroptera,Hipposideridae,Old World leaf-nosed bats,bats
Craseonycteridae,-538.1639202680894,-31686.90890886204,-23017.52079780032,Chiroptera,Craseonycteridae,Kitti's hog-nosed bat,bats
Rhinonycteridae,-537.2375504339058,-31687.90008296245,-23014.336853002937,Chiroptera,Rhinonycteridae,Rhinonycteridae,bats
Equidae,-541.996262899056,-31629.70015599429,-22999.6880240338,Perissodactyla,Equidae,horses,odd-toed ungulates
Tapiridae,-538.3625353537153,-31633.16908638496,-22999.428917373087,Perissodactyla,Tapiridae,tapirs,odd-toed ungulates
Rhinocerotidae,-537.5271244687003,-31628.517873395544,-22997.70469067214,Perissodactyla,Rhinocerotidae,rhinoceroses,odd-toed ungulates
Manidae,-555.1995204682222,-31652.42075290346,-23009.350801983,Pholidota,Manidae,pangolins,pangolins
Viverridae,-511.01845455857534,-31657.738634178164,-22984.877042776923,Carnivora,Viverridae,civets,carnivores
Hyaenidae,-509.40979847038176,-31659.94991875239,-22984.787843579397,Carnivora,Hyaenidae,hyaenas,carnivores
Felidae,-512.7832826060184,-31657.165756979648,-22986.883112793155,Carnivora,Felidae,cat family,carnivores
Herpestidae,-510.467866999566,-31655.512182347346,-22986.284572011184,Carnivora,Herpestidae,mongooses,carnivores
Nandiniidae,-512.17139096259,-31659.903023562558,-22985.88323642135,Carnivora,Nandiniidae,African palm civet family,carnivores
Eupleridae,-508.3855509937053,-31657.22911786474,-22984.98379100764,Carnivora,Eupleridae,"falanouc, Malagasy civet, ring-tailed mongoose and others",carnivores
Canidae,-507.60252352877416,-31660.893130731383,-22988.26186169142,Carnivora,Canidae,"dog, coyote, wolf, fox",carnivores
Ursidae,-507.4524502950106,-31656.462305581623,-22988.86169931005,Carnivora,Ursidae,bears,carnivores
Procyonidae,-509.3494339645495,-31660.08882065697,-22990.778035908057,Carnivora,Procyonidae,"raccoon, coati & olingo",carnivores
Mustelidae,-506.5465481208769,-31658.82611911625,-22988.10264647249,Carnivora,Mustelidae,"weasel, mink, badger, martens and others",carnivores
Otariidae,-509.7257984428181,-31656.13645966491,-22990.124203729138,Carnivora,Otariidae,fur seals & sea lions,carnivores
Odobenidae,-511.3657088885981,-31657.70025179149,-22990.609321588643,Carnivora,Odobenidae,walruses,carnivores
Phocidae,-511.814280171734,-31659.996983866848,-22989.84352228409,Carnivora,Phocidae,crawling seals,carnivores
Mephitidae,-507.84215404456165,-31658.29065064145,-22990.612134499363,Carnivora,Mephitidae,skunks,carnivores
Ailuridae,-509.9054020326697,-31661.60165391204,-22988.661527004013,Carnivora,Ailuridae,Red Panda family,carnivores
Camelidae,-510.1133036456581,-31622.979931032416,-22992.314131355983,Artiodactyla,Camelidae,Camelids,"whales, hippos, ruminants, pigs, camels etc."
Tragulidae,-506.9046999443107,-31622.9717384754,-22988.29040740009,Artiodactyla,Tragulidae,chevrotains,"whales, hippos, ruminants, pigs, camels etc."
Cervidae,-507.6228675477014,-31624.147980329,-22990.88013904824,Artiodactyla,Cervidae,deer,"whales, hippos, ruminants, pigs, camels etc."
Antilocapridae,-507.0174062366247,-31624.16100702325,-22989.608984728144,Artiodactyla,Antilocapridae,pronghorn,"whales, hippos, ruminants, pigs, camels etc."
Giraffidae,-507.3603759982976,-31624.6201291844,-22990.2092190192,Artiodactyla,Giraffidae,giraffes and okapi,"whales, hippos, ruminants, pigs, camels etc."
Bovidae,-507.4323229202762,-31623.30878706456,-22990.72056183129,Artiodactyla,Bovidae,cloven-hoofed ruminant mammals,"whales, hippos, ruminants, pigs, camels etc."
Moschidae,-507.0699051463018,-31623.24068946186,-22990.001394022765,Artiodactyla,Moschidae,musk deer,"whales, hippos, ruminants, pigs, camels etc."
Suidae,-509.43574128490775,-31620.694440013456,-22990.667626990224,Artiodactyla,Suidae,boars,"whales, hippos, ruminants, pigs, camels etc."
Tayassuidae,-508.89100332188616,-31620.409604179356,-22989.555079095266,Artiodactyla,Tayassuidae,peccaries,"whales, hippos, ruminants, pigs, camels etc."
Platanistidae,-510.7406154070445,-31624.77212459999,-22989.54696939216,Artiodactyla,Platanistidae,freshwater dolphins,"whales, hippos, ruminants, pigs, camels etc."
Delphinidae,-510.8625536785199,-31624.64614764007,-22988.22560362565,Artiodactyla,Delphinidae,marine dolphins,"whales, hippos, ruminants, pigs, camels etc."
