,x,y,z,genus,family,superfamily,suborder,order,nb_species
Macromia,-0.530859890555074,0.699590170388442,0.478290048083509,Macromia,Macromiidae,Libelluloidea,Anisoptera,Odonata,79
Epophthalmia,-0.823202282505165,0.0119023301576316,-0.567623410911764,Epophthalmia,Macromiidae,Libelluloidea,Anisoptera,Odonata,5
Phyllomacromia,-0.217119422803606,-0.921108396583783,0.323138481125789,Phyllomacromia,Macromiidae,Libelluloidea,Anisoptera,Odonata,36
Didymops,0.97167946313035,0.181414886477681,-0.151418822789658,Didymops,Macromiidae,Libelluloidea,Anisoptera,Odonata,2
