,x,y,z,genus,family,superfamily,suborder,order,nb_species
Polythore,-0.712847363687339,0.0440996851221,0.699931320813794,Polythore,Polythoridae,Calopterygoidea,Zygoptera,Odonata,23
Miocora,-0.839539412205478,-0.100095338538175,-0.533998594152277,Miocora,Polythoridae,Calopterygoidea,Zygoptera,Odonata,10
Chalcopteryx,0.627764083498395,-0.775586466902604,0.0661656090953262,Chalcopteryx,Polythoridae,Calopterygoidea,Zygoptera,Odonata,5
Cora,0.498219669258629,0.86635741350644,-0.0346697739573411,Cora,Polythoridae,Calopterygoidea,Zygoptera,Odonata,9
