,x,y,z,genus,family,superfamily,suborder,order,nb_species
Thaumatoneura,1,0,0,Thaumatoneura,Thaumatoneuridae,Calopterygoidea,Zygoptera,Odonata,1
Paraphlebia,-1,0,0,Paraphlebia,Thaumatoneuridae,Calopterygoidea,Zygoptera,Odonata,15
