,x,y,z,genus,family,superfamily,suborder,order,nb_species
Choristhemis,1,0,0,Choristhemis,Synthemistidae,Libelluloidea,Anisoptera,Odonata,2
Synthemis,-1,0,0,Synthemis,Synthemistidae,Libelluloidea,Anisoptera,Odonata,2
