,x,y,z,genus,family,superfamily,suborder,order,nb_species
Philogenia,1,0,0,Philogenia,Philogeniidae,Calopterygoidea,Zygoptera,Odonata,39
Archaeopodagrion,-1,0,0,Archaeopodagrion,Philogeniidae,Calopterygoidea,Zygoptera,Odonata,6
