,x,y,z,genus,family,superfamily,suborder,order,nb_species
Cordulegaster,1,0,0,Cordulegaster,Cordulegastridae,Cordulegastroidea,Anisoptera,Odonata,10
Anotogaster,-1,0,0,Anotogaster,Cordulegastridae,Cordulegastroidea,Anisoptera,Odonata,11
