,x,y,z,genus,family,superfamily,suborder,order,nb_species
Drepanoneura,0.242259859024224,-0.557452810442028,-0.794075893624688,Drepanoneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Amphiallagma,-0.974864923669404,0.183955984511742,0.125692387841755,Amphiallagma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Telebasis,0.64490948202312,-0.725000162944158,-0.241798518869771,Telebasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,62
Africallagma,-0.691546049093953,-0.654126716647871,0.306402187573816,Africallagma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,12
Megalagrion,-0.500541686555712,-0.286591359586195,0.816898655054897,Megalagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,23
Dolonagrion,-0.753611350051667,-0.326652183367101,0.570410627683961,Dolonagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Phoenicagrion,0.238022938720553,-0.967649364832347,-0.0836647320104867,Phoenicagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,7
Pseudagrion,-0.292577220554661,0.345182513146461,0.891766562857345,Pseudagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,156
Xanthagrion,-0.75741159774876,0.55129252349111,0.349863152015863,Xanthagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Thaumatagrion,-0.592088419712027,0.111758195437638,0.798086091217882,Thaumatagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Coenagriocnemis,-0.193942725502742,-0.81546328326213,-0.545349294375554,Coenagriocnemis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Pseudostigma,0.689082601160687,0.249445242302271,0.680398588968542,Pseudostigma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Psaironeura,-0.50231166395832,0.802665970580053,-0.321574768792897,Psaironeura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Melanesobasis,0.926896125163413,-0.129481969811619,0.352275449968847,Melanesobasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,7
Aciagrion,-0.416258501822326,-0.908870820979805,0.0261283453767647,Aciagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,28
Azuragrion,-0.533014189039669,-0.772742003686228,0.344623954508935,Azuragrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Teinobasis,0.9058298812986,-0.413742698245203,-0.0910450756237944,Teinobasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,88
Cyanallagma,-0.644503445327156,0.443797995615629,-0.622622396038703,Cyanallagma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Franciscobasis,-0.868006467449839,0.23933861275978,-0.435065283500621,Franciscobasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Paracercion,-0.848301852940587,0.476860690365521,-0.2301908953058,Paracercion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,9
Acanthagrion,-0.980773841881791,-0.158960957509109,-0.113199315670276,Acanthagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,42
Megaloprepus,0.44374683046849,-0.0250481878261883,0.895802064485115,Megaloprepus,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Hesperagrion,-0.88820904371699,0.0493599484123252,0.456780352195761,Hesperagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Microstigma,0.277742514425935,-0.257552015280932,0.925486928651664,Microstigma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Aeolagrion,0.488999909566793,-0.79968216371228,0.348407126052431,Aeolagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Nehalennia,0.655346441887992,-0.296456838085395,-0.694718924643023,Nehalennia,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Peristicta,0.578835160750279,0.663405664614606,0.474175896515683,Peristicta,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Neoneura,0.295699456815841,0.367943286487657,-0.881577886047216,Neoneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,29
Pyrrhosoma,0.949882712563187,0.25528034808324,-0.180429421813911,Pyrrhosoma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Agriocnemis,-0.069694868720608,0.981598462458724,0.177783811897163,Agriocnemis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,43
Metaleptobasis,0.610439709363232,-0.620264613226719,0.492580116134667,Metaleptobasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,32
Protoneura,0.0656187257552662,0.895911114812042,-0.439360281758035,Protoneura,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,22
Huosoma,0.68810202306735,0.524636501925864,-0.501270532444919,Huosoma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Mortonagrion,-0.180309608182933,0.609318806655621,0.772152211065077,Mortonagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,16
Chromagrion,0.962791835811393,-0.158107908791881,-0.219166078744831,Chromagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,1
Pericnemis,0.870949043649686,-0.150528530855694,-0.467748783818968,Pericnemis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,13
Minagrion,0.375670210380891,-0.829758185001101,-0.412762943414323,Minagrion,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,6
Vanuatubasis,-0.393051748592523,-0.870256243507032,-0.296924895496132,Vanuatubasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,10
Argiocnemis,0.249595955320099,0.966584853357897,0.0584429666165253,Argiocnemis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,3
Platystigma,0.356621753345335,0.520363787393248,0.775913947426294,Platystigma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,8
Pandanobasis,0.730114122510672,-0.316576511686237,0.605568064183577,Pandanobasis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,4
Neoerythromma,-0.541777630666291,0.585967301706895,0.602593826918232,Neoerythromma,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,2
Amphicnemis,0.996236758719929,-0.0211201115132618,0.0840610579571674,Amphicnemis,Coenagrionidae,Coenagrionoidea,Zygoptera,Odonata,22
