,x,y,z,genus,family,superfamily,suborder,order,nb_species
Diphlebia,1,0,0,Diphlebia,Lestoideidae,Calopterygoidea,Zygoptera,Odonata,5
Lestoidea,-1,0,0,Lestoidea,Lestoideidae,Calopterygoidea,Zygoptera,Odonata,4
