,x,y,z,genus,family,superfamily,suborder,order,nb_species
Philosina,1,0,0,Philosina,Philosinidae,Calopterygoidea,Zygoptera,Odonata,3
Rhinagrion,-1,0,0,Rhinagrion,Philosinidae,Calopterygoidea,Zygoptera,Odonata,10
