,x,y,z,genus,family,superfamily,suborder,order,nb_species
Synlestes,0.586386512929328,0.758658554280373,-0.283880354149064,Synlestes,Synlestidae,Lestoidea,Zygoptera,Odonata,3
Megalestes,-0.219546444545131,0.152447343288339,0.963617749012501,Megalestes,Synlestidae,Lestoidea,Zygoptera,Odonata,12
Chlorolestes,-0.884518518442296,-0.0060223223459332,-0.466466206885565,Chlorolestes,Synlestidae,Lestoidea,Zygoptera,Odonata,7
Nubiolestes,0.476017791723182,-0.876110823511622,-0.0763995215218829,Nubiolestes,Synlestidae,Lestoidea,Zygoptera,Odonata,1
