,x_present,y_present,z_present,x_split,y_split,z_split
branch_Acanthisittidae,0.021102023784942175,-0.8115706737517644,0.5838730688567599,0.021102019564547353,-0.8115705114378197,0.5838729520822773
branch_Acanthizidae,0.0865481818933752,-0.8882999985775849,-0.4510349644716241,0.08654818031977905,-0.8882999824266999,-0.45103495627099766
branch_Accipitridae,0.9982166673290239,-0.006135518312614127,0.0593789097196877,0.58698846115369,-0.0036079125610425132,0.03491700347441675
branch_Aegithalidae,-0.7773809441308284,-0.2502582754315841,0.5771045639381096,-0.777380732118086,-0.25025820717940206,0.5771044065461465
branch_Aegothelidae,-0.19276138705888426,0.9403773817888691,-0.2802381878277087,-0.15423717251736044,0.7524388088268525,-0.22423134830801594
branch_Alaudidae,-0.7967162099690126,-0.4388274215574213,0.415540358208184,-0.7967159926830373,-0.4388273018773562,0.4155402448791335
branch_Alcedinidae,0.7531265893847136,-0.26450539185999694,0.6023597367658815,0.45873600713734786,-0.16111255270815583,0.3669025956579712
branch_Alcidae,0.26779551451894,0.6425441084592912,0.7179294154202839,0.26779521994421995,0.6425434016616155,0.7179286256988717
branch_Anatidae,-0.3665047863302192,0.7617935587764056,0.5341767777072867,-0.2510242601450525,0.5217630754290338,0.36586515486819227
branch_Anhimidae,-0.6285331962366894,0.661863605384587,0.40851267242734135,-0.62853261912962,0.6618629976741819,0.4085122973388752
branch_Anhingidae,0.7493290412318396,0.6617893693397999,0.023255817193476202,0.7493285167021363,0.6617889060877853,0.02325580091442437
branch_Anseranatidae,-0.5877867504258063,0.7088773280105277,0.3898713689082983,-0.5877862107313486,0.708876677133032,0.38987101093593035
branch_Apodidae,0.41342907025258896,0.874999177352987,-0.2518985072198924,0.2536384287812059,0.5368113480580032,-0.1545395478468622
branch_Apterygidae,0.14286909904998346,0.22206866638656375,0.9645070981511026,0.130073195393092,0.2021793461683351,0.8781221486666451
branch_Aramidae,0.3103992510988103,0.22018818021708697,0.9247537427055411,0.3103988250057875,0.22018787795913244,0.9247524732723702
branch_Ardeidae,0.8915108092985934,0.42799794579270484,0.14841243121427633,0.5465045281498689,0.26236677444053985,0.09097821904834408
branch_Artamidae,-0.4995695666196712,-0.22865951299724824,-0.8355507702475117,-0.49956911246605434,-0.22865930512521138,-0.8355500106568091
branch_Balaenicipitidae,0.8634685518204864,0.4194967712077825,0.28007951264096553,0.8634676491044394,0.41949633264350045,0.2800792198309162
branch_Bombycillidae,-0.8836145564882537,-0.1106653693259076,0.45494890485848843,-0.8836139138602507,-0.11066528884209498,0.4549485739869532
branch_Brachypteraciidae,0.8395386518125411,-0.325411434745897,0.435065816500586,0.6826349643138789,-0.26459439677435126,0.3537551695563669
branch_Bucconidae,0.8815927626468599,-0.07595215544622035,0.465859941795468,0.623346763814118,-0.0537034017384156,0.3293950443025151
branch_Bucerotidae,0.4712280382826853,-0.17997420045083162,0.8634543633257334,0.33204261935789126,-0.12681568174999605,0.6084180592044584
branch_Bucorvidae,0.5841525048745846,-0.20521710800458517,0.7852718026702078,0.5673914529445419,-0.19932882613384245,0.7627400470859684
branch_Burhinidae,0.17214470113744074,0.8707187869239347,0.4606680045389887,0.17214459002599009,0.8707182249152038,0.46066770719908356
branch_Cacatuidae,0.9059470025555959,0.08763054193455369,-0.4142232865481189,0.7489712651302988,0.07244657543061357,-0.3424497659324656
branch_Callaeidae,0.038786823163354925,-0.1333495769083663,-0.9903097935116869,0.038786787902656224,-0.13334945568162765,-0.9903088932311341
branch_Campephagidae,0.11374011071027121,-0.6666484761045797,-0.7366430689017414,0.11374000731029521,-0.66664787006124,-0.7366423992270273
branch_Caprimulgidae,0.37842208825120477,0.9246725055855084,-0.04216034838255082,0.14297405216329845,0.3493563910566006,-0.015928868942943576
branch_Cariamidae,0.9923698681895475,-0.10523733514028552,-0.06424299525991636,0.4233968335638499,-0.04489974544711482,-0.027409418245775516
branch_Casuariidae,0.14162438239452319,0.10711768747083993,0.9841078953957165,0.07509379052049882,0.05679723397887726,0.5218055739904303
branch_Cathartidae,0.9615107137458724,-0.2476245788112472,0.11907657098851895,0.7436121041432517,-0.19150762592135187,0.09209130823095278
branch_Certhiidae,-0.4865088655791809,-0.6940741745105772,-0.5306318671435397,-0.48650849848656325,-0.6940736508006919,-0.5306314667581601
branch_Cettiidae,-0.7302825701031835,-0.2597026022577076,0.6318559492653147,-0.7302823709354543,-0.2597025314298096,0.6318557769411725
branch_Charadriidae,0.40408239319306005,0.870726566810551,0.28027250988920793,0.26275668774881733,0.5661945001417841,0.1822486641489296
branch_Chionididae,0.2374092507673362,0.9187423720353265,0.31551436720838216,0.2374090975306473,0.918741779029594,0.31551416355844836
branch_Ciconiidae,0.5736016659733292,0.8037829132995156,-0.15784223616730847,0.40552739516310843,0.5682619323530992,-0.11159198913942442
branch_Cinclidae,-0.8063085921133267,-0.0999678971198348,0.5829861818839093,-0.8063085188126241,-0.09996788803184918,0.5829861288852205
branch_Cisticolidae,0.11906173646710753,-0.7963388646950192,0.593016635452673,0.11906171265478585,-0.7963387054274281,0.5930165168494812
branch_Climacteridae,-0.023461459092806194,-0.9743404177368514,0.2238533554350445,-0.020013234018334797,-0.8311376848537579,0.19095272678431782
branch_Coliidae,0.9164332286607803,-0.3045525451260167,0.2596110535042534,0.7086307919050125,-0.2354948560133735,0.20074390657010427
branch_Columbidae,-0.3446768299071207,0.9368880632333928,-0.05864004036373239,-0.217844427331712,0.5921368247003869,-0.0370619806825729
