x,y,z,phylum,kingdom,superkingdom,class,phylum_eng,kingdom_eng,superkingdom_eng,class_eng
-0.902266144,0.297228613,0.312363501,Streptophyta,Viridiplantae,Eukaryota,Chlorokybophyceae,Streptophyta,green plants,eukaryotes,Chlorokybophyceae
-0.425487193,0.904956579,-0.003773503,Chlorophyta,Viridiplantae,Eukaryota,Chlorophyceae,green algae,green plants,eukaryotes,Chlorophyceae
-0.30351602,-0.386660026,-0.870845595,,,Eukaryota,Choanoflagellata,,,eukaryotes,Choanoflagellata
0.113997983,-0.63520759,-0.763882044,Chordata,Metazoa,Eukaryota,Chondrichthyes,chordates,multicellular animals,eukaryotes,fishes
0.253859254,-0.709977119,-0.656877439,Nematoda,Metazoa,Eukaryota,Chromadorea,roundworms,multicellular animals,eukaryotes,Chromadorea
-0.559534663,0.410126408,0.720220307,,,Eukaryota,Chrysomerophyceae,,,eukaryotes,Chrysomerophyceae
-0.568101363,0.093129321,0.817672166,,,Eukaryota,Chrysophyceae,,,eukaryotes,golden algae
-0.114530647,-0.083870425,-0.989872963,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes,Chytridiomycota,Fungi,eukaryotes,Chytridiomycetes
0.998962218,-0.02279844,0.03942991,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes,Chytridiomycota,Fungi,eukaryotes,Chytridiomycetes
-0.02204828,-0.147923806,-0.988752963,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes,Chytridiomycota,Fungi,eukaryotes,Chytridiomycetes
0.98548231,0.053063271,0.161272771,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes,Chytridiomycota,Fungi,eukaryotes,Chytridiomycetes
0.046311238,-0.657984445,-0.751606106,Chordata,Metazoa,Eukaryota,Cladistia,chordates,multicellular animals,eukaryotes,Cladistia
-0.350635482,-0.877034894,0.328427395,Annelida,Metazoa,Eukaryota,Clitellata,annelid worms,multicellular animals,eukaryotes,Clitellata
-0.978460525,0.13121176,-0.15936899,Streptophyta,Viridiplantae,Eukaryota,Coleochaetophyceae,Streptophyta,green plants,eukaryotes,Coleochaetophyceae
0.546906891,-0.836214168,-0.040481086,Arthropoda,Metazoa,Eukaryota,Collembola,arthropods,multicellular animals,eukaryotes,springtails
0.884992667,-0.037850564,-0.464063911,Ascomycota,Fungi,Eukaryota,Collemopsidiomycetes,ascomycetes,Fungi,eukaryotes,Collemopsidiomycetes
-0.009901268,0.994798305,-0.101381935,Rhodophyta,,Eukaryota,Compsopogonophyceae,red algae,,eukaryotes,Compsopogonophyceae
0.890829705,0.34985798,-0.289865193,Ascomycota,Fungi,Eukaryota,Coniocybomycetes,ascomycetes,Fungi,eukaryotes,Coniocybomycetes
0.371790888,0.626936198,0.684633142,Apicomplexa,,Eukaryota,Conoidasida,apicomplexans,,eukaryotes,Conoidasida
0.350982161,0.550629101,0.757376469,Apicomplexa,,Eukaryota,Conoidasida,apicomplexans,,eukaryotes,Conoidasida
-0.812073146,-0.166365295,0.559338711,Tubulinea,,Eukaryota,Corycida,Tubulinea,,eukaryotes,Corycida
-0.084790879,0.808902204,0.581796985,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
-0.225265571,0.273380729,0.935156885,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
0.085601061,0.685087639,0.723413702,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
-0.296825931,0.447880508,0.843384501,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
0.050711121,0.533796458,0.844091063,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
0.079349926,0.62105481,0.779740028,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
-0.051598829,0.690662803,0.721333802,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
0.030733629,0.722640485,0.690540494,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
-0.231169739,0.742277231,0.628955534,Bacillariophyta,,Eukaryota,Coscinodiscophyceae,diatoms,,eukaryotes,centric diatoms
-0.241868799,-0.905292386,0.3492065,Brachiopoda,Metazoa,Eukaryota,Craniata,brachiopods,multicellular animals,eukaryotes,Craniata
-0.549874918,-0.684811892,-0.478194779,Echinodermata,Metazoa,Eukaryota,Crinoidea,echinoderms,multicellular animals,eukaryotes,crinoids
