class,x,y,z,phylum,kingdom,superkingdom,class
Chrysophyceae,-0.5681013628007263,0.0931293208024071,0.8176721660854305,,,Eukaryota,Chrysophyceae
Chytridiomycetes,-0.1145306470715671,-0.0838704247049244,-0.9898729629306904,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes
Chytridiomycetes,0.9989622181632524,-0.0227984404123881,0.0394299099303774,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes
Chytridiomycetes,-0.0220482798677598,-0.1479238057132456,-0.988752962603998,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes
Chytridiomycetes,0.9854823095785104,0.05306327106517,0.1612727713275534,Chytridiomycota,Fungi,Eukaryota,Chytridiomycetes
Cladistia,0.046311238418349,-0.6579844451224938,-0.75160610639683,Chordata,Metazoa,Eukaryota,Cladistia
Clitellata,-0.35063548157674,-0.8770348941730296,0.3284273945065339,Annelida,Metazoa,Eukaryota,Clitellata
Coleochaetophyceae,-0.9784605250391032,0.1312117596056806,-0.1593689903380953,Streptophyta,Viridiplantae,Eukaryota,Coleochaetophyceae
Collembola,0.5469068906006702,-0.8362141679452624,-0.0404810862146627,Arthropoda,Metazoa,Eukaryota,Collembola
Collemopsidiomycetes,0.8849926674542785,-0.0378505640241167,-0.4640639108519612,Ascomycota,Fungi,Eukaryota,Collemopsidiomycetes
Compsopogonophyceae,-0.0099012679180353,0.9947983052444026,-0.1013819351584865,Rhodophyta,,Eukaryota,Compsopogonophyceae
Coniocybomycetes,0.8908297050154074,0.3498579804468552,-0.2898651931153689,Ascomycota,Fungi,Eukaryota,Coniocybomycetes
Conoidasida,0.3717908876611466,0.6269361981937248,0.6846331420889111,Apicomplexa,,Eukaryota,Conoidasida
Conoidasida,0.3509821612024699,0.5506291010266501,0.7573764688846799,Apicomplexa,,Eukaryota,Conoidasida
Corycida,-0.8120731462499773,-0.1663652953365002,0.5593387110215616,Tubulinea,,Eukaryota,Corycida
Coscinodiscophyceae,-0.0847908792761567,0.8089022038479695,0.5817969846961003,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,-0.2252655713632901,0.2733807290058438,0.9351568848950448,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,0.0856010606545279,0.6850876393517559,0.7234137024015085,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,-0.2968259306699745,0.4478805082059538,0.8433845014292591,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
Coscinodiscophyceae,0.0507111208612703,0.5337964583517949,0.8440910633765022,Bacillariophyta,,Eukaryota,Coscinodiscophyceae
