ID,x0,y0,z0,x1,y1,z1
branch_Zygoptera,-0.0,0.0,0.0,-0.007563178656088287,0.17600425398705746,-0.04513719078664424
branch_internal2,-0.0,0.0,0.0,-0.0329521437051226,0.07630300750321364,0.1827625520001884
branch_internal3,-0.007563178656088287,0.17600425398705746,-0.04513719078664424,0.05489313029368758,0.23975479730723953,-0.21963576488378747
branch_internal4,-0.007563178656088287,0.17600425398705746,-0.04513719078664424,-0.08135371606446568,0.3216177486493764,0.08133919100146308
branch_Anisoptera,-0.0329521437051226,0.07630300750321364,0.1827625520001884,-0.1645139479512601,0.1713586785532504,0.2894712430720655
branch_Epiophlebiidae,-0.0329521437051226,0.07630300750321364,0.1827625520001884,0.1275925507530885,0.2642457407865601,0.9559782055405251
branch_internal7,0.05489313029368758,0.23975479730723953,-0.21963576488378747,0.4713428423532543,0.06589171222042292,-0.040472471609873134
branch_Platystictidae,0.05489313029368758,0.23975479730723953,-0.21963576488378747,-0.8799308387010051,0.3288511878260165,-0.3428973831459841
branch_internal9,-0.08135371606446568,0.3216177486493764,0.08133919100146308,-0.20631919172502078,0.32744328647793736,0.016163787647441932
branch_Hemiphlebiidae,-0.08135371606446568,0.3216177486493764,0.08133919100146308,0.0883266007363412,0.9111511531768604,0.4024947051413724
branch_internal11,-0.1645139479512601,0.1713586785532504,0.2894712430720655,-0.37616969969084696,0.14378612188053047,0.3473446841593611
branch_Aeshnoidea,-0.1645139479512601,0.1713586785532504,0.2894712430720655,-0.056898548728181404,0.2840407754291898,0.38516579478709184
branch_internal13,0.4713428423532543,0.06589171222042292,-0.040472471609873134,0.2997513114334776,-0.2072392440905198,-0.46327268994891646
branch_Priscagrionidae,0.4713428423532543,0.06589171222042292,-0.040472471609873134,0.5176041289338726,0.4950481715719862,0.697863363083233
branch_Lestidae,-0.20631919172502078,0.32744328647793736,0.016163787647441932,-0.6559351784544649,0.7547188887265086,-0.0121836228328493
branch_internal16,-0.20631919172502078,0.32744328647793736,0.016163787647441932,-0.1677831259586146,0.38780004120000255,0.040127279610972066
branch_internal17,-0.37616969969084696,0.14378612188053047,0.3473446841593611,-0.4856410973660523,-0.009873278710977857,0.4691338938460401
branch_internal18,-0.37616969969084696,0.14378612188053047,0.3473446841593611,-0.4343080761250035,0.3634725684061314,0.38011407481493587
branch_Aeshnidae,-0.056898548728181404,0.2840407754291898,0.38516579478709184,-0.0813218674450322,0.5220085135145351,0.8490546894597532
branch_Austropetaliidae,-0.056898548728181404,0.2840407754291898,0.38516579478709184,-0.1538109881968481,0.6517880092132967,0.7426402702221826
branch_internal21,0.2997513114334776,-0.2072392440905198,-0.46327268994891646,0.5631850731629002,-0.0007481576870403683,-0.41774245578760205
branch_Group2,0.2997513114334776,-0.2072392440905198,-0.46327268994891646,0.061285934812834175,-0.42444026105598015,-0.5397597058331586
branch_Synlestidae,-0.1677831259586146,0.38780004120000255,0.040127279610972066,-0.2719302793292895,0.9527423939992068,0.1354099474209867
branch_Perilestidae,-0.1677831259586146,0.38780004120000255,0.040127279610972066,-0.5113964792321618,0.8577742923934651,0.0519317276608387
branch_Libelluloidea,-0.4856410973660523,-0.009873278710977857,0.4691338938460401,-0.5559734401426738,-0.09787290867177255,0.5422743400030042
branch_Cordulegastroidea,-0.4856410973660523,-0.009873278710977857,0.4691338938460401,-0.6230518425754624,0.08313870028089146,0.5961205990535947
branch_Gomphidae,-0.4343080761250035,0.3634725684061314,0.38011407481493587,-0.7662506369614859,0.5049696057053931,0.3973231162037479
branch_Petaluridae,-0.4343080761250035,0.3634725684061314,0.38011407481493587,-0.479775199053276,0.537829816671291,0.6932206334730054
branch_internal29,0.5631850731629002,-0.0007481576870403683,-0.41774245578760205,0.356293370069931,0.3147071063328268,-0.6595126290498615
branch_Group3,0.5631850731629002,-0.0007481576870403683,-0.41774245578760205,0.7233069890021774,-0.31155775748843595,-0.14702848886333508
branch_internal31,0.061285934812834175,-0.42444026105598015,-0.5397597058331586,-0.19083329267296745,-0.5825290486063042,-0.4570364129045068
branch_Phylogeniidae,0.061285934812834175,-0.42444026105598015,-0.5397597058331586,0.4122451775782467,-0.3646919305037287,-0.8348974244713798
branch_internal33,-0.5559734401426738,-0.09787290867177255,0.5422743400030042,-0.6485983119740821,-0.027547106346680717,0.5897154302452923
branch_Synthemistidae,-0.5559734401426738,-0.09787290867177255,0.5422743400030042,-0.673849143434432,-0.217400363087882,0.706161747775918
branch_internal35,-0.6230518425754624,0.08313870028089146,0.5961205990535947,-0.3403297633456669,-0.10098378637305577,0.9067607917492133
branch_Chlorogomphidae,-0.6230518425754624,0.08313870028089146,0.5961205990535947,-0.9194607976693254,0.2730302257549081,0.2829246142941824
branch_Coenagrionoidea,0.356293370069931,0.3147071063328268,-0.6595126290498615,0.6829587541552296,0.4207353242488634,-0.4206104004240928
branch_Group4,0.356293370069931,0.3147071063328268,-0.6595126290498615,0.021384506364610745,0.20284864369837358,-0.8898627977489572
branch_internal39,0.7233069890021774,-0.31155775748843595,-0.14702848886333508,0.6961312360727319,-0.48374090794422725,0.17534122284355008
branch_internal40,0.7233069890021774,-0.31155775748843595,-0.14702848886333508,0.7023759860718567,-0.12321946756702608,-0.45175138401966386
branch_internal41,-0.19083329267296745,-0.5825290486063042,-0.4570364129045068,-0.022480782004952054,-0.7606268516356078,-0.32917741397828054
branch_internal42,-0.19083329267296745,-0.5825290486063042,-0.4570364129045068,-0.36779240826810633,-0.4307033771830897,-0.6055078101606182
