seqid,x,y,z
GBIR6967-15,-0.02379425881046642,0.21302358153588216,0.15278015642807893
BABNA714-07,0.0169281898020864,0.23545738433334418,0.0648084119873301
YIO255-10,0.05858402310892708,0.24154831447314967,0.04401682911780416
YIO315-10,0.05244738138852845,0.23783306019128833,0.04402987333138604
YIO613-17,0.05532174061301804,0.24173440336105587,0.039336674842326176
YIO614-17,0.05532174061301804,0.24173440336105587,0.039336674842326176
YIO239-10,0.02890507515825799,0.27058293887197654,0.03518299118963332
YIO325-10,0.030335765188653847,0.2726467851009702,0.036884071676294386
YIO446-10,0.027513740307684626,0.2705671334620026,0.03702944104865304
YIO638-17,0.025768246499168035,0.2710429367301369,0.03551533481305623
KAARG199-07,0.013558451745158772,0.24189422852947928,0.2022990964609246
KAARG209-07,0.011889302534716274,0.2429450967379567,0.2028504284646405
KBAR248-06,-0.0025530179330264476,0.2578496202549275,0.13714275318612512
KBPBR212-07,0.007360796657242394,0.25040335387035656,0.2091126198848451
KBPBR251-07,0.007360796657242394,0.25040335387035656,0.2091126198848451
BON318-07,-0.000909642171361995,0.2536399604923135,0.21804215783289158
GBIR13459-19,0.01518362381033639,0.2699328731272158,0.0320693291908119
GBIR13460-19,0.0334454748934703,0.27733472139678195,0.031329920854049606
GBIR13678-19,0.01518362381033639,0.2699328731272158,0.0320693291908119
GBIR13679-19,0.0334454748934703,0.27733472139678195,0.031329920854049606
BBIND335-08,0.02993239428162247,0.24731803054537047,0.05971956640904483
BJNSM437-10,0.029078005139365763,0.269448539080346,0.034881360355391244
BJNSM438-10,0.026262118913239648,0.27152739437178625,0.04131080187472668
BJNSM465-10,0.027804280479071818,0.27103338843426855,0.03732151160415339
BJNSM537-10,0.028842319138584555,0.2674784691065005,0.036352230672033
BJNSM751-11,0.027513740307684626,0.2705671334620026,0.03702944104865304
BOM095-07,-0.00033272159748575425,0.25061858558561145,0.044726968430442715
BOM777-07,0.019404543023135892,0.27647830543708674,0.04317411471788714
BOM796-07,0.0038221206278779888,0.24918577321715804,0.041205804514587836
BON056-06,0.021968545827363774,0.2742488007769136,0.03888668713421059
BON293-07,0.025201429199381065,0.2742722652971773,0.038390291469375226
BSBNA706-06,0.016148032848512683,0.2675986470553591,0.03938236040296569
BSBNA707-06,0.016148032848512683,0.2675986470553591,0.03938236040296569
GBIR11891-19,-0.005723795784210341,0.25686948181243124,0.04293250575398345
GBMNA11355-19,-0.005723795784210341,0.25686948181243124,0.04293250575398345
GBMNA11499-19,0.018537150751434573,0.26722691093402234,0.03922069774650305
GBMTG4447-16,0.018537150751434573,0.26722691093402234,0.03922069774650305
KBARG291-07,-0.0039495225375390935,0.2625627544792278,0.1356613482119528
KBARG298-07,-0.005159775629435549,0.2621204755247345,0.13475779505210142
KBPBR074-07,0.030062863806866083,0.2692657468520876,0.03706222276651301
KBPBR100-07,0.021968545827363774,0.2742488007769136,0.03888668713421059
KBPBR143-07,0.030062863806866083,0.2692657468520876,0.03706222276651301
KBPBR159-07,0.02942639862337935,0.2670241963228681,0.03715771941990915
KBPBR181-07,0.030062863806866083,0.2692657468520876,0.03706222276651301
KBPBR458-07,0.028192881638756155,0.28244576610390315,0.029129091552216674
KBPBR459-07,0.028192881638756155,0.28244576610390315,0.029129091552216674
KBPBR477-07,0.028192881638756155,0.28244576610390315,0.029129091552216674
KBPBR482-07,0.030062863806866083,0.2692657468520876,0.03706222276651301
KBPBR501-07,0.02942639862337935,0.2670241963228681,0.03715771941990915
KBPZM121-07,0.027462124936566412,0.2673192064483898,0.03865458230072771
KBPZM130-07,0.027462124936566412,0.2673192064483898,0.03865458230072771
MNCN406-08,-0.037195949613342945,0.26689565638260476,-0.018304027373715313
MNCN409-08,-0.037195949613342945,0.26689565638260476,-0.018304027373715313
MNCN425-08,-0.03764225512141931,0.2670260368922176,-0.020158770750577752
BOI072-08,0.051557615380407824,0.2129028044433552,0.07979653864232647
BOI139-08,0.05514988224315728,0.21686057290961133,0.07595587366199012
BON210-07,0.04958386837627701,0.21103234638398857,0.07783298050423756
BON325-07,-0.000909642171361995,0.2536399604923135,0.21804215783289158
BROMB974-08,-0.0007510779435848174,0.2540334386814591,0.21581108375867486
CDANS020-05,6.888611532130077e-05,0.2556623268068524,0.2156861605919621
CDANS021-05,-0.0021102370673228947,0.2544145217863916,0.21942685074794036
GBIR1651-09,0.05087991199414059,0.21478636834250955,0.08042934049024035
GBIR1652-09,0.05087991199414059,0.21478636834250955,0.08042934049024035
KBPBK070-08,-0.0005473074701028894,0.25139105932620154,0.2117305250771657
KBPBK175-08,-0.0026411571021739064,0.25471085995665044,0.2204238018465092
KBPBK212-08,0.0001282047621768368,0.25400126124278477,0.21725743711640325
KBPBK254-08,-0.00285734525614441,0.25441883562080453,0.2227529540274136
KBPBK281-08,-0.0007510779435848174,0.2540334386814591,0.21581108375867486
KBPBU722-06,0.05750030231245294,0.21484383820318811,0.07503059041720327
KBPBU724-06,0.051557615380407824,0.2129028044433552,0.07979653864232647
