,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15121117062254502,-0.6510218461759677,-0.7426454559576677,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15148725288141518,-0.6509467951181341,-0.7428260586451636,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15104619689348955,-0.6499684694934517,-0.7391516569222826,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.1535562635931036,-0.6495025498147828,-0.7419730205427465,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.15148937490429804,-0.6496949951630063,-0.738893975682515,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.15077874365482546,-0.6502225215744764,-0.7400248487630796,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.1509007719144028,-0.650108539388345,-0.7398691990825569,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.15089034141894672,-0.6501793772035661,-0.7402710144530291,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.1524851514055823,-0.6493650464362806,-0.7406311587250386,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.15217779559958136,-0.6493709666263472,-0.7399190032889247,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.15307589487007983,-0.6492689216582387,-0.7410272460103517,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15362099115545566,-0.6491724997132083,-0.7411428896092631,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.15362418413686474,-0.648962439468819,-0.740218963994357,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.1533572407177028,-0.648962674549131,-0.7397294860419816,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.152951944061791,-0.6491230777305723,-0.7402017473340371,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.1524350245129133,-0.6492276867672434,-0.7393102178368433,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.1529997392660724,-0.6490380448154593,-0.7393722735703087,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.15371044736485476,-0.6490375178821318,-0.7406979351786813,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
Notoryctidae,-0.15272350495418913,-0.6496625686079723,-0.7417917052278656,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-0.15136564503737185,-0.6500638297006399,-0.7410770613121503,Peramelemorphia,Peramelidae,bandicoots and bilbies,bandicoots
Peroryctidae,-0.15159183319544592,-0.6499744331934775,-0.7412229089365436,Peramelemorphia,Peroryctidae,bandicoots and bilbies,New Guinean bandicoots
Myrmecophagidae,-0.15510734504289475,-0.6535797138058661,-0.7456028771874368,Pilosa,Myrmecophagidae,Pilosa,anteaters
Cyclopedidae,-0.15504518631138614,-0.6533777604879244,-0.7455441405306571,Pilosa,Cyclopedidae,Pilosa,silky anteater
Bradypodidae,-0.15440446319341117,-0.6538309575150673,-0.745661122647327,Pilosa,Bradypodidae,Pilosa,three-fingered sloths
Megalonychidae,-0.15416285396069315,-0.6537781202104975,-0.7456273375176583,Pilosa,Megalonychidae,Pilosa,two-toed sloths
Dasypodidae,-0.15584988874342506,-0.6536552438451991,-0.7455480495590167,Cingulata,Dasypodidae,Armadillos,armadillos
Chlamyphoridae,-0.15561739387065596,-0.6536213746320485,-0.7455718850971611,Cingulata,Chlamyphoridae,Armadillos,Chlamyphoridae
Tenrecidae,-0.15768905917116693,-0.6515335311390033,-0.7437956843965523,Mammalia,Tenrecidae,mammals,tenrecs
Chrysochloridae,-0.1574106124183904,-0.6518733352421444,-0.7442182200016288,Mammalia,Chrysochloridae,mammals,Golden moles
Trichechidae,-0.15670569771551923,-0.6529459565055661,-0.7450998717228471,Sirenia,Trichechidae,manatees and dugongs (seacows),manatees
Dugongidae,-0.1566882657076418,-0.6530148546738812,-0.7451337482565475,Sirenia,Dugongidae,manatees and dugongs (seacows),dugong and sea cow
Elephantidae,-0.15670280356447783,-0.6526397060884676,-0.7449630770941386,Proboscidea,Elephantidae,elephants,elephants
Procaviidae,-0.15659234471512087,-0.6528712402480438,-0.7451033544938872,Hyracoidea,Procaviidae,rock rabbits/dassies,conies
Orycteropodidae,-0.1570442240177259,-0.6523579468097629,-0.7446919029869642,Tubulidentata,Orycteropodidae,aardvarks,aardvarks
Macroscelididae,-0.1531111993541874,-0.6536989247228232,-0.7454062391627458,Macroscelidea,Macroscelididae,elephants shrews,elephant shrew
Erinaceidae,-0.15759556277234776,-0.6514268649851197,-0.7347316612441707,Eulipotyphla,Erinaceidae,"hedgehogs, shrews, moles and others",hedgehogs
Talpidae,-0.1580816201346869,-0.6511026470387438,-0.7354017773369452,Eulipotyphla,Talpidae,"hedgehogs, shrews, moles and others","moles, shrew-moles, and desmans"
Soricidae,-0.15558354857651402,-0.6525389740246147,-0.7333262120900308,Eulipotyphla,Soricidae,"hedgehogs, shrews, moles and others",shrews
Solenodontidae,-0.1566966379107464,-0.6519127832121938,-0.733939300738482,Eulipotyphla,Solenodontidae,"hedgehogs, shrews, moles and others",Solenodons
Pteropodidae,-0.15998428377993545,-0.6512459229251437,-0.7392705430323773,Chiroptera,Pteropodidae,bats,Old World fruit bats
Megadermatidae,-0.16090073887586687,-0.6530946590636508,-0.7379676409734178,Chiroptera,Megadermatidae,bats,false vampire bats
Phyllostomidae,-0.16139289510054514,-0.6558683760510854,-0.738551429979057,Chiroptera,Phyllostomidae,bats,American leaf-nosed and vampire bats
Vespertilionidae,-0.15979883723445965,-0.6517813587380391,-0.7367902816649389,Chiroptera,Vespertilionidae,bats,vespertilionid bats
Molossidae,-0.16011789968957318,-0.651649231755433,-0.7405841974592122,Chiroptera,Molossidae,bats,free-tailed bats
Emballonuridae,-0.16128698981971862,-0.6539500282536971,-0.7392360002971967,Chiroptera,Emballonuridae,bats,"sac-winged, sheath-tailed, and ghost bats"
Rhinolophidae,-0.16021470844001937,-0.6521068203021186,-0.7412401600285872,Chiroptera,Rhinolophidae,bats,Old World leaf-nosed bats
Mormoopidae,-0.15990867589604799,-0.6512448220639315,-0.7383719435994885,Chiroptera,Mormoopidae,bats,Mormoopidae
