,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15040726197010465,-0.6514798488265432,-0.7437461487070673,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15088249310152219,-0.6512995928536982,-0.7440194927417288,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15081404277822863,-0.6493679718788824,-0.7376081843294272,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.15398134683137474,-0.6485011471293224,-0.7418727124595729,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.1515213832844926,-0.6490587559588066,-0.737235744128827,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.15001875706889956,-0.6497471798220367,-0.7389462287172267,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.1502980317277706,-0.649539473528626,-0.7386891587341896,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.15014019541081963,-0.6496393410758757,-0.7393671477872436,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.1526934472628825,-0.6482996084714207,-0.7397273976979155,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.15240143084326438,-0.6483983928457187,-0.7387083663757628,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.15342593402881374,-0.6481785090469339,-0.7402917851566704,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15421981197781573,-0.6480827391589059,-0.740387234768212,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.15432038200317433,-0.6479894255333747,-0.7390454433771825,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.15395766600051217,-0.6480750810654533,-0.7383521610227256,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.1533747151378397,-0.6481162317460457,-0.7390387348488913,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15278810667072254,-0.6484150061488021,-0.737746299646211,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.1535269239302954,-0.6482222083099939,-0.7378342922728655,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.15442115569447862,-0.647996903802832,-0.7397404102751355,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
Notoryctidae,-0.15281144891186205,-0.6487632662260902,-0.7419085320063217,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-0.15092427880657824,-0.649245009243303,-0.7406821020090917,Peramelemorphia,Peramelidae,bandicoots and bilbies,bandicoots
Peroryctidae,-0.1512457281487027,-0.6491184480222065,-0.7409483909262817,Peramelemorphia,Peroryctidae,bandicoots and bilbies,New Guinean bandicoots
Myrmecophagidae,-0.15729984708062147,-0.6582213944875545,-0.7456534097571337,Pilosa,Myrmecophagidae,Pilosa,anteaters
Cyclopedidae,-0.15736659513474321,-0.6579231766292228,-0.7457512327465102,Pilosa,Cyclopedidae,Pilosa,silky anteater
Bradypodidae,-0.1565730192293162,-0.6582699032109777,-0.7458671608785119,Pilosa,Bradypodidae,Pilosa,three-fingered sloths
Megalonychidae,-0.15634105030574727,-0.6583252258901822,-0.7458998098591381,Pilosa,Megalonychidae,Pilosa,two-toed sloths
Dasypodidae,-0.15805324362315276,-0.657798245698411,-0.7454893743703329,Cingulata,Dasypodidae,Armadillos,armadillos
Chlamyphoridae,-0.157915545814079,-0.65789658641614,-0.745520222736984,Cingulata,Chlamyphoridae,Armadillos,Chlamyphoridae
Tenrecidae,-0.16094995435895867,-0.6554987998589811,-0.7434511203015808,Mammalia,Tenrecidae,mammals,tenrecs
Chrysochloridae,-0.16038437175862147,-0.6560775742738204,-0.7441276304739387,Mammalia,Chrysochloridae,mammals,Golden moles
Trichechidae,-0.15933492444799793,-0.6569918713072546,-0.7449294691522413,Sirenia,Trichechidae,manatees and dugongs (seacows),manatees
Dugongidae,-0.1592993425448449,-0.6570411387495948,-0.7449434815699477,Sirenia,Dugongidae,manatees and dugongs (seacows),dugong and sea cow
Elephantidae,-0.15944606178521234,-0.6567426373711819,-0.744904829883135,Proboscidea,Elephantidae,elephants,elephants
Procaviidae,-0.15927016758097182,-0.656940091989882,-0.744994375969951,Hyracoidea,Procaviidae,rock rabbits/dassies,conies
Orycteropodidae,-0.15981716136196636,-0.6565181444442005,-0.7446324256722748,Tubulidentata,Orycteropodidae,aardvarks,aardvarks
Macroscelididae,-0.15485621651466822,-0.6585921874000026,-0.7459480988159765,Macroscelidea,Macroscelididae,elephants shrews,elephant shrew
Erinaceidae,-0.15946549193629203,-0.65634981806434,-0.7335246784817744,Eulipotyphla,Erinaceidae,"hedgehogs, shrews, moles and others",hedgehogs
Talpidae,-0.16013430769966985,-0.6561487313422913,-0.7341049059092902,Eulipotyphla,Talpidae,"hedgehogs, shrews, moles and others","moles, shrew-moles, and desmans"
Soricidae,-0.1574198099925124,-0.6573484492292117,-0.732567268782499,Eulipotyphla,Soricidae,"hedgehogs, shrews, moles and others",shrews
Solenodontidae,-0.1583576975516961,-0.6568190688130813,-0.7328696488031724,Eulipotyphla,Solenodontidae,"hedgehogs, shrews, moles and others",Solenodons
Pteropodidae,-0.1620046079533325,-0.6562818158531633,-0.7375491320089721,Chiroptera,Pteropodidae,bats,Old World fruit bats
Megadermatidae,-0.16157521532406058,-0.6572138300360665,-0.7367295920679257,Chiroptera,Megadermatidae,bats,false vampire bats
Phyllostomidae,-0.16121877081942176,-0.6587936536914016,-0.737581609374756,Chiroptera,Phyllostomidae,bats,American leaf-nosed and vampire bats
Vespertilionidae,-0.1612860592579292,-0.6566932523906873,-0.7358150665378917,Chiroptera,Vespertilionidae,bats,vespertilionid bats
Molossidae,-0.16215879244720338,-0.656527508388566,-0.7388605666641527,Chiroptera,Molossidae,bats,free-tailed bats
Emballonuridae,-0.16159996286530925,-0.658017698978749,-0.7376878521057106,Chiroptera,Emballonuridae,bats,"sac-winged, sheath-tailed, and ghost bats"
Rhinolophidae,-0.16212530294822647,-0.6567647007097567,-0.739458753726497,Chiroptera,Rhinolophidae,bats,Old World leaf-nosed bats
Mormoopidae,-0.16181445026199034,-0.6563024368518635,-0.7368936011548336,Chiroptera,Mormoopidae,bats,Mormoopidae
Natalidae,-0.16198801944528832,-0.657340904278196,-0.7395901375788156,Chiroptera,Natalidae,bats,funnel-eared bats
Nycteridae,-0.16115715707052294,-0.6573348364506107,-0.7358783791847167,Chiroptera,Nycteridae,bats,hollow-faced bats
Noctilionidae,-0.1613315597190649,-0.6588377231693234,-0.7382381809071211,Chiroptera,Noctilionidae,bats,bulldog bats
Mystacinidae,-0.16134040669813293,-0.658265477995166,-0.7371217352281733,Chiroptera,Mystacinidae,bats,New Zealand short-tailed bats
Rhinopomatidae,-0.16120619224728516,-0.6578746584198327,-0.7363594245483346,Chiroptera,Rhinopomatidae,bats,Mouse-tailed bats
Thyropteridae,-0.161567304956767,-0.6563642310708183,-0.7362781742647033,Chiroptera,Thyropteridae,bats,Disc-winged bats
Furipteridae,-0.16178003486545253,-0.6580037905237313,-0.7390673840472657,Chiroptera,Furipteridae,bats,Smoky bats
Myzopodidae,-0.16196801736803956,-0.6573524778776986,-0.7386476553977975,Chiroptera,Myzopodidae,bats,Myzopodidae
Hipposideridae,-0.16163231646757387,-0.6583049313394423,-0.7386131949672473,Chiroptera,Hipposideridae,bats,Old World leaf-nosed bats
Craseonycteridae,-0.1618806562632057,-0.6571250377565214,-0.7376854882269851,Chiroptera,Craseonycteridae,bats,Kitti's hog-nosed bat
Rhinonycteridae,-0.16212415639248728,-0.6562022992512117,-0.7381123086459922,Chiroptera,Rhinonycteridae,bats,Rhinonycteridae
Equidae,-0.161716272486498,-0.6570874832479632,-0.7414503596034755,Perissodactyla,Equidae,odd-toed ungulates,horses
Tapiridae,-0.16178509787010947,-0.6569861463586241,-0.7413049601669891,Perissodactyla,Tapiridae,odd-toed ungulates,tapirs
Rhinocerotidae,-0.16185714855050648,-0.6567023849370177,-0.7412596257599375,Perissodactyla,Rhinocerotidae,odd-toed ungulates,rhinoceroses
Manidae,-0.15887412534192438,-0.656823177634519,-0.7331849117179049,Pholidota,Manidae,pangolins,pangolins
Viverridae,-0.1595804343054238,-0.6607993540900426,-0.7410801782912169,Carnivora,Viverridae,carnivores,civets
Hyaenidae,-0.15970893136956243,-0.6609095417223636,-0.7402065720637147,Carnivora,Hyaenidae,carnivores,hyaenas
Felidae,-0.159577493967709,-0.6609345077187023,-0.7406288745133708,Carnivora,Felidae,carnivores,cat family
Herpestidae,-0.1602978386160645,-0.6602738918784347,-0.7404449923973061,Carnivora,Herpestidae,carnivores,mongooses
Nandiniidae,-0.1598596647676356,-0.660673677927433,-0.7406516396203484,Carnivora,Nandiniidae,carnivores,African palm civet family
