,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.1504691844356172,-0.6508319971029229,-0.7430409204784397,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.1510536140844337,-0.6505218710184256,-0.7432748833738494,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15019423450111016,-0.6497064951868441,-0.7386254031584885,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.15324937355114437,-0.6493268234848967,-0.7431089875478196,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.15079895661962456,-0.6493359513068784,-0.7381174653215602,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.14973063397446476,-0.6502267188858345,-0.740479335913564,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.14995817017446805,-0.649939773220619,-0.740107186488283,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.1500235578618556,-0.6500591046715756,-0.7408779003653445,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.15190325852534903,-0.6489993282719394,-0.7414300706641824,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.15160396566578555,-0.6488155317972913,-0.7399821907456585,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.1527910963375986,-0.6488816015243495,-0.742013838408414,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15362965649659666,-0.648717704800968,-0.7421124506163429,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.153496654947871,-0.6483069357250372,-0.7407372251072902,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.1530704587466378,-0.6482704975488472,-0.7398674447805299,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.15267326115202728,-0.6484781028219986,-0.7405673372510444,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15194147864481322,-0.6486212605045933,-0.739140579551845,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.15259749935964667,-0.6483771518944674,-0.7393178104269412,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.1537010155088224,-0.6484753825027217,-0.7415015482162188,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
Notoryctidae,-0.1521330007408837,-0.6495424712440778,-0.7428119640683917,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-0.150777750014397,-0.6498778316059339,-0.7419624749498603,Peramelemorphia,Peramelidae,bandicoots and bilbies,bandicoots
Peroryctidae,-0.15097496848963413,-0.6498413485265584,-0.7421675248826368,Peramelemorphia,Peroryctidae,bandicoots and bilbies,New Guinean bandicoots
Myrmecophagidae,-0.15392608871218502,-0.653465249066765,-0.7462960571909527,Pilosa,Myrmecophagidae,Pilosa,anteaters
Cyclopedidae,-0.15388284019145476,-0.6532888251722371,-0.7462396598008081,Pilosa,Cyclopedidae,Pilosa,silky anteater
Bradypodidae,-0.15356424716368874,-0.6537328219272284,-0.7463084838332886,Pilosa,Bradypodidae,Pilosa,three-fingered sloths
Megalonychidae,-0.15343174919281974,-0.6536625255827955,-0.7462664660406587,Pilosa,Megalonychidae,Pilosa,two-toed sloths
Dasypodidae,-0.15505010393657673,-0.6535471518176214,-0.7463721891011315,Cingulata,Dasypodidae,Armadillos,armadillos
Chlamyphoridae,-0.1545690839093778,-0.6534674574833393,-0.7463496315284218,Cingulata,Chlamyphoridae,Armadillos,Chlamyphoridae
Tenrecidae,-0.15736126110675472,-0.6513449070094374,-0.7448529555808537,Mammalia,Tenrecidae,mammals,tenrecs
Chrysochloridae,-0.15714426456268238,-0.651562128395143,-0.745094213159166,Mammalia,Chrysochloridae,mammals,Golden moles
Trichechidae,-0.15626223706927506,-0.6524573335872402,-0.7458464677367965,Sirenia,Trichechidae,manatees and dugongs (seacows),manatees
Dugongidae,-0.1561999643449378,-0.6525472751189813,-0.7458988885715402,Sirenia,Dugongidae,manatees and dugongs (seacows),dugong and sea cow
Elephantidae,-0.15634522151312535,-0.6520948639606864,-0.7456538693071565,Proboscidea,Elephantidae,elephants,elephants
Procaviidae,-0.15607583508195247,-0.6523997696782977,-0.7458583911889133,Hyracoidea,Procaviidae,rock rabbits/dassies,conies
Orycteropodidae,-0.15680825986661057,-0.6518833546494451,-0.7454106449736325,Tubulidentata,Orycteropodidae,aardvarks,aardvarks
Macroscelididae,-0.15285126953312722,-0.6533901445673715,-0.7460510027806738,Macroscelidea,Macroscelididae,elephants shrews,elephant shrew
Erinaceidae,-0.1574402813416798,-0.6511246764334135,-0.7338435861279624,Eulipotyphla,Erinaceidae,"hedgehogs, shrews, moles and others",hedgehogs
Talpidae,-0.1579180671257614,-0.6510088027791772,-0.7342000603069728,Eulipotyphla,Talpidae,"hedgehogs, shrews, moles and others","moles, shrew-moles, and desmans"
Soricidae,-0.15532215598558205,-0.6515423107190339,-0.73298931917646,Eulipotyphla,Soricidae,"hedgehogs, shrews, moles and others",shrews
Solenodontidae,-0.156798850329097,-0.6512882465935902,-0.7334587585509267,Eulipotyphla,Solenodontidae,"hedgehogs, shrews, moles and others",Solenodons
Pteropodidae,-0.16061192583666267,-0.650834442072981,-0.7393746275383072,Chiroptera,Pteropodidae,bats,Old World fruit bats
Megadermatidae,-0.161586480300604,-0.6530694374543238,-0.7374615906758325,Chiroptera,Megadermatidae,bats,false vampire bats
Phyllostomidae,-0.1620869785658139,-0.6553692336390641,-0.7379902668909508,Chiroptera,Phyllostomidae,bats,American leaf-nosed and vampire bats
Vespertilionidae,-0.16059898521318786,-0.6520683591248833,-0.7361007019820802,Chiroptera,Vespertilionidae,bats,vespertilionid bats
Molossidae,-0.16044955760079227,-0.6510831907575189,-0.7412650736579556,Chiroptera,Molossidae,bats,free-tailed bats
Emballonuridae,-0.1618974780933033,-0.6533770654908252,-0.7387740670121244,Chiroptera,Emballonuridae,bats,"sac-winged, sheath-tailed, and ghost bats"
Rhinolophidae,-0.1604556107981353,-0.6518792621415189,-0.7424460822072613,Chiroptera,Rhinolophidae,bats,Old World leaf-nosed bats
Mormoopidae,-0.16072340018308234,-0.6510882684309238,-0.7382640099394788,Chiroptera,Mormoopidae,bats,Mormoopidae
Natalidae,-0.16091296758794454,-0.6531093664281199,-0.7427131911529732,Chiroptera,Natalidae,bats,funnel-eared bats
Nycteridae,-0.1611515285003814,-0.6536410166525563,-0.7358991761865861,Chiroptera,Nycteridae,bats,hollow-faced bats
Noctilionidae,-0.1620982018252039,-0.6549826603401717,-0.7403630476081883,Chiroptera,Noctilionidae,bats,bulldog bats
Mystacinidae,-0.16174170286771844,-0.6540504345640865,-0.737086922694811,Chiroptera,Mystacinidae,bats,New Zealand short-tailed bats
Rhinopomatidae,-0.16150074816770707,-0.6540951297005053,-0.7364084976312211,Chiroptera,Rhinopomatidae,bats,Mouse-tailed bats
Thyropteridae,-0.16034643197496887,-0.6507912581990712,-0.7376279615823125,Chiroptera,Thyropteridae,bats,Disc-winged bats
Furipteridae,-0.16151973043155687,-0.6536403437716746,-0.7417789255477961,Chiroptera,Furipteridae,bats,Smoky bats
Myzopodidae,-0.16163076975983012,-0.6529898337100662,-0.7407330196452597,Chiroptera,Myzopodidae,bats,Myzopodidae
Hipposideridae,-0.1618829709659813,-0.6540873359212739,-0.740916788723042,Chiroptera,Hipposideridae,bats,Old World leaf-nosed bats
Craseonycteridae,-0.16164205478105118,-0.6526122031501186,-0.7389350923335123,Chiroptera,Craseonycteridae,bats,Kitti's hog-nosed bat
Rhinonycteridae,-0.16022408135250749,-0.6505172764402583,-0.7404116582126021,Chiroptera,Rhinonycteridae,bats,Rhinonycteridae
