,x,y,z,order,family,genus,species,order_eng,family_eng,genus_eng,species_eng
0,-0.1502175654393461,-0.650884382905428,-0.7428991596018403,Monotremata,Ornithorhynchidae,Ornithorhynchidae_fakeus,Ornithorhynchidae_fakeus fakulus,egg-laying mammals,platypus,Ornithorhynchidae_fakeus,Ornithorhynchidae_fakeus fakulus
1,-0.1510018463835878,-0.650333439572102,-0.7430745337870069,Monotremata,Tachyglossidae,Tachyglossus,Tachyglossus aculeatus,egg-laying mammals,echidnas,short-nosed echidnas,short-beaked echidna
2,-0.1508590834622956,-0.6505448788225141,-0.7432019802586679,Monotremata,Tachyglossidae,Zaglossus,Zaglossus bruijni,egg-laying mammals,echidnas,Zaglossus,long-beaked echidna
3,-0.1500612431472571,-0.6497639871449956,-0.7385730598266916,Didelphimorphia,Didelphidae,Marmosa,Marmosa mexicana,Opossums,American opossums,Marmosa,Mexican mouse opossum
4,-0.1504512532049965,-0.6498749438251,-0.7369598556466408,Didelphimorphia,Didelphidae,Didelphis,Didelphis albiventris,Opossums,American opossums,Didelphis,white-eared opossum
5,-0.1503619046288347,-0.6499927451538985,-0.7368530213636182,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,Opossums,American opossums,Didelphis,southern opossum
6,-0.1502627492086017,-0.6496446428527768,-0.7382645760321077,Didelphimorphia,Didelphidae,Marmosa,Marmosa murina,Opossums,American opossums,Marmosa,murine mouse opossum
7,-0.1498711817931503,-0.650134233052202,-0.7376219114146514,Didelphimorphia,Didelphidae,Marmosops,Marmosops parvidens,Opossums,American opossums,Marmosops,delicate slender mouse opossum
8,-0.1497698506401866,-0.65009932453643,-0.7381221987991331,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis brevicaudata,Opossums,American opossums,short-tailed opossums,Red-legged short-tailed Opossum
9,-0.1499370117753258,-0.6501162336156114,-0.7374875055835499,Didelphimorphia,Didelphidae,Marmosops,Marmosops pinheiroi,Opossums,American opossums,Marmosops,Marmosops pinheiroi
10,-0.1502203506129652,-0.6500238334662223,-0.7370587188658517,Didelphimorphia,Didelphidae,Didelphis,Didelphis virginiana,Opossums,American opossums,Didelphis,Virginia opossum
11,-0.1503288208409481,-0.6499522545115041,-0.7370115153010909,Didelphimorphia,Didelphidae,Didelphis,Didelphis aurita,Opossums,American opossums,Didelphis,big-eared opossum
12,-0.1500212060203903,-0.649836499146728,-0.7383078540626424,Didelphimorphia,Didelphidae,Gracilinanus,Gracilinanus microtarsus,Opossums,American opossums,Gracilinanus,Brazilian gracile mouse opossum
13,-0.1504430718501722,-0.6496541381788807,-0.7376110881456457,Didelphimorphia,Didelphidae,Philander,Philander andersoni,Opossums,American opossums,Philander,Philander andersoni
14,-0.1504491471526888,-0.6498030818988785,-0.7371458405800566,Didelphimorphia,Didelphidae,Didelphis,Didelphis pernigra,Opossums,American opossums,Didelphis,Andean white-eared opossum
15,-0.1503107462248122,-0.6496367680855155,-0.7381036530453573,Didelphimorphia,Didelphidae,Marmosa,Marmosa waterhousei,Opossums,American opossums,Marmosa,Marmosa waterhousei
16,-0.1497098260378502,-0.6502289025689679,-0.7378289339084471,Didelphimorphia,Didelphidae,Marmosops,Marmosops invictus,Opossums,American opossums,Marmosops,slaty slender mouse opossum
17,-0.1504120574608651,-0.6496965378612318,-0.7375472171589764,Didelphimorphia,Didelphidae,Philander,Philander opossum,Opossums,American opossums,Philander,gray four-eyed opossum
18,-0.1501725931087561,-0.6498105807702353,-0.7378272328825388,Didelphimorphia,Didelphidae,Chironectes,Chironectes minimus,Opossums,American opossums,Chironectes,water opossum
19,-0.15039409939523,-0.6499074996318325,-0.7369912467921454,Didelphimorphia,Didelphidae,Didelphis,Didelphis imperfecta,Opossums,American opossums,Didelphis,Guianan white-eared opossum
20,-0.1500312292243674,-0.6501035117501394,-0.7372800467515487,Didelphimorphia,Didelphidae,Caluromys,Caluromys philander,Opossums,American opossums,woolly opossums,bare-tailed woolly opossum
21,-0.1498245657706771,-0.6500918390022566,-0.7379307050141694,Didelphimorphia,Didelphidae,Marmosops,Marmosops noctivagus,Opossums,American opossums,Marmosops,white-bellied slender mouse opossum
22,-0.1499551036795151,-0.6500426373034921,-0.7376689744798018,Didelphimorphia,Didelphidae,Metachirus,Metachirus nudicaudatus,Opossums,American opossums,Metachirus,brown four-eyed opossum
23,-0.1501210403948226,-0.649720372357427,-0.7385227300119581,Didelphimorphia,Didelphidae,Marmosa,Marmosa lepida,Opossums,American opossums,Marmosa,little rufous mouse opossum
24,-0.1498132772756135,-0.6500100797889109,-0.7383813935919925,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis reigi,Opossums,American opossums,short-tailed opossums,Monodelphis reigi
25,-0.1499292786197315,-0.6498735073260532,-0.7386095953925925,Didelphimorphia,Didelphidae,Marmosops,Marmosops incanus,Opossums,American opossums,Marmosops,gray slender mouse opossum
26,-0.1498412381801409,-0.6499967896543284,-0.7383068951187411,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis americana,Opossums,American opossums,short-tailed opossums,Northern three-striped opossum
27,-0.1502914024117677,-0.6498249086706079,-0.737441361423295,Didelphimorphia,Didelphidae,Philander,Philander frenatus,Opossums,American opossums,Philander,Southeastern four-eyed oppossum
28,-0.1500786818946514,-0.6500943506344682,-0.7371921614146469,Didelphimorphia,Didelphidae,Caluromys,Caluromys lanatus,Opossums,American opossums,woolly opossums,western woolly opossum
29,-0.1497566627125753,-0.6500378325316379,-0.738553969813007,Didelphimorphia,Didelphidae,Thylamys,Thylamys elegans,Opossums,American opossums,Thylamys,elegant fat-tailed opossum
30,-0.1500005674665178,-0.649932412388908,-0.7379284518213048,Didelphimorphia,Didelphidae,Tlacuatzin,Tlacuatzin canescens,Opossums,American opossums,Tlacuatzin,grayish mouse opossum
31,-0.1496387417085927,-0.6502098891923587,-0.7382043758044061,Didelphimorphia,Didelphidae,Monodelphis,Monodelphis domestica,Opossums,American opossums,short-tailed opossums,gray short-tailed opossum
32,-0.150134677583994,-0.6497597913778571,-0.7382003130910662,Didelphimorphia,Didelphidae,Marmosa,Marmosa xerophila,Opossums,American opossums,Marmosa,Guajira mouse opossum
33,-0.1502259656590782,-0.6496440545439026,-0.7384569121820267,Didelphimorphia,Didelphidae,Micoureus,Micoureus demerarae,Opossums,American opossums,Micoureus,Micoureus demerarae
34,-0.1534182521365294,-0.6494114559227928,-0.7433740058722401,Paucituberculata,Caenolestidae,Lestoros,Lestoros inca,shrew opossums,shrew opossums,Lestoros,Incan shrew opossum
35,-0.1534606658018778,-0.6495792493660486,-0.7436211907012275,Paucituberculata,Caenolestidae,Caenolestes,Caenolestes caniventer,shrew opossums,shrew opossums,common shrew-opossums,grey-bellied shrew opossum
36,-0.1537407472699478,-0.6495726175505598,-0.7436894885883766,Paucituberculata,Caenolestidae,Caenolestes,Caenolestes sangay,shrew opossums,shrew opossums,common shrew-opossums,Sangay shrew opossum
37,-0.1528866229278568,-0.6496111662524969,-0.743444741230338,Paucituberculata,Caenolestidae,Caenolestes,Caenolestes fuliginosus,shrew opossums,shrew opossums,common shrew-opossums,silky shrew opossum
38,-0.1527420999916603,-0.6495429243742951,-0.7432777221957602,Paucituberculata,Caenolestidae,Rhyncholestes,Rhyncholestes raphanurus,shrew opossums,shrew opossums,Chilean shrew opossums,Chilean shrew opossum
39,-0.1507891192281973,-0.649545951677322,-0.7371684153419917,Microbiotheria,Microbiotheriidae,Microbiotheriidae_fakeus,Microbiotheriidae_fakeus fakulus,Monito del monte,Monito del Monte,Microbiotheriidae_fakeus,Microbiotheriidae_fakeus fakulus
