,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15056853255171648,-0.6508138279190875,-0.7430622151351103,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15104963985522063,-0.6505770333374701,-0.7432718967902406,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15028460123260856,-0.6496598025255181,-0.7388544726067002,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.15330270695864204,-0.6492371417982715,-0.7429152432487841,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.150841616991219,-0.6493054098189885,-0.7383995102675847,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.1498781003110945,-0.6501086663542898,-0.7403598850800872,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.15007188361299234,-0.6498830450228184,-0.7400743403095612,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.15009575041467116,-0.6499963630392461,-0.7407122061432477,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.15192715325338957,-0.6489609924522671,-0.7412180260151876,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.15160274235281235,-0.6488592945812485,-0.7400072361564939,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.1527761971261346,-0.6488328051699066,-0.7417823587100905,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15354250165219457,-0.6486900510770739,-0.7419107294607752,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.1534273196051768,-0.6483420672822007,-0.740660953985132,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.1530425483125574,-0.6483190644944142,-0.7399155541273904,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.15263431857273538,-0.6485210957492057,-0.740526884370495,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15191424690055322,-0.6486713652896143,-0.7392176106619144,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.15256635249905354,-0.6484257566286582,-0.7393740482629948,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.15359614845803268,-0.6484792758983142,-0.741335189487388,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
Notoryctidae,-0.15222851047847025,-0.6494538437396532,-0.7426589718066295,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-0.15077068060170232,-0.6498587364513561,-0.7418115619295543,Peramelemorphia,Peramelidae,bandicoots and bilbies,bandicoots
Peroryctidae,-0.15098537730493383,-0.6497994971344772,-0.7420064632052867,Peramelemorphia,Peroryctidae,bandicoots and bilbies,New Guinean bandicoots
Myrmecophagidae,-0.154111645038534,-0.6533798679195125,-0.7462559364455382,Pilosa,Myrmecophagidae,Pilosa,anteaters
Cyclopedidae,-0.15405017651663147,-0.653193519957818,-0.7461930428052649,Pilosa,Cyclopedidae,Pilosa,silky anteater
Bradypodidae,-0.15363666405947213,-0.6537126888314984,-0.7462788474572973,Pilosa,Bradypodidae,Pilosa,three-fingered sloths
Megalonychidae,-0.1534969517723711,-0.6537111651857598,-0.7462533292151049,Pilosa,Megalonychidae,Pilosa,two-toed sloths
Dasypodidae,-0.15528120846016064,-0.6534164895326907,-0.7462886706264346,Cingulata,Dasypodidae,Armadillos,armadillos
Chlamyphoridae,-0.15483364339015113,-0.6534258760476717,-0.746305699297855,Cingulata,Chlamyphoridae,Armadillos,Chlamyphoridae
Tenrecidae,-0.15753883074763916,-0.6512890584320272,-0.7446795498715397,Mammalia,Tenrecidae,mammals,tenrecs
Chrysochloridae,-0.1573337859622398,-0.6515663339366397,-0.7449724480991438,Mammalia,Chrysochloridae,mammals,Golden moles
Trichechidae,-0.15644691253537776,-0.6524844361529865,-0.7457754042873187,Sirenia,Trichechidae,manatees and dugongs (seacows),manatees
Dugongidae,-0.1563984891665566,-0.6525504503999974,-0.7458161763512757,Sirenia,Dugongidae,manatees and dugongs (seacows),dugong and sea cow
Elephantidae,-0.15652634214671415,-0.652159872049046,-0.7456001702685635,Proboscidea,Elephantidae,elephants,elephants
Procaviidae,-0.15631048815882065,-0.6524109442421145,-0.7457745830052265,Hyracoidea,Procaviidae,rock rabbits/dassies,conies
Orycteropodidae,-0.15696320174239964,-0.6519343120659639,-0.7453445734624913,Tubulidentata,Orycteropodidae,aardvarks,aardvarks
Macroscelididae,-0.15286231146647378,-0.6533751041089183,-0.7460108015044099,Macroscelidea,Macroscelididae,elephants shrews,elephant shrew
Erinaceidae,-0.15762747274256347,-0.6510973738706223,-0.7340103758933533,Eulipotyphla,Erinaceidae,"hedgehogs, shrews, moles and others",hedgehogs
Talpidae,-0.15813917862743765,-0.6509538836875666,-0.7344465964785984,Eulipotyphla,Talpidae,"hedgehogs, shrews, moles and others","moles, shrew-moles, and desmans"
Soricidae,-0.15546091222685732,-0.6516735709526819,-0.7329646107788598,Eulipotyphla,Soricidae,"hedgehogs, shrews, moles and others",shrews
Solenodontidae,-0.15687793404258496,-0.6513421635740084,-0.73349395907847,Eulipotyphla,Solenodontidae,"hedgehogs, shrews, moles and others",Solenodons
Pteropodidae,-0.1605967509962097,-0.6508728329325925,-0.7393549249582246,Chiroptera,Pteropodidae,bats,Old World fruit bats
Megadermatidae,-0.16151648926505477,-0.6529665517455386,-0.7374832200479752,Chiroptera,Megadermatidae,bats,false vampire bats
Phyllostomidae,-0.16206628625810177,-0.6553712112727959,-0.7380847894454371,Chiroptera,Phyllostomidae,bats,American leaf-nosed and vampire bats
Vespertilionidae,-0.16055511202908557,-0.6519863390531854,-0.7361937292551806,Chiroptera,Vespertilionidae,bats,vespertilionid bats
Molossidae,-0.1605023647849428,-0.6511619317598866,-0.7411498094438639,Chiroptera,Molossidae,bats,free-tailed bats
Emballonuridae,-0.16184258165471369,-0.6532942681727298,-0.7388906506947249,Chiroptera,Emballonuridae,bats,"sac-winged, sheath-tailed, and ghost bats"
Rhinolophidae,-0.1605184300559195,-0.6518593573136713,-0.7422226932144124,Chiroptera,Rhinolophidae,bats,Old World leaf-nosed bats
Mormoopidae,-0.16067631059574358,-0.651072767154144,-0.7383214175526773,Chiroptera,Mormoopidae,bats,Mormoopidae
Natalidae,-0.16093554396426052,-0.6529718590955105,-0.7424971700266494,Chiroptera,Natalidae,bats,funnel-eared bats
Nycteridae,-0.16108485752985638,-0.6534821747630278,-0.7359401174510576,Chiroptera,Nycteridae,bats,hollow-faced bats
Noctilionidae,-0.1620669381363091,-0.6549027313317811,-0.7402949966650172,Chiroptera,Noctilionidae,bats,bulldog bats
Mystacinidae,-0.16169358762566619,-0.6540069867916282,-0.737083331703919,Chiroptera,Mystacinidae,bats,New Zealand short-tailed bats
Rhinopomatidae,-0.16144812566508251,-0.6539306072324019,-0.7364589664789712,Chiroptera,Rhinopomatidae,bats,Mouse-tailed bats
Thyropteridae,-0.16034767523405388,-0.650830107463057,-0.7376865080749885,Chiroptera,Thyropteridae,bats,Disc-winged bats
Furipteridae,-0.16149237137096634,-0.6534884636564351,-0.741632702849712,Chiroptera,Furipteridae,bats,Smoky bats
Myzopodidae,-0.161570578248394,-0.6528775735731684,-0.7406406613596785,Chiroptera,Myzopodidae,bats,Myzopodidae
Hipposideridae,-0.16181625406362624,-0.653894030623015,-0.7408759669020796,Chiroptera,Hipposideridae,bats,Old World leaf-nosed bats
Craseonycteridae,-0.1615798779406594,-0.6525407317843225,-0.7391525185368105,Chiroptera,Craseonycteridae,bats,Kitti's hog-nosed bat
Rhinonycteridae,-0.16027111870904853,-0.6506000089002065,-0.7403046035003413,Chiroptera,Rhinonycteridae,bats,Rhinonycteridae
Equidae,-0.15967225802215673,-0.6528075037287441,-0.7441016682727158,Perissodactyla,Equidae,odd-toed ungulates,horses
Tapiridae,-0.15979796407551075,-0.6526804162207147,-0.7439011588677361,Perissodactyla,Tapiridae,odd-toed ungulates,tapirs
Rhinocerotidae,-0.15956311116377533,-0.6520560148349549,-0.7437370066731748,Perissodactyla,Rhinocerotidae,odd-toed ungulates,rhinoceroses
Manidae,-0.15746575757731887,-0.6516061923390656,-0.733553577863371,Pholidota,Manidae,pangolins,pangolins
Viverridae,-0.15950048180681722,-0.6591953244433114,-0.7434241315095872,Carnivora,Viverridae,carnivores,civets
Hyaenidae,-0.15972855205658062,-0.6604437934527105,-0.7413009729883927,Carnivora,Hyaenidae,carnivores,hyaenas
Felidae,-0.15952867682202543,-0.6601413023231063,-0.7422635079847376,Carnivora,Felidae,carnivores,cat family
Herpestidae,-0.1608593714372719,-0.6578986135951236,-0.742576619633002,Carnivora,Herpestidae,carnivores,mongooses
Nandiniidae,-0.160278090148628,-0.6589215309365953,-0.742651104273044,Carnivora,Nandiniidae,carnivores,African palm civet family
Eupleridae,-0.16068127801523857,-0.6591105124951874,-0.7416270411067796,Carnivora,Eupleridae,carnivores,"falanouc, Malagasy civet, ring-tailed mongoose and others"
Canidae,-0.15890151475324213,-0.657330978160389,-0.7450244584066462,Carnivora,Canidae,carnivores,"dog, coyote, wolf, fox"
Ursidae,-0.15970486978539042,-0.6538062564556034,-0.7444834754500876,Carnivora,Ursidae,carnivores,bears
Procyonidae,-0.1584266900586602,-0.6559858748626779,-0.7456046203932089,Carnivora,Procyonidae,carnivores,"raccoon, coati & olingo"
Mustelidae,-0.16031272838832764,-0.6548565165955132,-0.7440800931928051,Carnivora,Mustelidae,carnivores,"weasel, mink, badger, martens and others"
Otariidae,-0.15916010234191152,-0.6536487854471871,-0.7448958334526603,Carnivora,Otariidae,carnivores,fur seals & sea lions
Odobenidae,-0.15898679997637274,-0.6544236574685222,-0.7452039006808041,Carnivora,Odobenidae,carnivores,walruses
Phocidae,-0.15973557076266415,-0.6561144473329089,-0.7446437109508467,Carnivora,Phocidae,carnivores,crawling seals
Mephitidae,-0.15829209601832894,-0.6545507658804535,-0.745650676446069,Carnivora,Mephitidae,carnivores,skunks
Ailuridae,-0.15865352775313685,-0.653944074528171,-0.7453283342380217,Carnivora,Ailuridae,carnivores,Red Panda family
Camelidae,-0.15537218893499094,-0.6608303230161255,-0.7343614728578273,Artiodactyla,Camelidae,"whales, hippos, ruminants, pigs, camels etc.",Camelids
