,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15070329607452704,-0.6508047348080753,-0.742980791627503,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15108614758423838,-0.6506494083408165,-0.7431846100163608,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15045421012653037,-0.6496637721075599,-0.7390214974295972,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.1533806230470362,-0.6491638054766278,-0.7425813484364939,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.15095397011442024,-0.6493403361085963,-0.738643698145,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.15010073971873328,-0.6500327602024153,-0.7402083317791308,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.15027059353402727,-0.6498531482765939,-0.7399845043431718,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.15026906927837158,-0.649949487694808,-0.7405071679932111,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.1520570066536671,-0.6489622378579785,-0.7409722296269998,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.1517049789931493,-0.6489370481182034,-0.7400058296820752,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.15283966882490563,-0.6488269010567245,-0.741470874032388,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15350432286669838,-0.6487122617881259,-0.741620033093081,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.1534452725825873,-0.6484306009431368,-0.7405231034815138,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.15310072619066756,-0.6484210349079053,-0.7398968457456574,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.15268248378713542,-0.6486106101160252,-0.7404336056162706,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15198435003295924,-0.6487656087458052,-0.7392818326441046,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.15264326437310388,-0.6485218448530743,-0.7394100016135944,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.1535819430534934,-0.6485359838084188,-0.7411029664099532,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
Notoryctidae,-0.15234487112570072,-0.6493730177672601,-0.7423462004521866,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-0.15087493784420988,-0.6498166958819944,-0.741545635578324,Peramelemorphia,Peramelidae,bandicoots and bilbies,bandicoots
Peroryctidae,-0.1511026509738645,-0.649738152895151,-0.741727092870468,Peramelemorphia,Peroryctidae,bandicoots and bilbies,New Guinean bandicoots
