,x,y,z,order,family,order_eng,family_eng
Ornithorhynchidae,-0.15032285582230503,-0.6508682713459653,-0.7429682811375691,Monotremata,Ornithorhynchidae,egg-laying mammals,platypus
Tachyglossidae,-0.15100150130532766,-0.6504610813302842,-0.7432034606507806,Monotremata,Tachyglossidae,egg-laying mammals,echidnas
Didelphidae,-0.15010578213398382,-0.6498145061239359,-0.7381524859903146,Didelphimorphia,Didelphidae,Opossums,American opossums
Caenolestidae,-0.15321124168185105,-0.6494546888277071,-0.7433397039067962,Paucituberculata,Caenolestidae,shrew opossums,shrew opossums
Microbiotheriidae,-0.15078832343358212,-0.6494506281831657,-0.7375181222880609,Microbiotheria,Microbiotheriidae,Monito del monte,Monito del Monte
Thylacinidae,-0.14951950660500718,-0.6504393855061791,-0.7406237555979399,Dasyuromorphia,Thylacinidae,Dasyuromorphia,Thylacine
Dasyuridae,-0.14980700889143897,-0.6500360062111675,-0.7400877131118277,Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae
Myrmecobiidae,-0.1499635029727731,-0.6501551430055652,-0.7411222093615607,Dasyuromorphia,Myrmecobiidae,Dasyuromorphia,Numbat
Macropodidae,-0.15187169594562627,-0.649076262847185,-0.7416924178984962,Diprotodontia,Macropodidae,Diprotodontia,Macropodidae
Petauridae,-0.1516404485909012,-0.6487606519825992,-0.7399337918395296,Diprotodontia,Petauridae,Diprotodontia,gliding and striped possums
Phalangeridae,-0.1527886556008854,-0.6489686652448199,-0.742279140805865,Diprotodontia,Phalangeridae,Diprotodontia,possums and cuscuses
Vombatidae,-0.15387146060134982,-0.6487985181859093,-0.742445064860006,Diprotodontia,Vombatidae,Diprotodontia,wombats
Burramyidae,-0.15372530967111395,-0.6482533676938099,-0.7408085350675381,Diprotodontia,Burramyidae,Diprotodontia,pygmy possums
Pseudocheiridae,-0.15316024430893407,-0.6482094374771975,-0.7397384238866589,Diprotodontia,Pseudocheiridae,Diprotodontia,ring-tailed possums
Acrobatidae,-0.15273248666466108,-0.6484290114837444,-0.7405645717819007,Diprotodontia,Acrobatidae,Diprotodontia,feather-tailed possums
Phascolarctidae,-0.15204399960665727,-0.648552072290664,-0.7389760060997098,Diprotodontia,Phascolarctidae,Diprotodontia,koalas
Tarsipedidae,-0.1526805881316322,-0.6483212131232947,-0.7391901015894367,Diprotodontia,Tarsipedidae,Diprotodontia,honey possums
Potoroidae,-0.15399674013949227,-0.6484698936912457,-0.74169845236024,Diprotodontia,Potoroidae,Diprotodontia,Rat-kangaroos
Notoryctidae,-0.15196167686177195,-0.6496803298203636,-0.7429580440442209,Notoryctemorphia,Notoryctidae,marsupial moles,marsupial moles
Peramelidae,-0.1507836823816137,-0.6498980975136908,-0.7420872648038681,Peramelemorphia,Peramelidae,bandicoots and bilbies,bandicoots
Peroryctidae,-0.15094416721434306,-0.6499045420167557,-0.7423147186294711,Peramelemorphia,Peroryctidae,bandicoots and bilbies,New Guinean bandicoots
Myrmecophagidae,-0.15377611964187365,-0.6536541693572943,-0.7463540951153309,Pilosa,Myrmecophagidae,Pilosa,anteaters
Cyclopedidae,-0.15369503675846766,-0.6533835445333807,-0.7462696853701021,Pilosa,Cyclopedidae,Pilosa,silky anteater
Bradypodidae,-0.1535215000813976,-0.6537062527771441,-0.7463242596862851,Pilosa,Bradypodidae,Pilosa,three-fingered sloths
Megalonychidae,-0.15338820995874908,-0.6535595557474821,-0.746261561873776,Pilosa,Megalonychidae,Pilosa,two-toed sloths
Dasypodidae,-0.15491258438181943,-0.6537451263130899,-0.7464528411540489,Cingulata,Dasypodidae,Armadillos,armadillos
Chlamyphoridae,-0.15433265392802395,-0.6534090638269149,-0.7463506278475098,Cingulata,Chlamyphoridae,Armadillos,Chlamyphoridae
Tenrecidae,-0.157084365571305,-0.6514065373382226,-0.7450494917190408,Mammalia,Tenrecidae,mammals,tenrecs
Chrysochloridae,-0.15686394355526345,-0.6515706858681056,-0.7452383309874655,Mammalia,Chrysochloridae,mammals,Golden moles
Trichechidae,-0.15583086715260744,-0.6525854269697581,-0.7460116246083771,Sirenia,Trichechidae,manatees and dugongs (seacows),manatees
Dugongidae,-0.15578282898619725,-0.6527286684239135,-0.7460762112805757,Sirenia,Dugongidae,manatees and dugongs (seacows),dugong and sea cow
Elephantidae,-0.15597058351396942,-0.6522050520366218,-0.7458181164824176,Proboscidea,Elephantidae,elephants,elephants
Procaviidae,-0.15567414640752916,-0.6526989370328535,-0.7460788300943326,Hyracoidea,Procaviidae,rock rabbits/dassies,conies
Orycteropodidae,-0.15651678514808692,-0.6518381806159301,-0.7455048975498644,Tubulidentata,Orycteropodidae,aardvarks,aardvarks
Macroscelididae,-0.15282715882699965,-0.6533619326451133,-0.7460665809293631,Macroscelidea,Macroscelididae,elephants shrews,elephant shrew
Erinaceidae,-0.1572106905930056,-0.6511505001118187,-0.7336806144224954,Eulipotyphla,Erinaceidae,"hedgehogs, shrews, moles and others",hedgehogs
Talpidae,-0.1575824089882886,-0.651028481964988,-0.7339530217877622,Eulipotyphla,Talpidae,"hedgehogs, shrews, moles and others","moles, shrew-moles, and desmans"
Soricidae,-0.15523115873678367,-0.6514144164347495,-0.7330292687967648,Eulipotyphla,Soricidae,"hedgehogs, shrews, moles and others",shrews
Solenodontidae,-0.1567136451878987,-0.6513225636901573,-0.7333703705720446,Eulipotyphla,Solenodontidae,"hedgehogs, shrews, moles and others",Solenodons
Pteropodidae,-0.16058607685136875,-0.6507549552152903,-0.7393208731591046,Chiroptera,Pteropodidae,bats,Old World fruit bats
Megadermatidae,-0.16164195331020692,-0.653140172463285,-0.7374634238049195,Chiroptera,Megadermatidae,bats,false vampire bats
Phyllostomidae,-0.16210485812541048,-0.6553779451388049,-0.7379270966002538,Chiroptera,Phyllostomidae,bats,American leaf-nosed and vampire bats
Vespertilionidae,-0.16061251076409513,-0.6521120481337253,-0.7360137489408793,Chiroptera,Vespertilionidae,bats,vespertilionid bats
Molossidae,-0.16039347978253451,-0.6510255662910862,-0.7413967767585705,Chiroptera,Molossidae,bats,free-tailed bats
Emballonuridae,-0.1619495408613717,-0.6534928787007498,-0.7386459664839133,Chiroptera,Emballonuridae,bats,"sac-winged, sheath-tailed, and ghost bats"
Rhinolophidae,-0.16040020930557103,-0.6519170482804248,-0.7426441400042785,Chiroptera,Rhinolophidae,bats,Old World leaf-nosed bats
