,x,y,z,name,r,size
0,-0.28816479961714025,-0.312381271139025,0.9059689707074098,Apystomyiidae,0.0002294433604650468,1
1,-0.29009048506625545,-0.310860722844436,0.905846142597494,Natalimyzidae,0.0002294433604650468,1
2,-0.293725358123676,-0.3063362892046689,0.9061158365610431,Evocoidae,0.0002294433604650468,1
3,-0.29394559943337034,-0.30593737028468737,0.9061700074335752,Oreoleptidae,0.0002294433604650468,1
4,-0.28482902103149343,-0.31428277970915997,0.9064038078314455,Heterocheilidae,0.000324481912166128,2
5,-0.28973647970641236,-0.31137573688864617,0.9057973285300606,Tachiniscidae,0.0003974075577848013,3
6,-0.27513239318578603,-0.3153046021463065,0.9090338059452121,Marginidae,0.0003974075577848013,3
7,-0.2959389767403203,-0.29512603793140424,0.9088434051695347,Phaeomyiidae,0.0003974075577848013,3
8,-0.2976410786166284,-0.30329862160696086,0.9058496314590819,Ironomyiidae,0.0003974075577848013,3
9,-0.29784336512999804,-0.2958986191576952,0.9080318105908642,Apsilocephalidae,0.0003974075577848013,3
10,-0.29573540280513655,-0.3018836037605506,0.9068563881118663,Acartophthalmidae,0.0004588867209300936,4
11,-0.27979969911498354,-0.315688025066428,0.9075025430844053,Perissommatidae,0.0005130509509858324,5
12,-0.2942915678587294,-0.29017544095218606,0.9108437662325533,Pachyneuridae,0.0005130509509858324,5
13,-0.2641633634263783,-0.30594456000774856,0.9151971050889038,Nannodastiidae,0.0005130509509858324,5
14,-0.2844876478187119,-0.2830639621423999,0.9159721195469331,Opetiidae,0.0005130509509858324,5
15,-0.28567839355938046,-0.31415290361318454,0.9061856733408525,Axymyiidae,0.0005620191580088354,6
16,-0.29479516118765603,-0.3050084252891657,0.9061940745757049,Somatiidae,0.0006070500717654631,7
17,-0.2882939476542484,-0.3160921150600508,0.9048047749553293,Braulidae,0.0006070500717654631,7
18,-0.27783890384995236,-0.3186179735596127,0.907208718492158,Nymphomyiidae,0.0006070500717654631,7
19,-0.29584371136953974,-0.2872180558557942,0.9112698026155502,Hilarimorphidae,0.0006070500717654631,7
20,-0.28881739809660717,-0.3219204756268318,0.9028790544133384,Teratomyzidae,0.000648963824332256,8
21,-0.2750543905059191,-0.2837195866899774,0.918633292510314,Huttoninidae,0.000648963824332256,8
22,-0.2598892773528521,-0.2922629334963857,0.9206408571969327,Australimyzidae,0.0006883300813951404,9
23,-0.28908177974167604,-0.31228484795936023,0.905720197032888,Ctenostylidae,0.0007255636130725782,10
24,-0.2760509255372986,-0.3157904742981873,0.9086080233459569,Inbiomyiidae,0.0007255636130725782,10
25,-0.3065568382501298,-0.30199707855448016,0.9035411790728033,Syringogastridae,0.0007255636130725782,10
26,-0.29055796522182886,-0.32561716703213694,0.9012306047933348,Atelestidae,0.0007255636130725782,10
27,-0.2924086933515342,-0.2871630832481874,0.9123278861494317,Helcomyzidae,0.0007948151155696026,12
28,-0.28598977298647205,-0.32515798288572695,0.9027547877321467,Xenasteiidae,0.0008272698009714933,13
29,-0.2643184242845587,-0.3072349340975336,0.9147588830184733,Deuterophlebiidae,0.0008584984445302784,14
30,-0.2617890195244118,-0.312322175653149,0.9139834067247035,Neminidae,0.0008584984445302784,14
31,-0.2673583252371699,-0.31167734384472917,0.9124904214103676,Megamerinidae,0.0008886303139789914,15
32,-0.2965888412632413,-0.29615057635628256,0.9083357653566517,Canthyloscelidae,0.0009177734418601872,16
33,-0.2831878720632563,-0.32609823971424023,0.9033191946815798,Diadocidiidae,0.0010001204215335144,19
34,-0.263331539405195,-0.29624773488854284,0.9183891452645148,Neurochaetidae,0.0010261019019716649,20
35,-0.26592823756333406,-0.2905418722420356,0.9193317712203349,Pantophthalmidae,0.0010261019019716649,20
36,-0.2829325744327282,-0.282288708147648,0.9166786203071399,Tanypezidae,0.001051441567036115,21
37,-0.303812693876365,-0.2975889188395837,0.9057095903945951,Helosciomyzidae,0.0011003717009330748,23
38,-0.2797052018949892,-0.2771346174548702,0.9192196839332022,Glossinidae,0.0011003717009330748,23
39,-0.2765526095647072,-0.28274145476465345,0.9184756142552312,Dryomyzidae,0.001147216802325234,25
40,-0.3113888108761853,-0.3282613105883556,0.894113537097087,Fergusoninidae,0.0012355903100070462,29
41,-0.2960528725287126,-0.3034679190076388,0.9062798113876552,Lygistorrhinidae,0.0012567130419649515,30
42,-0.24799686629486248,-0.2884016713926251,0.9254170024531031,Periscelididae,0.001297927648664512,32
43,-0.2428806049683707,-0.28277872772651463,0.9286728782386307,Ropalomeridae,0.0013180517580236681,33
44,-0.23256739992772435,-0.31733121630718275,0.9213240943769893,Cryptochetidae,0.0013180517580236681,33
45,-0.3033790864477669,-0.28603169367121745,0.9093449303967335,Cypselosomatidae,0.001337873197463338,34
46,-0.302727523483375,-0.29559150625221975,0.906644157458873,Coelopidae,0.001357405226213701,35
47,-0.2941247729270192,-0.28826187159980965,0.911474484027986,Tanyderidae,0.0014143838641389927,38
48,-0.2778799140304052,-0.31664529943200537,0.9077943538232323,Camillidae,0.0014511272261451564,40
49,-0.2877231453439995,-0.31413293241167567,0.9055718072235658,Strongylophthalmyiidae,0.0015729844297036732,47
50,-0.2342595848314255,-0.29933163272799534,0.9262681162584073,Diastatidae,0.0015896302311392053,48
51,-0.29777462021456924,-0.34474925205447826,0.8932422830643649,Pelecorhynchidae,0.00162240956083064,50
52,-0.26560323116383117,-0.3468155934070462,0.902369429430427,Chaoboridae,0.0017015975027550251,55
53,-0.2835738991466666,-0.35721126162707156,0.8937694197248064,Lonchopteridae,0.0017473885739487417,58
