,x,y,z,name,r,size
0,-0.31581838324012745,-0.3400348547620122,0.9971817573337912,Apystomyiidae,0.0002294433604650468,1
1,-0.317823515629329,-0.3385937534075095,0.9973209776040421,Natalimyzidae,0.0002294433604650468,1
2,-0.3217115746218933,-0.33432250570288624,0.9984257819458309,Evocoidae,0.0002294433604650468,1
3,-0.3219548957492011,-0.33394666660051814,0.9985560794610453,Oreoleptidae,0.0002294433604650468,1
4,-0.3123865360447995,-0.3418402947224661,0.9972997210386055,Heterocheilidae,0.000324481912166128,2
5,-0.31743201862792475,-0.3390712758101585,0.9971485008262485,Tachiniscidae,0.0003974075577848013,3
6,-0.30270654524122753,-0.34287875420174807,0.9999845948963293,Marginidae,0.0003974075577848013,3
7,-0.3245925429444844,-0.3237796041355684,1.0033545418054666,Phaeomyiidae,0.0003974075577848013,3
8,-0.32565308027117756,-0.33131062326151006,0.9982446267959731,Ironomyiidae,0.0003974075577848013,3
9,-0.3263436386094128,-0.32439889263710997,1.002037325359317,Apsilocephalidae,0.0003974075577848013,3
10,-0.3239712630876608,-0.3301194640430749,0.9999897604181349,Acartophthalmidae,0.0004588867209300936,4
11,-0.3073028298167447,-0.34319115576818926,0.9982190746724453,Perissommatidae,0.0005130509509858324,5
12,-0.32325495552861144,-0.31913882862206816,1.006376820303494,Pachyneuridae,0.0005130509509858324,5
13,-0.2924150990523675,-0.33419629563373776,1.0083828407465496,Nannodastiidae,0.0005130509509858324,5
14,-0.31395903776775863,-0.3125353520914467,1.0131807721271626,Opetiidae,0.0005130509509858324,5
15,-0.3132252475959183,-0.3416997576497224,0.9970464223026675,Axymyiidae,0.0005620191580088354,6
16,-0.32283734917918117,-0.3330506132806909,0.9986886367517864,Somatiidae,0.0006070500717654631,7
17,-0.3155252302086074,-0.34332339761440983,0.9946246405849234,Braulidae,0.0006070500717654631,7
18,-0.3050127843579361,-0.34579185406759644,0.9968392487835431,Nymphomyiidae,0.0006070500717654631,7
19,-0.3248276175352408,-0.31620196202149525,1.006870535046249,Hilarimorphidae,0.0006070500717654631,7
20,-0.315268288067767,-0.34837136559799164,0.9901248673217152,Teratomyzidae,0.000648963824332256,8
21,-0.3045580415271438,-0.3132232377112021,1.0159483552518092,Huttoninidae,0.000648963824332256,8
22,-0.2887264405146411,-0.3211000966581747,1.0157575714082487,Australimyzidae,0.0006883300813951404,9
23,-0.3167095334617384,-0.33991260167942267,0.9968477861146697,Ctenostylidae,0.0007255636130725782,10
24,-0.30357012779490467,-0.34330967655579336,0.9993775654737523,Inbiomyiidae,0.0007255636130725782,10
25,-0.33397751619948707,-0.3294177565038374,0.9939857478868929,Syringogastridae,0.0007255636130725782,10
26,-0.3163727393738472,-0.35143194118415527,0.9863782485359335,Atelestidae,0.0007255636130725782,10
27,-0.3215565009670087,-0.31631089086366193,1.0084692323454116,Helcomyzidae,0.0007948151155696026,12
28,-0.31207830332418524,-0.35124651322344014,0.9888053909209373,Xenasteiidae,0.0008272698009714933,13
29,-0.2924720823656488,-0.33538859217862377,1.0076211189699806,Deuterophlebiidae,0.0008584984445302784,14
30,-0.2893814488904752,-0.33991460501921245,1.0049944816935965,Neminidae,0.0008584984445302784,14
31,-0.2952060480872227,-0.339525066694782,1.0043435583123432,Megamerinidae,0.0008886303139789914,15
32,-0.3251496178096946,-0.32471135290273584,1.002540843893015,Canthyloscelidae,0.0009177734418601872,16
33,-0.30922139101227736,-0.35213175866326135,0.9891883478953073,Diadocidiidae,0.0010001204215335144,19
34,-0.2921617073989761,-0.32507790288232397,1.0134827865614622,Neurochaetidae,0.0010261019019716649,20
35,-0.2950818243555307,-0.3196954590342323,1.0154921794959506,Pantophthalmidae,0.0010261019019716649,20
36,-0.31243806538971014,-0.31179419910463,1.01399975190647,Tanypezidae,0.001051441567036115,21
37,-0.331786752932123,-0.3255629778953417,0.9979794355804328,Helosciomyzidae,0.0011003717009330748,23
38,-0.30925542795683053,-0.30668484351671155,1.0166883701363,Glossinidae,0.0011003717009330748,23
39,-0.3060790386334065,-0.3122678838333528,1.0158658082785306,Dryomyzidae,0.001147216802325234,25
40,-0.3348554236551086,-0.3517279233672789,0.9715159878401646,Fergusoninidae,0.0012355903100070462,29
41,-0.3241487921897615,-0.33156383866868777,0.9989516025035431,Lygistorrhinidae,0.0012567130419649515,30
42,-0.27610463820241465,-0.3165094433001774,1.0181278871073216,Periscelididae,0.001297927648664512,32
43,-0.27055197562561273,-0.3104500983837567,1.0199443337515592,Ropalomeridae,0.0013180517580236681,33
44,-0.25689933974934037,-0.3416631561287988,1.0015807462964221,Cryptochetidae,0.0013180517580236681,33
45,-0.3319164265295831,-0.31456903375303363,1.0034727059232096,Cypselosomatidae,0.001337873197463338,34
46,-0.3309079582030496,-0.3237719409718943,0.999594713674946,Coelopidae,0.001357405226213701,35
47,-0.3231626642330519,-0.31729976290584233,1.0072532814484956,Tanyderidae,0.0014143838641389927,38
48,-0.3052919709934472,-0.34405735639504736,0.998210487111713,Camillidae,0.0014511272261451564,40
49,-0.3152026381555993,-0.34161242522327545,0.9962103714182658,Strongylophthalmyiidae,0.0015729844297036732,47
50,-0.26039935578154216,-0.325471403678112,1.0124877318656058,Diastatidae,0.0015896302311392053,48
51,-0.31908037134188905,-0.36605500318179807,0.9635173316072807,Pelecorhynchidae,0.00162240956083064,50
52,-0.287460907786226,-0.36867327002944106,0.9744649531458296,Chaoboridae,0.0017015975027550251,55
53,-0.3020826614480359,-0.3757200239284409,0.9548188594476875,Lonchopteridae,0.0017473885739487417,58
