taxon,x,y,z
Emberiza impetuani impetuani,-0.02379425881046642,0.21302358153588216,0.15278015642807893
Certhia americana,0.012169266964435647,0.23957840541217512,0.06820431721601791
Alauda arvensis,0.052615032057997564,0.2488427833242983,0.041867087940661185
Sitta europaea,0.02757780074871624,0.2699165842938933,0.03626421817897543
Donacospiza albifrons,0.015325107308045332,0.24231172142396012,0.20450937169065056
Euphonia cyanocephala,-0.0010574937103471212,0.2583501524076499,0.13727696136785994
Emberiza buchanani,0.007410676223561123,0.24894711060215838,0.20867960677277653
Calcarius lapponicus,-0.0009284963666888708,0.25379515342426023,0.21741263244492467
Sitta himalayensis,0.017658402139457373,0.2714894052395279,0.030408350930535934
Sitta nagaensis,0.03387235962173011,0.27743620606318453,0.030211006016122373
Eumyias indigo,0.021723448135470603,0.238970244460322,0.062328751493230715
Auriparus flaviceps,-0.0013370952301873145,0.2500448223276841,0.04396453243474296
Sitta carolinensis,0.01781149532962199,0.267867463989167,0.037936380226150763
Moho braccatus,-0.005723795784210341,0.25686948181243124,0.04293250575398345
Euphonia pectoralis,-0.004542059876725662,0.26233611725967937,0.13520869345859304
Sitta krueperi,0.025519108867110396,0.2848450454834421,0.03287588167547542
Trogon rufus,-0.03742780352545748,0.2695720482680012,-0.017320517635388548
Saxicola rubicola,0.05089588345250265,0.21330517221270168,0.07973298490565445
Saxicola maurus,0.05578211576050565,0.2068393541134955,0.07935343595088099
Euphonia hirundinacea,-0.0005019985140549752,0.262552200306732,0.12768851260266723
Saxicola torquatus,0.05567808045391445,0.21118495341186225,0.07924098524350653
Euphonia violacea,-0.006637710705847972,0.26099927812061435,0.12661371048765785
Certhia familiaris,0.013623549560656364,0.23954211031584333,0.07976105221876317
Emberiza elegans,-0.0016236605112940517,0.24367092676735264,0.21030910636707945
Troglodytes troglodytes,0.0008296616271398912,0.16738894468450527,0.07841206484267647
Emberiza yessoensis,2.2957473536290282e-05,0.24096956770937197,0.22749998643100403
Luscinia luscinia,0.05041712315358861,0.2226245462411251,0.06895263053953256
Luscinia megarhynchos,0.04888237727453291,0.21597556923773542,0.066935495262771
Upupa epops,-0.0017421882473057453,0.2634971347791087,0.03180700355069196
Muscicapa dauurica,0.047085230434438956,0.2173797189154576,0.0725124614759107
Muscicapa striata,0.06164094312103515,0.21880502692387163,0.08491098306180642
Muscicapa sibirica,0.05132879727790621,0.2220096991882998,0.07642430130038183
Eumyias thalassinus,0.04236340999641728,0.22383868418056782,0.07315415461586451
Chelidorhynx hypoxanthus,0.022049700693176057,0.23773516114296558,0.0462951431025203
Cistothorus palustris,-0.0007141878119982742,0.16744471297716543,0.0803345251487872
Tauraco schalowi,-0.06755336473862783,0.24811853739652498,-0.05372374399280266
Calcarius ornatus,-0.017416087897863954,0.25593173637934047,0.22635000719215456
Campylorhamphus trochilirostris,0.0596084868847516,0.36471381346275983,-0.08347006992858758
Dumetella carolinensis,0.06744235539973575,0.2674305273419895,0.10330881579193377
Brachypteryx leucophris,0.031541081336722204,0.23415306089235033,0.07599838204934778
Brachypteryx montana,0.030583666872915402,0.23720295825592846,0.07261131675752833
Luscinia svecica,0.018241728415068957,0.22844982943068054,0.06021916321290881
Trogon personatus,-0.03077934753740189,0.2667690384952298,-0.01637742784077507
Cinclocerthia ruficauda,0.06672070910498469,0.27160026256711206,0.10540826998506345
Cinclocerthia gutturalis,0.06746410602673988,0.26812131808018275,0.10410772423049118
Muscicapa ferruginea,0.0513204880111442,0.21951211060380105,0.07739039478818603
Ramphocinclus brachyurus,0.07201897764930405,0.2671173487838654,0.10755459775513526
Margarops fuscatus,0.06658407353547313,0.26330557896200374,0.1000543940609549
Phoeniculus purpureus,-0.012919880999637166,0.25476137050684405,0.0038096055437473195
Muscicapa griseisticta,0.047148736239617496,0.21537241644221503,0.07418420241067906
Tichodroma muraria,-0.006365632718644572,0.24698890291973916,0.05692754321931391
Bucanetes githagineus,-0.042072777043353424,0.23816451434313943,0.16917434317318036
Stercorarius maccormicki,-0.13307519592222153,0.24234697127136637,-0.06291681271566217
Stercorarius pomarinus,-0.13162605569051525,0.2445172644458087,-0.06125785237126158
Saxicola rubetra,0.057494636125188375,0.2028413711242124,0.08065120510250973
Stercorarius antarcticus,-0.1332341127888436,0.24319795830468965,-0.062183419781331205
Stercorarius skua,-0.13220645814502474,0.24317219067616436,-0.06031718654074679
Bucanetes mongolicus,-0.03243849686883391,0.24318821006601996,0.17595593052773298
Tachyphonus rufus,0.011794374211885646,0.2501275164449358,0.21472085797380025
Saxicola insignis,0.053593087877102305,0.20810396836635076,0.07984316229076688
Rhinopomastus cyanomelas,-0.0037373503579863202,0.246373224255502,0.015201712813606697
Irania gutturalis,0.026972193175994193,0.2357570369663769,0.055489280012948734
Melanoptila glabrirostris,0.06017549933419058,0.26724473973775653,0.09867398759089423
Microcerculus bambla,0.002293585300905634,0.1928095457733258,0.06495662985987252
Emberiza caesia,0.004255524039250639,0.2512844300698937,0.20707959531799605
Emberiza hortulana,0.001508666011087208,0.24997392329505744,0.21052620179574794
Emberiza fucata,-0.009528375197314906,0.25028904787181666,0.2119893209051589
Stercorarius parasiticus,-0.1305054173730297,0.24996045995480196,-0.06395029103593841
Stercorarius longicaudus,-0.13539953783538775,0.24817299015456784,-0.06739460022568149
Sitta canadensis,0.029856032565157856,0.29200857152008575,0.02638806062418877
Mimus longicaudatus,0.08310029386296623,0.268225478008657,0.11705233616892328
Cyanocompsa brissonii,0.00813997786255604,0.2472755764233108,0.2075709855654412
