name,x0,y0,z0,x1,y1,z1
branch_internal1,-44.59519923361225,29.464971978017005,0.0,-46.18920718558961,73.09802168571704,18.9309
branch_internal2,-44.59519923361225,29.464971978017005,0.0,-43.00119128163489,-14.168077729683034,19.7877
branch_Struthionidae,-46.18920718558961,73.09802168571704,18.9309,-26.14926470453319,97.63513974493117,110.0
branch_internal4,-46.18920718558961,73.09802168571704,18.9309,-62.85876435122568,70.92154712142576,23.141370000000002
branch_internal5,-43.00119128163489,-14.168077729683034,19.7877,-66.86056097894237,-20.01080544826245,34.0143
branch_internal6,-43.00119128163489,-14.168077729683034,19.7877,-18.504218403536473,-25.778569894183637,38.5527
branch_internal7,-62.85876435122568,70.92154712142576,23.141370000000002,-58.69286410953916,77.53791856686257,26.18034
branch_internal8,-62.85876435122568,70.92154712142576,23.141370000000002,-73.69248745916663,63.43458585027244,28.090090000000004
branch_Anseriformes,-66.86056097894237,-20.01080544826245,34.0143,-70.17711529610534,-20.298737703593872,43.62253
branch_Galliformes,-66.86056097894237,-20.01080544826245,34.0143,-73.0877545407024,-22.05996428036279,42.89104
branch_internal11,-18.504218403536473,-25.778569894183637,38.5527,-9.841595272994134,-23.382539204607106,39.71403
branch_internal12,-18.504218403536473,-25.778569894183637,38.5527,-17.368052382839444,-32.81879744956041,48.40006
branch_internal13,-58.69286410953916,77.53791856686257,26.18034,-69.98098317920054,69.38852411807,27.137398
branch_Rheidae,-58.69286410953916,77.53791856686257,26.18034,-42.49976515161919,91.03284735057169,99.52684
branch_Dinornithiformes,-73.69248745916663,63.43458585027244,28.090090000000004,-66.14209682483977,73.65169076570892,100.18209
branch_Tinamidae,-73.69248745916663,63.43458585027244,28.090090000000004,-88.54733730604568,46.91972407040016,48.91799
branch_internal17,-70.17711529610534,-20.298737703593872,43.62253,-75.27984743336503,0.03740358273408173,47.84683
branch_Anhimidae,-70.17711529610534,-20.298737703593872,43.62253,-65.4569772831122,-45.86288043916953,110.00003
branch_internal19,-73.0877545407024,-22.05996428036279,42.89104,-74.83120169938014,-19.327481347143724,47.926869999999994
branch_Megapodiidae,-73.0877545407024,-22.05996428036279,42.89104,-74.02204237323525,-26.5001473629368,77.39284
branch_internal21,-9.841595272994134,-23.382539204607106,39.71403,-8.656196005580966,-23.19674868580806,40.324567
branch_internal22,-9.841595272994134,-23.382539204607106,39.71403,-7.561945288190365,-22.609917447575548,39.745047
branch_internal23,-17.368052382839444,-32.81879744956041,48.40006,-0.25580670409670336,-31.468128513339458,49.567550000000004
branch_internal24,-17.368052382839444,-32.81879744956041,48.40006,-34.02583165330338,-36.98555740793206,62.07576
branch_Casuariidae,-69.98098317920054,69.38852411807,27.137398,-64.23479988261364,76.59345817118958,58.325598
branch_Apterygidae,-69.98098317920054,69.38852411807,27.137398,-81.37122601061809,58.10889284055413,100.148098
branch_Emeidae,-66.14209682483977,73.65169076570892,100.18209,-69.72045277430273,71.5133662644397,105.09239000000001
branch_Dinornithidae,-66.14209682483977,73.65169076570892,100.18209,-58.788545558213386,80.89856772469639,110.00007000000001
branch_Anatidae,-75.27984743336503,0.03740358273408173,47.84683,-77.40580521676762,-2.480590042067164,75.34063
branch_Anseranatidae,-75.27984743336503,0.03740358273408173,47.84683,-75.70525571859228,12.723467850699302,110.00003
branch_Cracidae,-74.83120169938014,-19.327481347143724,47.926869999999994,-75.90369652737427,-18.71245125712171,87.56687
branch_internal32,-74.83120169938014,-19.327481347143724,47.926869999999994,-74.67058470045593,-18.726512245873703,63.397369999999995
branch_internal33,-8.656196005580966,-23.19674868580806,40.324567,-3.0435585711262796,-10.58953840212547,40.757351
branch_internal34,-8.656196005580966,-23.19674868580806,40.324567,-13.794673733070386,-35.729642761971036,40.770880000000005
branch_internal35,-7.561945288190365,-22.609917447575548,39.745047,1.9049759701603353,-36.059980562734864,40.270848
branch_internal36,-7.561945288190365,-22.609917447575548,39.745047,-16.117006552619557,-8.850805629603606,40.815077
branch_Columbidae,-0.25580670409670336,-31.468128513339458,49.567550000000004,51.08234698958015,-33.42756555658961,69.52285
branch_Pteroclidae,-0.25580670409670336,-31.468128513339458,49.567550000000004,-43.03783755840219,-28.83335700197883,84.27505
branch_Phoenicopteridae,-34.02583165330338,-36.98555740793206,62.07576,-39.347126026130326,-35.93927524439112,106.20206
branch_Podicipedidae,-34.02583165330338,-36.98555740793206,62.07576,-37.03342691570838,-40.11521955065883,101.29466
branch_Numididae,-74.67058470045593,-18.726512245873703,63.397369999999995,-72.2232313233005,-31.693664220846276,88.43187
branch_internal42,-74.67058470045593,-18.726512245873703,63.397369999999995,-76.56422060261059,-8.112403025387632,65.72804
branch_internal43,-3.0435585711262796,-10.58953840212547,40.757351,-4.824394132885406,1.2020225097337587,42.075921
branch_internal44,-3.0435585711262796,-10.58953840212547,40.757351,0.9823319644147211,-17.338215200511662,40.863425
branch_Charadriiformes,-13.794673733070386,-35.729642761971036,40.770880000000005,-1.6283663697790256,-45.827306748537666,46.03231
branch_Gruiformes,-13.794673733070386,-35.729642761971036,40.770880000000005,-28.01637218735751,-30.645136405869597,43.500060000000005
branch_internal47,1.9049759701603353,-36.059980562734864,40.270848,26.84269173445567,-31.515050409192018,40.307509
branch_Caprimulgidae,1.9049759701603353,-36.059980562734864,40.270848,-24.53370810603348,-48.46617481224308,41.559848
branch_Cuculidae,-16.117006552619557,-8.850805629603606,40.815077,-44.92244255977623,-14.254149380992056,52.365677000000005
branch_internal50,-16.117006552619557,-8.850805629603606,40.815077,3.5053177473341037,0.9755140986959292,43.400057000000004
