,x_present,y_present,z_present,x_split,y_split,z_split
branch_Indicatoridae,-0.08785601762635945,-0.6921278401710436,-0.7123218600354084,-0.0900306713083069,-0.6918684019851775,-0.7137286692699222
branch_Irenidae,-0.09941374334362814,-0.6933362525415938,-0.7210963886224233,-0.0994137431976033,-0.6933362524884532,-0.7210963884925664
branch_Jacanidae,-0.08901546850733108,-0.6876064580862156,-0.7124112665053539,-0.0890154690117329,-0.6876064584643453,-0.7124112668977229
branch_Laniidae,-0.09542506082654871,-0.6898792796481698,-0.7234760764380012,-0.09542505958512476,-0.6898792810195138,-0.7234760699460864
branch_Laridae,-0.09035692768346223,-0.6866193920140689,-0.7120118276552753,-0.091484881551515,-0.68807203327909,-0.7133288323535676
branch_Leiothrichidae,-0.09920391569504672,-0.69421099680171,-0.7117852303074064,-0.09920391429202399,-0.6942109960317372,-0.7117852315482407
branch_Locustellidae,-0.10047646253121051,-0.6946871860957868,-0.7145822222808753,-0.10047646078112996,-0.6946871851959444,-0.7145822227588946
branch_Lybiidae,-0.08798327071122902,-0.6906883092055964,-0.7121247239409444,-0.08955092294542179,-0.6908687659702075,-0.71321095621161
branch_Malaconotidae,-0.09672580653266191,-0.6959116058704873,-0.7215848566493417,-0.09672580410874328,-0.6959116017579049,-0.7215848518767155
branch_Maluridae,-0.0934526498387687,-0.698694239106512,-0.7175109341267739,-0.0935045034209066,-0.6980699143505666,-0.7174104495167529
branch_Megalaimidae,-0.08820467689023387,-0.6908688974765976,-0.7117975923502337,-0.08924986179742757,-0.6909615232979418,-0.7126075904706454
branch_Megapodiidae,-0.09449455936830453,-0.6865654388677777,-0.7107054194243905,-0.09436559279258436,-0.687994917384278,-0.7123741821842847
branch_Melanocharitidae,-0.0927425023515956,-0.6949491395501688,-0.7227160210890585,-0.09274250247132187,-0.6949491392264073,-0.7227160205089629
branch_Meliphagidae,-0.09448248739471032,-0.6985714580253454,-0.7181656350279638,-0.09448248738701952,-0.6985714578947327,-0.7181656349946789
branch_Menuridae,-0.0944761846844779,-0.6981917218689998,-0.7133907677988763,-0.09447618441173448,-0.6981917174155028,-0.7133907697259827
branch_Meropidae,-0.08759011824558816,-0.6931482725412988,-0.7131437869992134,-0.08988742731089781,-0.6925231051998114,-0.7142769899649299
branch_Mimidae,-0.10057932979677012,-0.6925577726021513,-0.7196903461619094,-0.10057932920405836,-0.6925577724957866,-0.7196903458568749
branch_Momotidae,-0.08869349500211089,-0.6939021879985796,-0.7118606430942614,-0.09044245245544336,-0.6930826521098594,-0.7133189725658619
branch_Monarchidae,-0.09521424105589794,-0.6966923618388077,-0.7214008834103864,-0.0952142400061281,-0.6966923570164479,-0.7214008788050085
branch_Motacillidae,-0.0920457816757869,-0.6974094489213725,-0.7124852815858067,-0.09204578207852865,-0.6974094477170362,-0.7124852823557418
branch_Muscicapidae,-0.09959618742554785,-0.6961316195027454,-0.7177408840027518,-0.09880999031699923,-0.6954580030180091,-0.7175412464645158
branch_Musophagidae,-0.09509340361717385,-0.6845302972331161,-0.7136812768059921,-0.09472327835023754,-0.6869851708003637,-0.7146312580420853
branch_Nectariniidae,-0.10086874987628405,-0.6894955995692746,-0.7140569017774875,-0.09941876532457451,-0.6898985221191084,-0.7145419989979662
branch_Numididae,-0.0984310921971105,-0.6874378832760538,-0.71181573577002,-0.09757393144082818,-0.6882123548010436,-0.7127018423849901
branch_Nyctibiidae,-0.09232309024518583,-0.6842651648657618,-0.7175136707057911,-0.09296076664521485,-0.6868808662580361,-0.7170808016649074
branch_Odontophoridae,-0.09721779740968825,-0.6880995550718826,-0.7104741912277175,-0.09601865057951668,-0.6893480224993096,-0.712699411813222
branch_Otididae,-0.09532538749693319,-0.6848256033003292,-0.7130990042307436,-0.09500487401322578,-0.6864870841225973,-0.7139183204377301
branch_Pachycephalidae,-0.09312120771546763,-0.6962199250188306,-0.7107756802875758,-0.09312120790312443,-0.6962199240523986,-0.7107756813994307
branch_Paradisaeidae,-0.0930038042365132,-0.6957664566305591,-0.7222382103296657,-0.09300380433248477,-0.6957664562324963,-0.7222382097930075
branch_Pardalotidae,-0.09297005661432953,-0.6974921850424726,-0.7204196808151221,-0.09297005663413743,-0.6974921849314831,-0.7204196807408545
branch_Paridae,-0.10031109284318845,-0.694937002822228,-0.7181940422653802,-0.0984481228704306,-0.6938793322943244,-0.7176400382766563
branch_Parulidae,-0.1007575806797124,-0.6881842861630619,-0.7164307967901387,-0.1007575804970375,-0.6881842862504293,-0.716430796787525
branch_Passeridae,-0.10145538443271877,-0.6909340876090211,-0.7158545681816915,-0.101455380196895,-0.6909340878688512,-0.7158545684568256
branch_Pedionomidae,-0.08860458829613425,-0.6871199829573426,-0.7136580408602257,-0.08860458983342373,-0.6871199841600782,-0.7136580416146298
branch_Pelecanidae,-0.0880048233750596,-0.6875735180260906,-0.7143529563272709,-0.08888582159560124,-0.6881285178128732,-0.7146413524460284
branch_Pellorneidae,-0.10041086505350276,-0.6937004837935083,-0.7132613338674496,-0.10041086332131241,-0.6937004831627662,-0.7132613347057107
branch_Petroicidae,-0.0948848157286114,-0.6955099170761954,-0.7102143023374697,-0.09488481556354703,-0.695509916251765,-0.7102143035616002
branch_Phaethontidae,-0.09044176855562133,-0.6862188137321278,-0.7202503001340996,-0.09052399064861417,-0.6863362913323694,-0.7201613139935953
branch_Phalacrocoracidae,-0.08831824404873309,-0.6868523879358504,-0.7150683630332343,-0.08907212533196121,-0.6874479259664306,-0.7152346796373134
branch_Phasianidae,-0.09797724566775387,-0.6869451790077616,-0.7118571835568965,-0.09659569057134046,-0.6885118093000712,-0.71343622579795
branch_Phoenicopteridae,-0.09358207744505652,-0.6841906098212769,-0.7145717503025192,-0.0935985615858291,-0.6844391121332115,-0.7146326302478471
branch_Phoeniculidae,-0.08931667519777851,-0.6913756928170965,-0.7106217013421923,-0.09070850197569222,-0.691379234011943,-0.7122983141236152
branch_Phylloscopidae,-0.0956842444928908,-0.6982081725654136,-0.7138899746950136,-0.09568424404977725,-0.6982081707053033,-0.7138899753618274
branch_Picathartidae,-0.09568834988356,-0.6983154190777867,-0.7184539640786796,-0.09568834855086038,-0.6983154134097086,-0.7184539623449524
branch_Picidae,-0.08835663813489592,-0.6918215095203799,-0.7115994450366908,-0.09018226061892795,-0.691682655707683,-0.7131153990728801
branch_Pipridae,-0.08818815934001013,-0.6958448065976556,-0.717228262116882,-0.08930801356821078,-0.6949947028502589,-0.7170578806730231
branch_Pittidae,-0.09269037793862261,-0.6981920510980506,-0.7136962207343988,-0.09291765618410924,-0.6970625130670747,-0.7141342616910239
branch_Platysteiridae,-0.0947611698958041,-0.6958280322161696,-0.7222449057779499,-0.09476116925791664,-0.6958280281795631,-0.7222449004052798
branch_Ploceidae,-0.1012544498844491,-0.69287948901127,-0.7174041417988065,-0.101254449034137,-0.6928794888349749,-0.717404141672449
branch_Podargidae,-0.093371214059026,-0.6840652242327729,-0.7173560164004924,-0.09365029583876176,-0.6870343499304,-0.7169420013664635
branch_Podicipedidae,-0.09298031789297323,-0.6840800195854483,-0.7155812230197485,-0.09306572439475151,-0.6846583581792979,-0.7156408743119866
branch_Procellariidae,-0.08844264685376674,-0.686801217504636,-0.7179319834837529,-0.0902587802579436,-0.6882842157534232,-0.717415607449971
