x,y,z,order,family,genus,species,order_eng,family_eng,genus_eng,species_eng
-0.09282433280474821,-0.6977607443234077,-0.7199398551922033,Passeriformes,Acanthizidae,Mohoua,Mohoua albicilla,song birds,Acanthizidae,Mohoua,Mohoua albicilla
-0.09282512716309729,-0.697793948900465,-0.7198807890690538,Passeriformes,Acanthizidae,Mohoua,Mohoua ochrocephala,song birds,Acanthizidae,Mohoua,Mohoua ochrocephala
-0.08672681459065579,-0.690343074179643,-0.7158093479564288,Accipitriformes,Accipitridae,Pandion,Pandion haliaetus,hawks and eagles,Accipitridae,Pandion,osprey
-0.08674550446268006,-0.691166877088852,-0.7150729818431866,Accipitriformes,Accipitridae,Buteo,Buteo lineatus,hawks and eagles,Accipitridae,hawks,red-shouldered hawk
-0.08669679692451518,-0.6910691867382178,-0.7154266509938354,Accipitriformes,Accipitridae,Buteo,Buteo platypterus,hawks and eagles,Accipitridae,hawks,broad-winged hawk
-0.086662722420672,-0.6916232579627941,-0.7157282193239262,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucocephalus,hawks and eagles,Accipitridae,Haliaeetus,bald eagle
-0.086644387524826,-0.6917420742797213,-0.7161722265337402,Accipitriformes,Accipitridae,Accipiter,Accipiter cooperii,hawks and eagles,Accipitridae,Accipiter,Cooper's hawk
-0.08665015938140151,-0.6918499662841014,-0.7164897233899117,Accipitriformes,Accipitridae,Accipiter,Accipiter striatus,hawks and eagles,Accipitridae,Accipiter,Sharp-shinned hawk
-0.08674391724947343,-0.6913462266449463,-0.7150635698976543,Accipitriformes,Accipitridae,Buteo,Buteo buteo,hawks and eagles,Accipitridae,hawks,common buzzard
-0.08675103305641921,-0.6919375902143414,-0.7151433617170925,Accipitriformes,Accipitridae,Buteogallus,Buteogallus anthracinus,hawks and eagles,Accipitridae,Buteogallus,Buteogallus anthracinus
-0.08671893682214663,-0.6913059714358625,-0.7152190063535271,Accipitriformes,Accipitridae,Buteo,Buteo albonotatus,hawks and eagles,Accipitridae,hawks,zone-tailed hawk
-0.08672971345215985,-0.690455557456603,-0.715599338763075,Accipitriformes,Accipitridae,Elanoides,Elanoides forficatus,hawks and eagles,Accipitridae,Elanoides,Elanoides forficatus
-0.08673513899602478,-0.691611557392486,-0.7151351434742586,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus albicaudatus,hawks and eagles,Accipitridae,Geranoaetus,white-tailed hawk
-0.08671524738852224,-0.6911746693288864,-0.7152614350339748,Accipitriformes,Accipitridae,Buteo,Buteo brachyurus,hawks and eagles,Accipitridae,hawks,short-tailed hawk
-0.08670760531853251,-0.6912257226056264,-0.7153057376591987,Accipitriformes,Accipitridae,Buteo,Buteo swainsoni,hawks and eagles,Accipitridae,hawks,Swainson's hawk
-0.0866541750678958,-0.6917614695337512,-0.7159382022437859,Accipitriformes,Accipitridae,Accipiter,Accipiter gentilis,hawks and eagles,Accipitridae,Accipiter,Habicht
-0.08673287558013747,-0.6925743744651226,-0.7161148853483593,Accipitriformes,Accipitridae,Circus,Circus cyaneus,hawks and eagles,Accipitridae,harriers,northern harrier
-0.08668644135160793,-0.6922662269990757,-0.7162878924598255,Accipitriformes,Accipitridae,Circus,Circus approximans,hawks and eagles,Accipitridae,harriers,swamp harrier
-0.08666766705968285,-0.6906835344067711,-0.7163630045104146,Accipitriformes,Accipitridae,Aegypius,Aegypius monachus,hawks and eagles,Accipitridae,Aegypius,Cinereous vulture
-0.08664607529785388,-0.6915556696045981,-0.7159491444475359,Accipitriformes,Accipitridae,Harpagus,Harpagus diodon,hawks and eagles,Accipitridae,Harpagus,Harpagus diodon
-0.08664804174973466,-0.6915715956069198,-0.7167501789872592,Accipitriformes,Accipitridae,Torgos,Torgos tracheliotos,hawks and eagles,Accipitridae,Torgos,lappet-faced vulture
-0.08669507668776442,-0.692328312007548,-0.716206335580178,Accipitriformes,Accipitridae,Circus,Circus aeruginosus,hawks and eagles,Accipitridae,harriers,western marsh harrier
-0.08663457704645729,-0.6914046458676938,-0.7164133745829931,Accipitriformes,Accipitridae,Spizaetus,Spizaetus melanoleucus,hawks and eagles,Accipitridae,Spizaetus,black-and-white hawk-eagle
-0.0867067701554393,-0.6924207924531087,-0.7162567244435273,Accipitriformes,Accipitridae,Circus,Circus spilonotus,hawks and eagles,Accipitridae,harriers,eastern marsh-harrier
-0.08671549564743719,-0.6924385489145514,-0.7160229426366765,Accipitriformes,Accipitridae,Circus,Circus melanoleucos,hawks and eagles,Accipitridae,harriers,pied harrier
-0.08668619475655687,-0.6922383546842946,-0.7161186931037669,Accipitriformes,Accipitridae,Circus,Circus assimilis,hawks and eagles,Accipitridae,harriers,Circus assimilis
-0.08665954823284745,-0.6919594711403005,-0.7165580632025437,Accipitriformes,Accipitridae,Accipiter,Accipiter nisus,hawks and eagles,Accipitridae,Accipiter,Eurasian sparrowhawk
-0.08674059302861799,-0.690434263625371,-0.7155223370714218,Accipitriformes,Accipitridae,Gampsonyx,Gampsonyx swainsonii,hawks and eagles,Accipitridae,Gampsonyx,Gampsonyx swainsonii
-0.08675729848026939,-0.6921013858633795,-0.7151928129333212,Accipitriformes,Accipitridae,Buteogallus,Buteogallus lacernulatus,hawks and eagles,Accipitridae,Buteogallus,Buteogallus lacernulatus
-0.08671074368755832,-0.6904881521099241,-0.7169027644934689,Accipitriformes,Accipitridae,Aquila,Aquila audax,hawks and eagles,Accipitridae,Aquila,wedge-tailed eagle
-0.08672142062101858,-0.6903229979775438,-0.7159415325185047,Accipitriformes,Accipitridae,Pernis,Pernis ptilorhynchus,hawks and eagles,Accipitridae,Pernis,Oriental honey-buzzard
-0.08666905651032006,-0.6906834149153319,-0.7161895061359311,Accipitriformes,Accipitridae,Gyps,Gyps himalayensis,hawks and eagles,Accipitridae,Gyps,Himalayan griffon
-0.086657838557876,-0.6910127902168826,-0.7167940040584578,Accipitriformes,Accipitridae,Aquila,Aquila heliaca,hawks and eagles,Accipitridae,Aquila,Aquila heliaca
-0.08665775759965572,-0.6911476710719426,-0.7157941464823608,Accipitriformes,Accipitridae,Butastur,Butastur indicus,hawks and eagles,Accipitridae,Butastur,Grey-faced buzzard
-0.08666218692699611,-0.690982649246927,-0.715833405212189,Accipitriformes,Accipitridae,Butastur,Butastur liventer,hawks and eagles,Accipitridae,Butastur,rufous-winged buzzard
-0.08678833302618405,-0.692440459603118,-0.7152589196194116,Accipitriformes,Accipitridae,Milvus,Milvus migrans,hawks and eagles,Accipitridae,Milvus,black kite
-0.08668277836076897,-0.6918947233850161,-0.7156546090060402,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus albicilla,hawks and eagles,Accipitridae,Haliaeetus,white-tailed eagle
-0.08664663518236787,-0.6910160505516185,-0.7165521753830024,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus morphnoides,hawks and eagles,Accipitridae,Hieraaetus,little eagle
-0.08664839850338346,-0.6909515454759988,-0.7164805844830214,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus pennatus,hawks and eagles,Accipitridae,Hieraaetus,booted eagle
-0.08665980876320613,-0.6910319056690217,-0.7168387985666684,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos,hawks and eagles,Accipitridae,Aquila,golden eagle
-0.08673766719229316,-0.6924991513663971,-0.7157950668798474,Accipitriformes,Accipitridae,Accipiter,Accipiter virgatus,hawks and eagles,Accipitridae,Accipiter,besra
-0.08673860597774108,-0.6914087649184238,-0.7150940013138759,Accipitriformes,Accipitridae,Buteo,Buteo lagopus,hawks and eagles,Accipitridae,hawks,rough-legged hawk
-0.08675480778308892,-0.6912834572852785,-0.7150058621780772,Accipitriformes,Accipitridae,Buteo,Buteo hemilasius,hawks and eagles,Accipitridae,hawks,upland buzzard
-0.08668323413663401,-0.690552266690621,-0.7161659440361965,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,hawks and eagles,Accipitridae,Gyps,griffon vulture
-0.0866505679939561,-0.6910198629826595,-0.7166640403427662,Accipitriformes,Accipitridae,Aquila,Aquila fasciata,hawks and eagles,Accipitridae,Aquila,Aquila fasciata
-0.08664026832813583,-0.6913841246533056,-0.716636462401609,Accipitriformes,Accipitridae,Nisaetus,Nisaetus nipalensis,hawks and eagles,Accipitridae,Nisaetus,mountain hawk-eagle
-0.08663993582023045,-0.6912049331284765,-0.7165642132302956,Accipitriformes,Accipitridae,Nisaetus,Nisaetus alboniger,hawks and eagles,Accipitridae,Nisaetus,Blyth's hawk-eagle
-0.08670196675178371,-0.6903892323617344,-0.7164095334533078,Accipitriformes,Accipitridae,Spilornis,Spilornis cheela,hawks and eagles,Accipitridae,Spilornis,crested serpent eagle
-0.0866571576776584,-0.6910703987310486,-0.7168253944570029,Accipitriformes,Accipitridae,Aquila,Aquila chrysaetos canadensis,hawks and eagles,Accipitridae,Aquila,Aquila chrysaetos canadensis
-0.08671493643408458,-0.6922128587529411,-0.7156190627292702,Accipitriformes,Accipitridae,Accipiter,Accipiter brevipes,hawks and eagles,Accipitridae,Accipiter,Accipiter brevipes
-0.08672168815635355,-0.6914294768770746,-0.7151988761174938,Accipitriformes,Accipitridae,Buteo,Buteo regalis,hawks and eagles,Accipitridae,hawks,ferruginous hawk
-0.0867071189630338,-0.6903771695840235,-0.7160959764780318,Accipitriformes,Accipitridae,Neophron,Neophron percnopterus,hawks and eagles,Accipitridae,Neophron,Egyptian vulture
-0.0867199560547212,-0.6923988926406186,-0.7158403723899404,Accipitriformes,Accipitridae,Accipiter,Accipiter fasciatus,hawks and eagles,Accipitridae,Accipiter,Accipiter fasciatus
-0.08669250822205407,-0.6912562795470729,-0.7154151471068967,Accipitriformes,Accipitridae,Buteo,Buteo jamaicensis,hawks and eagles,Accipitridae,hawks,red-tailed hawk
-0.08668377884576496,-0.6909997306210185,-0.715570707362958,Accipitriformes,Accipitridae,Ictinia,Ictinia plumbea,hawks and eagles,Accipitridae,Ictinia,Ictinia plumbea
-0.08673277230783671,-0.6908982231915923,-0.7152325423506587,Accipitriformes,Accipitridae,Leucopternis,Leucopternis kuhli,hawks and eagles,Accipitridae,Leucopternis,Leucopternis kuhli
-0.08663728139350123,-0.6911822279460941,-0.7164008565617467,Accipitriformes,Accipitridae,Nisaetus,Nisaetus cirrhatus,hawks and eagles,Accipitridae,Nisaetus,changeable hawk-eagle
-0.08664208643528405,-0.6910444552611675,-0.7163292661233679,Accipitriformes,Accipitridae,Spizaetus,Spizaetus tyrannus,hawks and eagles,Accipitridae,Spizaetus,black hawk-eagle
-0.08665365559640233,-0.6908660819792862,-0.7162036788908154,Accipitriformes,Accipitridae,Pithecophaga,Pithecophaga jefferyi,hawks and eagles,Accipitridae,Pithecophaga,Pithecophaga jefferyi
-0.08679929918850426,-0.6926657723721805,-0.7154449726552643,Accipitriformes,Accipitridae,Accipiter,Accipiter tachiro sparsimfasciatus,hawks and eagles,Accipitridae,Accipiter,Accipiter tachiro sparsimfasciatus
-0.0866454606183103,-0.6916402806815451,-0.7160122114305705,Accipitriformes,Accipitridae,Accipiter,Accipiter melanoleucus,hawks and eagles,Accipitridae,Accipiter,black goshawk
-0.08676171740131497,-0.6926656443845498,-0.7158396909645449,Accipitriformes,Accipitridae,Accipiter,Accipiter francesiae,hawks and eagles,Accipitridae,Accipiter,Accipiter francesiae
-0.08666522729137083,-0.6907650606183985,-0.716064978507199,Accipitriformes,Accipitridae,Necrosyrtes,Necrosyrtes monachus,hawks and eagles,Accipitridae,Necrosyrtes,hooded vulture
-0.0866743212961072,-0.6906428109813119,-0.7161347100989709,Accipitriformes,Accipitridae,Gyps,Gyps coprotheres,hawks and eagles,Accipitridae,Gyps,cape vulture
-0.0866457138615484,-0.691661012127468,-0.7166464463786781,Accipitriformes,Accipitridae,Trigonoceps,Trigonoceps occipitalis,hawks and eagles,Accipitridae,Trigonoceps,white-headed vulture
-0.08667967508949498,-0.6908123134754561,-0.7169205892702315,Accipitriformes,Accipitridae,Aquila,Aquila spilogaster,hawks and eagles,Accipitridae,Aquila,African hawk-eagle
-0.08669233737529851,-0.6904981319207627,-0.7165983828990479,Accipitriformes,Accipitridae,Circaetus,Circaetus pectoralis,hawks and eagles,Accipitridae,Circaetus,black-chested snake-eagle
-0.08670735302113848,-0.6904295275238616,-0.7167394850054873,Accipitriformes,Accipitridae,Circaetus,Circaetus cinereus,hawks and eagles,Accipitridae,Circaetus,Circaetus cinereus
-0.08669241619876313,-0.6904626971688769,-0.7162559108347129,Accipitriformes,Accipitridae,Gyps,Gyps africanus,hawks and eagles,Accipitridae,Gyps,white-backed vulture
-0.08665507738052075,-0.6908309416197478,-0.7163547961946078,Accipitriformes,Accipitridae,Terathopius,Terathopius ecaudatus,hawks and eagles,Accipitridae,Terathopius,Terathopius ecaudatus
-0.08667860467752216,-0.6907122113106586,-0.7167843305024881,Accipitriformes,Accipitridae,Aquila,Aquila verreauxii,hawks and eagles,Accipitridae,Aquila,Verreaux's eagle
-0.0866742411547906,-0.6907089829980322,-0.7166998284603537,Accipitriformes,Accipitridae,Aquila,Aquila rapax,hawks and eagles,Accipitridae,Aquila,African tawny-eagle
-0.08671505306069816,-0.6903637725539302,-0.7167176659681768,Accipitriformes,Accipitridae,Circaetus,Circaetus gallicus,hawks and eagles,Accipitridae,Circaetus,short-toed snake-eagle
-0.08673212300071495,-0.6924433442238007,-0.7157594608718127,Accipitriformes,Accipitridae,Accipiter,Accipiter gularis,hawks and eagles,Accipitridae,Accipiter,Japanese sparrowhawk
-0.08674320285960348,-0.692353822318886,-0.7155137232592877,Accipitriformes,Accipitridae,Accipiter,Accipiter soloensis,hawks and eagles,Accipitridae,Accipiter,Chinese goshawk
-0.08670277078563662,-0.6904842237649084,-0.7158899095434149,Accipitriformes,Accipitridae,Pernis,Pernis apivorus,hawks and eagles,Accipitridae,Pernis,European honey-buzzard
-0.08672302503914965,-0.6906291720917087,-0.7154767116696311,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucogaster,hawks and eagles,Accipitridae,Haliaeetus,Haliaeetus leucogaster
-0.08672316338881596,-0.6920891069115873,-0.715428214311575,Accipitriformes,Accipitridae,Haliastur,Haliastur indus,hawks and eagles,Accipitridae,Haliastur,brahminy kite
-0.0866358478707664,-0.6912323413916691,-0.7163010687217398,Accipitriformes,Accipitridae,Nisaetus,Nisaetus philippensis,hawks and eagles,Accipitridae,Nisaetus,Philippine hawk-eagle
-0.08667609089304115,-0.6908614258839061,-0.7157483131430254,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus ichthyaetus,hawks and eagles,Accipitridae,Haliaeetus,Haliaeetus ichthyaetus
-0.08664357912624734,-0.6910350278782165,-0.7162100128855726,Accipitriformes,Accipitridae,Accipiter,Accipiter trivirgatus,hawks and eagles,Accipitridae,Accipiter,crested goshawk
-0.086663462167462,-0.6915261303905976,-0.7156904524355884,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus pelagicus,hawks and eagles,Accipitridae,Haliaeetus,Steller's sea-eagle
-0.08665433204748012,-0.6908538970001574,-0.7164549297559285,Accipitriformes,Accipitridae,Clanga,Clanga clanga,hawks and eagles,Accipitridae,Clanga,Greater spotted eagle
-0.0866602989053671,-0.6920083235827382,-0.7162835996691502,Accipitriformes,Accipitridae,Circus,Circus pygargus,hawks and eagles,Accipitridae,harriers,Circus pygargus
-0.0866468739560067,-0.6917608306283035,-0.7161120093195958,Accipitriformes,Accipitridae,Accipiter,Accipiter gundlachi,hawks and eagles,Accipitridae,Accipiter,Cuban hawk
-0.08669585606359181,-0.6921578363988872,-0.7157695911507097,Accipitriformes,Accipitridae,Accipiter,Accipiter minullus,hawks and eagles,Accipitridae,Accipiter,Accipiter minullus
-0.0867907411800982,-0.6926115813930152,-0.7154386813311062,Accipitriformes,Accipitridae,Accipiter,Accipiter tachiro pembaensis,hawks and eagles,Accipitridae,Accipiter,Accipiter tachiro pembaensis
-0.08677088225043607,-0.6926393547900018,-0.7156675232172298,Accipitriformes,Accipitridae,Accipiter,Accipiter toussenelii macroscelides,hawks and eagles,Accipitridae,Accipiter,Accipiter toussenelii macroscelides
-0.0867790366761493,-0.6926381339826598,-0.7155817479663847,Accipitriformes,Accipitridae,Accipiter,Accipiter toussenelii canescens,hawks and eagles,Accipitridae,Accipiter,Accipiter toussenelii canescens
-0.08679941700708327,-0.6927261699802465,-0.7155376126022371,Accipitriformes,Accipitridae,Accipiter,Accipiter toussenelii toussenelii,hawks and eagles,Accipitridae,Accipiter,Accipiter toussenelii toussenelii
-0.086775607942414,-0.6925731785896796,-0.7155130057606897,Accipitriformes,Accipitridae,Accipiter,Accipiter tachiro,hawks and eagles,Accipitridae,Accipiter,Accipiter tachiro
-0.0866378844757965,-0.6915315622695177,-0.7165216657684005,Accipitriformes,Accipitridae,Spizaetus,Spizaetus ornatus,hawks and eagles,Accipitridae,Spizaetus,ornate hawk-eagle
-0.08673376677613999,-0.6925689088816275,-0.7160621377214051,Accipitriformes,Accipitridae,Circus,Circus cinereus,hawks and eagles,Accipitridae,harriers,Circus cinereus
-0.08672053447957978,-0.6915862131641077,-0.7152231546996438,Accipitriformes,Accipitridae,Geranoaetus,Geranoaetus melanoleucus,hawks and eagles,Accipitridae,Geranoaetus,black-chested buzzard-eagle
-0.0867541969918955,-0.6918452637919679,-0.7150863019895747,Accipitriformes,Accipitridae,Buteogallus,Buteogallus meridionalis,hawks and eagles,Accipitridae,Buteogallus,savanna hawk
-0.08668312122617478,-0.6921656855465352,-0.715988866718857,Accipitriformes,Accipitridae,Circus,Circus buffoni,hawks and eagles,Accipitridae,harriers,Circus buffoni
