x,y,z,order,family,order_eng,family_eng
-0.09127368519164179,-0.6981916951698438,-0.7173749369473899,Passeriformes,Rhinocryptidae,song birds,tapaculos
-0.09709308379621327,-0.6945204819346595,-0.7223448857161596,Passeriformes,Rhipiduridae,song birds,Rhipiduridae
-0.090235252048177,-0.6855941751284806,-0.7189703680273801,Gruiformes,Rhynochetidae,terrestrial and marshbirds,kagu
-0.08919741129277865,-0.6872595472372456,-0.7125331421199698,Charadriiformes,Rostratulidae,shorebirds and others,Rostratulidae
-0.08680154703501604,-0.6904778653818637,-0.7176117243691315,Accipitriformes,Sagittariidae,hawks and eagles,Sagittariidae
-0.08922856485881919,-0.6862898892289642,-0.7139246384175718,Charadriiformes,Scolopacidae,shorebirds and others,snipes
-0.09794714139403424,-0.6960784937162758,-0.7205798425152682,Passeriformes,Sittidae,song birds,Sittidae
-0.0896151029354462,-0.6854451431842262,-0.7165967129604658,Sphenisciformes,Spheniscidae,penguins,penguins
-0.09790557131736968,-0.6973580981351879,-0.7185025755700752,Passeriformes,Stenostiridae,song birds,Stenostiridae
-0.09197485282714368,-0.6857004737203437,-0.7120402136215056,Charadriiformes,Stercorariidae,shorebirds and others,Stercorariidae
-0.08707868823080121,-0.6916265215275462,-0.7138156029899085,Strigiformes,Strigidae,owls,Strigidae
-0.09306664468364362,-0.6888800761295146,-0.7094167550132285,Struthioniformes,Struthionidae,ostriches,Struthionidae
-0.09892227938010532,-0.6948923957983625,-0.7207175000682166,Passeriformes,Sturnidae,song birds,starlings
-0.08798696892963893,-0.6871728627080367,-0.7156314677988792,Pelecaniformes,Sulidae,"Ibis, herons and pelicans",gannets and boobies
-0.09821217849656583,-0.6972503050994188,-0.7144583759512849,Passeriformes,Sylviidae,song birds,Old World warblers
-0.09173200176272087,-0.6983374920358156,-0.715143401129238,Passeriformes,Thamnophilidae,song birds,Thamnophilidae
-0.08858858918656565,-0.6874229128162989,-0.7132551874196449,Ciconiiformes,Thinocoridae,storks and others,Thinocoridae
-0.09975134561332123,-0.6892061564801413,-0.720575153584909,Passeriformes,Thraupidae,song birds,tanagers
-0.08896905413707193,-0.6860287938959742,-0.7156245210282194,Pelecaniformes,Threskiornithidae,"Ibis, herons and pelicans",Threskiornithidae
-0.0985586964547933,-0.6958545079441645,-0.7124695849496898,Passeriformes,Timaliidae,song birds,babblers
-0.09418969403624508,-0.6906133190718401,-0.7089512567950883,Tinamiformes,Tinamidae,tinamous,Tinamidae
-0.08832803456735554,-0.6939799140607046,-0.7123894666399668,Coraciiformes,Todidae,kingfishers and others,Todidae
-0.0933179871814604,-0.6849050549860353,-0.7198790434040258,Apodiformes,Trochilidae,swifts and hummingbirds,hummingbirds
-0.08993283140454125,-0.6939975651290212,-0.710740733368924,Trogoniformes,Trogonidae,trogons and quetzals,Trogonidae
-0.09703956572129041,-0.6979256230571957,-0.7182088131054333,Passeriformes,Turdidae,song birds,thrushes
-0.08986807373207253,-0.6878250387610289,-0.7113474941173838,Charadriiformes,Turnicidae,shorebirds and others,buttonquails
-0.08989795241031567,-0.6962351126647026,-0.7201192133121477,Passeriformes,Tyrannidae,song birds,Tyrannidae
-0.086999508580961,-0.6926729808578487,-0.7144269161930366,Strigiformes,Tytonidae,owls,barn owls
-0.09048051383360049,-0.691421236744354,-0.7098291491156309,Upupiformes,Upupidae,hoopoes and others,Upupidae
-0.09645762514813008,-0.6895610504523426,-0.7231208221767138,Passeriformes,Vangidae,song birds,Vangidae
-0.09403037148602564,-0.6911578642044707,-0.723756693846312,Passeriformes,Vireonidae,song birds,Vireonidae
-0.09660371932589794,-0.6974512459795962,-0.7128857796787585,Passeriformes,Zosteropidae,song birds,white-eyes
