name,x0,y0,z0,x1,y1,z1
branch_'2596',-159.518000334217,-182.1957235782698,0.0,-148.31046839219366,-51.101221468849815,22.04379
branch_'2594',-159.518000334217,-182.1957235782698,0.0,-170.72553227624036,-313.2902256876898,289.56908
branch_'22',-148.31046839219366,-51.101221468849815,22.04379,-147.83450619838231,-0.5578639200033546,138.90874
branch_'2598',-148.31046839219366,-51.101221468849815,22.04379,-144.30341780919568,-49.20677817392828,34.22984
branch_Machilidae,-170.72553227624036,-313.2902256876898,289.56908,-175.3065130083959,-345.13196570789466,435.21434
branch_Meinertellidae,-170.72553227624036,-313.2902256876898,289.56908,-171.7483175150964,-346.995736722195,435.21434
branch_Lepidotrichidae,-147.83450619838231,-0.5578639200033546,138.90874,-122.56341758438516,335.42176323602405,435.21434
branch_'24',-147.83450619838231,-0.5578639200033546,138.90874,-167.86099221205552,-249.12422262528668,228.84894
branch_'1634',-144.30341780919568,-49.20677817392828,34.22984,-81.4718394808244,3.305970809634511,52.06434
branch_'2600',-144.30341780919568,-49.20677817392828,34.22984,-205.53217590436776,-100.96174983952244,69.68434
branch_Nicoletiidae,-167.86099221205552,-249.12422262528668,228.84894,-174.4030632887346,-310.3300206073693,435.21434
branch_Lepismatidae,-167.86099221205552,-249.12422262528668,228.84894,-171.33216414221303,-312.20160399584574,435.21434
branch_'505',-81.4718394808244,3.305970809634511,52.06434,-205.24125028876665,-14.990681400798149,127.1208
branch_'2380',-81.4718394808244,3.305970809634511,52.06434,67.43020265846636,42.607722613492285,73.6821
branch_'2523',-205.53217590436776,-100.96174983952244,69.68434,-208.21401278286126,-146.03605578101173,238.85986000000003
branch_'2579',-205.53217590436776,-100.96174983952244,69.68434,-227.34184226394305,-76.58943256427081,196.25573
branch_'72',-205.24125028876665,-14.990681400798149,127.1208,-222.74792698021344,-54.15158957945292,127.1208
branch_'448',-205.24125028876665,-14.990681400798149,127.1208,-237.2423379204968,16.85156589368356,135.91954
branch_'1938',67.43020265846636,42.607722613492285,73.6821,97.49318753468772,-67.64544433257934,91.21434
branch_'2392',67.43020265846636,42.607722613492285,73.6821,96.92803463796133,168.58159028110705,82.13934
branch_'2456',-208.21401278286126,-146.03605578101173,238.85986000000003,-209.5865530026577,-91.92052175313965,269.93738
branch_'2448',-208.21401278286126,-146.03605578101173,238.85986000000003,-207.9142073144623,-218.18131218547956,243.76134000000002
branch_'2527',-227.34184226394305,-76.58943256427081,196.25573,-250.25775478005588,-176.0844329683946,257.96484
branch_'2580',-227.34184226394305,-76.58943256427081,196.25573,-213.14979629166035,32.65449474995364,224.85178
branch_'42',-222.74792698021344,-54.15158957945292,127.1208,-230.04072890590686,-57.94514787044687,150.33742
branch_'74',-222.74792698021344,-54.15158957945292,127.1208,-222.45779573109874,-66.02239455992088,184.03975
branch_'411',-237.2423379204968,16.85156589368356,135.91954,-230.5696818418852,17.866207531614705,135.91954
branch_'449',-237.2423379204968,16.85156589368356,135.91954,-256.71542905180047,28.573823173545097,142.89434
branch_'714',97.49318753468772,-67.64544433257934,91.21434,119.89009857106416,-95.8456652390642,160.65278
branch_'1869',97.49318753468772,-67.64544433257934,91.21434,87.12147044879981,-83.54649020452317,102.54677000000001
branch_'1648',96.92803463796133,168.58159028110705,82.13934,28.866563195109507,195.16356823421245,96.08670000000001
branch_'2393',96.92803463796133,168.58159028110705,82.13934,176.78863887261113,192.3891593950475,134.15928
branch_'2453',-209.5865530026577,-91.92052175313965,269.93738,-202.49079699081292,45.51935238497059,279.65897
branch_Isostictidae,-209.5865530026577,-91.92052175313965,269.93738,-219.1425181273618,-236.6625974118414,435.21434
branch_Gomphidae-1,-207.9142073144623,-218.18131218547956,243.76134000000002,-207.55814147614157,-247.915636883766,435.21434
branch_'2488',-207.9142073144623,-218.18131218547956,243.76134000000002,-208.07913779775924,-223.25195498863752,245.95119000000003
branch_Prosopistomatidae,-250.25775478005588,-176.0844329683946,257.96484,-256.5297996419077,-200.4851723510125,435.21434
branch_Potamanthidae,-250.25775478005588,-176.0844329683946,257.96484,-255.4436661762605,-201.43119378783857,435.21434
branch_'2582',-213.14979629166035,32.65449474995364,224.85178,-250.4333845431225,-126.9165110357315,238.86704
branch_Metropodidae,-213.14979629166035,32.65449474995364,224.85178,-159.44928799119134,286.7402156391723,435.21434
branch_'44',-230.04072890590686,-57.94514787044687,150.33742,-232.71286527919912,-11.611397590863572,231.88255
branch_Zorotypidae,-230.04072890590686,-57.94514787044687,150.33742,-230.34695940213825,-117.75911486542296,435.21434
branch_Notonemouridae,-222.45779573109874,-66.02239455992088,184.03975,-226.7127796424641,-111.21816242799184,435.21434
branch_'15',-222.45779573109874,-66.02239455992088,184.03975,-218.93775610236054,-34.6141022576513,214.64812
branch_'222',-230.5696818418852,17.866207531614705,135.91954,-231.0519773635731,-36.02613682829524,187.23226
branch_'408',-230.5696818418852,17.866207531614705,135.91954,-227.41832388875267,72.16440854669712,209.72990000000001
branch_'498',-256.71542905180047,28.573823173545097,142.89434,-259.8532356873293,29.28158757223041,174.77434
branch_'450',-256.71542905180047,28.573823173545097,142.89434,-261.3668588687931,32.554961686804404,195.88327
branch_Xyelidae,119.89009857106416,-95.8456652390642,160.65278,232.48833753712407,-152.08635957364118,435.21434
branch_'711',119.89009857106416,-95.8456652390642,160.65278,38.770271812766794,-62.133198133996565,170.39596
branch_'1223',87.12147044879981,-83.54649020452317,102.54677000000001,136.65859210101584,-26.198093318962062,113.99424
branch_'1911',87.12147044879981,-83.54649020452317,102.54677000000001,33.43566196222863,-147.25530543886177,135.82423
