0,x,y
Nycticebus bengalensis,-1098.8204885617006,198.95902910770974
Trachypithecus pileatus,412.7507020233002,-965.070711308699
Trachypithecus shortridgei,341.30031326531645,-911.8967935447405
Nycticebus pygmaeus,-743.244314285885,194.0991906141855
Nycticebus menagensis,-975.8220960830133,164.02492936911423
Galago senegalensis,-678.1003427063367,-101.043179138285
Galago moholi,-655.2419614258246,-130.500765922302
Otolemur crassicaudatus,-379.0716413313008,53.72946343931475
Daubentonia madagascariensis,-485.9305640109338,-996.0297738109174
Phaner pallescens,-1935.9879470704655,507.323543183266
Phaner parienti,-2039.9543672997215,591.8439639892488
Phaner electromontis,-2003.2047975631056,542.4919712672184
Loris tardigradus,-505.7618505464995,-413.85730537527445
Loris lydekkerianus,-450.49766560324923,-449.37519085355257
Indri indri,-905.295788029247,-813.7092039425432
Propithecus edwardsi,-1278.4099212310125,-592.8458106512423
Propithecus diadema,-1275.0661446933684,-660.339147971319
Propithecus verreauxi,-1432.0047808930492,-676.3651654573595
Propithecus tattersalli,-1393.8222311052118,-378.95658128439453
Propithecus coquereli,-1387.195903157691,-306.6232298382672
Megaladapis edwardsi,-1169.8003116524926,-910.614813472254
Lepilemur hollandorum,-650.290479854628,-2005.5959396517171
Lepilemur seali,-687.5302196487078,-1964.195616417174
Lepilemur scottorum,-653.0747220323282,-1931.4972312019488
Lepilemur wrighti,-692.8946337669448,-1841.5166810333758
Lepilemur fleuretae,-756.4423434074614,-1688.2391920700502
Lepilemur jamesi,-799.6563360786463,-1734.691875037727
Lepilemur betsileo,-830.0774468350811,-1723.9535439219424
Lepilemur mustelinus,-863.9999820281727,-1675.231635464597
Lepilemur microdon,-1080.9777938331483,-1938.2541949228248
Lepilemur otto,-1238.2736349579725,-1867.2669013368566
Lepilemur grewcocki,-1185.8721871697885,-1905.9995332183107
Lepilemur edwardsi,-1369.477876352071,-1778.9267019058482
Lepilemur sahamalazensis,-1218.94278807639,-1737.7848234077646
Lepilemur ahmansoni,-1287.6148212268,-1716.6183840265444
Lepilemur dorsalis,-1180.9249149403267,-1653.4408584640398
Lepilemur mittermeieri,-1180.924914940328,-1653.4408584640441
Lepilemur tymerlachsoni,-1111.0170992330004,-1679.4810885447432
Lepilemur ankaranensis,-1165.447104725077,-1744.3838235875178
Lepilemur milanoii,-1274.5994050704874,-1644.2594877573945
Lepilemur leucopus,-797.053038089766,-2029.312069372352
Lepilemur petteri,-820.6026059524582,-2048.4118941956767
Lepilemur hubbardorum,-962.660375553375,-1915.849240158408
Lepilemur ruficaudatus,-914.611293915552,-1986.5123060476585
Lepilemur randrianasoloi,-1482.9262503982545,-1630.7821936492196
Lepilemur aeeclis,-1427.4981839535562,-1699.9961825698128
Hapalemur griseus,-1754.924610722299,145.27118298468125
Prolemur simus,-1236.5360333870283,-1209.9187631490254
Lemur catta,-1040.9406548685156,-1120.997554408109
Cheirogaleus sibreei,-1939.8075684137186,-983.5000272239455
Cheirogaleus medius,-1737.822941094246,-588.9869510163328
Cheirogaleus major,-1617.3874018232623,-102.65879232006225
Cheirogaleus crossleyi,-1677.2072683085994,-200.28450371644348
Mirza coquereli,-2042.1147899941054,210.17008894470158
Mirza zaza,-1967.28015641393,152.64472561576375
Microcebus griseorufus,-2152.9971020703224,86.17805266423126
Microcebus murinus,-2180.2482996422123,141.98037991896774
Microcebus danfossi,-2215.1892618921565,-48.236857057118
Microcebus bongolavensis,-2130.3353745335367,-67.570613989478
Microcebus ravelobensis,-2132.2394397153575,-108.02781244246201
Microcebus rufus,-2109.199649379936,-421.5779457398485
Microcebus simmonsi,-2046.9529809348032,-248.90937867055777
Microcebus margotmarshae,-2216.788125906428,-291.371231095619
Microcebus mamiratra,-2207.650970203988,-222.12419493605276
