name,x0,y0,z0,x1,y1,z1
branch_Strepsirrhini,-662.8533440439506,-91.7879120292481,0.0,-776.4009868025424,-408.563946293137,14.4549
branch_Haplorrhini,-662.8533440439506,-91.7879120292481,0.0,-549.305701285359,224.98812223464083,5.15492
branch_Lorisiformes,-776.4009868025424,-408.563946293137,14.4549,-724.9092608566305,-130.34147856337825,34.7156
branch_internal4,-776.4009868025424,-408.563946293137,14.4549,-873.3117698518911,-813.4968277284514,21.2773
branch_Simiiformes,-549.305701285359,224.98812223464083,5.15492,-82.04208785359916,808.9577114289974,30.85492
branch_Tarsiidae,-549.305701285359,224.98812223464083,5.15492,-971.1502576136821,-232.2710532541601,52.047219999999996
branch_Lorisidae,-724.9092608566305,-130.34147856337825,34.7156,-538.4623831507419,-254.40934325474814,37.764900000000004
branch_Galagidae,-724.9092608566305,-130.34147856337825,34.7156,-890.7594481841543,105.01537321989517,53.0064
branch_Daubentonia madagascariensis,-873.3117698518911,-813.4968277284514,21.2773,-485.9305640109338,-996.0297738109174,73.7549
branch_Lemuriformes,-873.3117698518911,-813.4968277284514,21.2773,-1221.9810477443964,-829.4436234366044,37.7549
branch_Platyrrhini,-82.04208785359916,808.9577114289974,30.85492,-660.6831067612977,1376.660382528994,53.054919999999996
branch_Catarrhini,-82.04208785359916,808.9577114289974,30.85492,683.5043764268033,474.8428760067434,44.93492
branch_Tarsius,-971.1502576136821,-232.2710532541601,52.047219999999996,-1019.6432793360038,-347.28681129212583,66.68412
branch_internal14,-971.1502576136821,-232.2710532541601,52.047219999999996,-1091.3950584226893,-300.15896541171475,58.79732
branch_Perodicticus,-538.4623831507419,-254.40934325474814,37.764900000000004,-346.5147501626311,-412.30561410856967,73.7549
branch_internal16,-538.4623831507419,-254.40934325474814,37.764900000000004,-655.8312650564972,-146.14021827747456,49.969500000000004
branch_Galagoides demidoff,-890.7594481841543,105.01537321989517,53.0064,-1348.8344055845475,347.18819117273125,73.75489999999999
branch_internal18,-890.7594481841543,105.01537321989517,53.0064,-590.6395571948492,5.419859570935676,57.18326
branch_internal19,-1221.9810477443964,-829.4436234366044,37.7549,-1222.1770539644126,-770.1377049325648,37.8149
branch_internal20,-1221.9810477443964,-829.4436234366044,37.7549,-1361.2527526813822,-895.1282602239052,38.96386
branch_Pitheciidae,-660.6831067612977,1376.660382528994,53.054919999999996,-653.0618371680523,1519.7019620102656,56.75492
branch_internal22,-660.6831067612977,1376.660382528994,53.054919999999996,-899.7607839176225,1460.699871487721,54.15492
branch_Hominoidea,683.5043764268033,474.8428760067434,44.93492,813.4593549465433,1177.5486156320599,54.297779999999996
branch_Cercopithecidae,683.5043764268033,474.8428760067434,44.93492,859.7679836192245,-361.5087977874748,55.999919999999996
branch_Tarsius dentatus,-1019.6432793360038,-347.28681129212583,66.68412,-929.3877509107996,-408.8799323102382,73.75496999999999
branch_internal26,-1019.6432793360038,-347.28681129212583,66.68412,-959.564601270086,-445.7772516549177,68.39397
branch_Tarsius syrichta,-1019.6432793360038,-347.28681129212583,66.68412,-1565.77119076683,414.04152351883454,73.75496999999999
branch_Tarsius bancanus,-1019.6432793360038,-347.28681129212583,66.68412,-687.3622656351013,-1038.92473266945,73.75496999999999
branch_Carlito syrichta,-1091.3950584226893,-300.15896541171475,58.79732,-1555.5502853020864,404.6630124352215,73.75492
branch_Cephalopachus bancanus,-1091.3950584226893,-300.15896541171475,58.79732,-687.3622319477957,-1038.9248993374283,73.75492
branch_Perodicticus potto edwarsi,-346.5147501626311,-412.30561410856967,73.7549,-382.132424841972,-687.1158373101888,73.7549
branch_Perodicticus potto,-346.5147501626311,-412.30561410856967,73.7549,-214.92325898923477,-216.44352633386123,73.7549
branch_Nycticebus,-655.8312650564972,-146.14021827747456,49.969500000000004,-844.9400234040975,125.54825558298607,63.6049
branch_Loris,-655.8312650564972,-146.14021827747456,49.969500000000004,-513.6700594711989,-374.52104214702575,73.7549
branch_Galago,-590.6395571948492,5.419859570935676,57.18326,-651.4648330918343,-91.53360611004769,71.51786
branch_Otolemur,-590.6395571948492,5.419859570935676,57.18326,-409.76632490214195,62.53511979233524,68.57946
branch_internal37,-1222.1770539644126,-770.1377049325648,37.8149,-1054.5501740536984,-670.7443124518934,50.5591
branch_internal38,-1222.1770539644126,-770.1377049325648,37.8149,-1389.8823363631334,-845.8087300116204,39.54471
branch_Megaladapis edwardsi,-1361.2527526813822,-895.1282602239052,38.96386,-1169.8003116524926,-910.614813472254,73.75486
branch_Lemuridae,-1361.2527526813822,-895.1282602239052,38.96386,-1570.1233874792877,-909.0128723401465,47.768809999999995
branch_Pitheciinae,-653.0618371680523,1519.7019620102656,56.75492,-672.9595531805076,1253.82213812761,63.13992
branch_Callicebinae,-653.0618371680523,1519.7019620102656,56.75492,-630.1156133182989,1842.7984176854293,65.74992
branch_internal43,-899.7607839176225,1460.699871487721,54.15492,-841.4771529497078,1519.6298846333789,55.87144
branch_Atelidae,-899.7607839176225,1460.699871487721,54.15492,-1053.6754857480669,1435.3856539255546,59.493669999999995
branch_Hylobatidae,813.4593549465433,1177.5486156320599,54.297779999999996,1050.4998357066697,1609.3415783657094,65.22178
branch_Hominidae,813.4593549465433,1177.5486156320599,54.297779999999996,628.4008655943128,1026.837948748537,58.554919999999996
branch_Cercopithecinae,859.7679836192245,-361.5087977874748,55.999919999999996,1307.995651114141,98.0062812948386,61.42775999999999
branch_Colobinae,859.7679836192245,-361.5087977874748,55.999919999999996,482.04575900127634,-1155.5645463874755,60.96836999999999
